time,rssi
2400.636685,-80
2402.849019,-80
2403.437984,-77
2404.300949,-82
2404.578063,-79
2405.181131,-79
2405.444274,-79
2406.306727,-82
2407.45571,-83
2408.885616,-83
2409.465998,-82
2410.830514,-86
2410.889674,-82
2411.459385,-74
2412.60938,-86
2414.311806,-87
2414.613785,-82
2414.883085,-78
2416.029379,-81
2418.029357,-80
2419.491279,-87
2420.259047,-82
2420.30312,-84
2420.964418,-85
2422.029333,-85
2422.979496,-82
2424.043058,-84
2425.239588,-86
2426.115112,-81
2427.003388,-84
2427.196898,-82
2428.044498,-72
2429.09018,-81
2429.184341,-84
2430.03828,-77
2430.89203,-77
2432.614486,-77
2433.758164,-72
2434.617023,-81
2435.479615,-85
2436.333418,-80
2437.764651,-81
2438.904712,-80
2440.332118,-80
