time,rssi
1545.387262,-80
1545.802894,-82
1546.371761,-79
1547.517886,-78
1548.377921,-79
1549.231826,-79
1550.693072,-80
1551.516679,-79
1552.37163,-79
1553.516747,-85
1554.968537,-77
1555.854873,-82
1557.176949,-90
1557.646889,-77
1558.105599,-81
1558.440988,-82
1558.664695,-87
1559.51556,-81
1560.659388,-79
1561.509247,-77
1562.944275,-82
1563.592772,-77
1563.804343,-76
1564.668089,-75
1567.427929,-79
1568.959332,-77
1569.239441,-83
1570.954397,-72
1572.124209,-80
1572.38817,-81
1573.830641,-77
1574.116742,-82
1575.065867,-80
1575.96581,-73
1576.136869,-82
1577.286982,-81
1578.145533,-82
1580.998225,-75
1582.426879,-78
1583.860651,-83
1584.720732,-82
