time,rssi
2287.007798,-75
2287.873572,-84
2288.722074,-84
2289.011734,-79
2289.294174,-73
2290.154142,-77
2291.857953,-76
2292.424374,-80
2293.314663,-89
2293.578108,-78
2294.443067,-81
2296.457255,-81
2296.731818,-81
2297.595727,-75
2298.170515,-76
2299.318192,-76
2299.598001,-79
2300.459218,-76
2301.59549,-78
2302.461755,-80
2303.356608,-80
2303.611765,-82
2304.487876,-81
2305.895316,-76
2306.476355,-85
2307.606831,-80
2308.748111,-83
2309.605385,-79
2311.32199,-87
2312.184414,-75
2313.122712,-71
2313.448422,-75
2313.620376,-89
2314.75463,-82
2316.191985,-82
2317.067495,-74
2317.349784,-79
2318.191991,-79
2318.7696,-83
2320.194476,-79
2320.765545,-79
2322.577215,-84
2323.349498,-70
2325.41573,-79
2325.917198,-76
2326.199363,-81
