time,rssi
650.776501,-82
651.295904,-80
652.788987,-79
653.587194,-87
654.433904,-87
655.85343,-85
656.435538,-78
657.278512,-83
658.420968,-86
659.579163,-79
659.862189,-80
661.582275,-82
664.248073,-84
664.443,-78
664.721047,-80
666.149875,-81
667.573514,-80
668.794061,-80
668.997368,-80
669.85633,-85
671.852543,-86
674.145058,-86
675.295308,-86
677.324453,-86
677.666271,-85
679.336448,-81
680.472598,-83
681.052586,-86
682.261595,-84
682.777551,-81
683.642628,-81
684.782573,-83
685.07816,-80
685.925054,-79
686.778879,-77
687.357611,-86
689.368385,-78
690.218867,-79
