time,rssi
700.183631,-79
701.010274,-77
702.455481,-78
703.309244,-77
704.174967,-79
705.888339,-83
707.035569,-80
708.180415,-75
709.894359,-79
710.468183,-78
711.364926,-80
711.615553,-78
712.760653,-80
714.461688,-72
714.767595,-79
715.890642,-76
716.479152,-72
717.628255,-78
718.779398,-80
719.35807,-80
720.218181,-85
720.849197,-80
721.700351,-85
724.808267,-72
725.419568,-79
725.659402,-81
727.094519,-85
727.673111,-75
728.533269,-73
728.820698,-76
729.681889,-76
731.449595,-81
732.27436,-77
733.123326,-80
734.567202,-87
734.850539,-81
736.703724,-82
738.013383,-84
738.894698,-81
739.163121,-77
