time,rssi
3089.180658,-86
3090.902173,-86
3092.044706,-83
3092.620606,-73
3093.190556,-88
3094.043044,-80
3095.198879,-80
3096.052591,-87
3096.9109,-78
3097.198224,-80
3098.624757,-75
3099.482483,-79
3100.902064,-70
3101.467058,-80
3102.368649,-80
3103.490406,-80
3103.759504,-83
3104.33192,-81
3105.467074,-76
3106.338308,-85
3107.763348,-81
3110.638292,-81
3111.784596,-89
3112.639638,-87
3113.503059,-79
3114.085645,-82
3116.073434,-84
3117.802998,-76
3118.069447,-78
3119.250465,-76
3119.503214,-86
3119.789853,-72
3121.553958,-82
3123.23166,-80
3123.505746,-77
3123.790773,-76
3125.223286,-79
3126.079524,-79
3126.935663,-86
3128.0931,-91
3128.372012,-96
3128.950832,-84
