time,rssi
3546.854795,-78
3547.883271,-78
3548.591105,-79
3548.850889,-84
3549.707146,-83
3550.562088,-82
3551.730277,-80
3551.98848,-80
3552.846186,-79
3553.134674,-79
3553.755489,-76
3554.84724,-83
3555.70471,-77
3557.142269,-74
3558.001609,-80
3558.270936,-82
3558.871205,-76
3559.131407,-81
3559.992185,-80
3560.842337,-86
3562.274709,-82
3562.855175,-78
3565.724985,-86
3566.00884,-90
3569.449892,-80
3570.882414,-80
3571.173436,-79
3572.88122,-78
3574.352146,-87
3575.492013,-75
3576.330508,-76
3576.602326,-83
3577.469943,-79
3578.323525,-78
3579.758995,-73
3581.774961,-79
3582.638528,-81
3583.497885,-79
3584.654945,-82
3585.885465,-79
