time,rssi
2340.63702,-84
2340.895489,-88
2341.755573,-80
2345.785852,-79
2346.054339,-73
2346.340864,-76
2346.915529,-76
2347.480458,-79
2348.058084,-81
2348.625598,-74
2349.483041,-78
2351.229035,-75
2351.478766,-76
2352.049408,-88
2352.64479,-85
2352.914392,-82
2353.764131,-84
2354.908286,-84
2355.795908,-76
2356.059472,-86
2357.195605,-78
2357.778534,-85
2358.930704,-78
2359.199948,-80
2359.779668,-78
2361.20588,-76
2361.779152,-76
2362.051994,-81
2362.623315,-82
2363.198352,-79
2364.054735,-84
2364.953988,-81
2365.200772,-80
2366.06587,-81
2367.498365,-81
2368.074696,-79
2369.209598,-72
2370.065823,-76
2370.925867,-82
2371.502183,-83
2372.365934,-82
2373.49344,-81
2374.35087,-75
2376.356605,-80
2377.498789,-80
2378.655908,-79
2379.788528,-77
