time,rssi
3546.592784,-87
3547.790644,-76
3548.023535,-80
3548.905293,-75
3549.156101,-80
3549.726036,-82
3550.871061,-85
3551.733818,-83
3552.881063,-75
3554.322455,-79
3555.182477,-84
3556.046105,-80
3556.933757,-75
3557.201171,-83
3558.636437,-82
3559.226463,-73
3560.074889,-75
3560.351414,-82
3561.501199,-72
3563.22359,-80
3564.086253,-83
3565.220017,-82
3567.276813,-75
3567.498962,-76
3568.93236,-70
3569.226936,-76
3569.494835,-70
3570.351306,-66
3571.511516,-62
3572.649051,-72
3573.798959,-71
3574.372724,-81
3575.520111,-75
3576.385076,-74
3577.821423,-82
3579.009634,-76
3579.565968,-78
3579.836223,-86
3580.689002,-86
3583.945239,-87
3584.12649,-83
3584.980143,-91
3585.854774,-83
