time,rssi
3217.126289,-81
3218.570076,-87
3219.422701,-85
3221.708938,-85
3222.001695,-77
3222.28134,-85
3223.13521,-82
3224.36896,-84
3224.570006,-80
3226.00769,-80
3226.865116,-80
3227.509642,-82
3227.71676,-72
3228.299651,-69
3228.570139,-79
3229.440117,-78
3230.768284,-84
3231.720193,-78
3232.337203,-80
3232.58397,-83
3233.445248,-79
3234.305492,-85
3237.027317,-82
3237.463911,-84
3238.890052,-87
3239.485425,-88
3239.746296,-84
3240.943664,-81
3242.601337,-79
3244.030175,-91
3246.320162,-91
3246.902922,-83
3247.761317,-79
3248.901311,-79
3249.863206,-81
3251.678377,-86
3253.232236,-74
3253.48276,-83
3254.066093,-93
3254.62929,-80
3255.080521,-87
3256.356792,-83
3257.011352,-85
