time,rssi
1536.992193,-76
1537.570265,-81
1538.116976,-79
1539.105928,-73
1540.421874,-71
1540.688266,-75
1543.571374,-79
1543.831964,-73
1544.978329,-81
1546.408367,-82
1546.979655,-84
1547.837001,-85
1549.270809,-85
1549.839848,-82
1551.348883,-83
1552.132473,-78
1553.741742,-77
1554.520681,-85
1554.741517,-87
1555.569689,-83
1556.142113,-84
1556.716974,-80
1557.59059,-81
1557.861984,-82
1558.434727,-86
1559.869797,-75
1560.175536,-72
1561.328822,-75
1563.01981,-80
1563.310183,-75
1564.154528,-79
1565.007365,-77
1566.029023,-77
1566.441403,-79
1566.735358,-77
1567.301306,-78
1568.444572,-81
1569.594682,-81
1570.462056,-81
1571.888443,-85
1572.786285,-93
1574.182046,-80
1575.603526,-87
