time,rssi
683.668612,-68
683.848305,-77
684.454954,-80
685.272222,-83
686.131146,-80
686.995932,-76
687.842215,-73
688.719294,-73
688.97131,-80
689.574461,-79
690.404608,-82
690.70899,-83
690.97834,-78
691.833445,-81
692.702148,-87
694.235015,-83
694.753541,-76
695.000915,-83
696.224802,-81
696.717525,-81
698.14846,-78
699.004765,-82
700.429797,-71
700.999635,-79
701.851005,-86
704.416063,-75
705.002282,-72
705.56979,-74
706.189404,-76
706.424768,-79
706.992475,-75
708.522264,-67
709.853681,-69
710.444682,-72
710.707456,-73
711.299992,-72
711.569849,-84
712.142439,-83
713.629879,-74
713.867419,-79
714.471299,-78
715.293836,-83
716.152486,-77
716.719998,-80
717.292493,-75
718.441282,-77
719.571358,-79
720.458812,-83
722.425703,-82
722.697465,-79
723.557577,-78
