time,rssi
1501.953377,-86
1504.006263,-84
1504.240812,-82
1504.813962,-80
1505.670776,-79
1505.983164,-80
1506.820763,-76
1507.979651,-82
1508.840917,-81
1510.351547,-77
1510.553362,-80
1511.12468,-73
1512.259936,-71
1513.119874,-83
1513.397184,-89
1514.364987,-84
1514.548442,-80
1515.118328,-81
1516.271663,-85
1516.553663,-89
1517.408506,-87
1518.278126,-83
1518.810479,-81
1519.128464,-85
1520.558534,-85
1521.413497,-86
1522.6028,-84
1524.99659,-85
1525.422435,-83
1526.569848,-79
1527.426024,-75
1528.572511,-87
1529.722469,-78
1530.870965,-78
1531.443779,-87
1532.596267,-78
1533.727552,-83
1534.6005,-83
1534.863756,-81
1535.722531,-91
1536.587494,-78
1536.872368,-80
1537.732407,-72
1538.863713,-76
1539.714909,-82
1540.865006,-83
