time,rssi
2456.01594,-76
2457.75726,-82
2459.17722,-80
2460.62388,-77
2461.182244,-77
2463.299813,-75
2465.467496,-78
2466.912975,-83
2467.489062,-78
2468.612326,-81
2472.893659,-87
2473.742103,-76
2474.613582,-87
2476.106752,-80
2476.923546,-83
2478.370174,-86
2478.644457,-80
2479.508651,-83
2480.114199,-82
2480.359942,-86
2482.114844,-84
2483.524271,-94
2484.061286,-80
2485.781306,-76
2486.923716,-78
2488.07264,-80
2489.255938,-68
2489.509111,-66
2490.106318,-76
2490.954006,-73
2491.230422,-85
2492.110727,-84
2492.664983,-79
2493.527518,-81
2494.098739,-74
2494.978334,-80
2495.533912,-81
