time,rssi
1333.212073,-85
1333.775422,-87
1336.056667,-83
1336.64866,-84
1337.81411,-84
1338.378502,-84
1338.645446,-85
1339.2117,-93
1339.501745,-84
1340.927967,-80
1341.502396,-85
1342.081201,-80
1342.646691,-77
1343.220472,-78
1344.077961,-86
1345.790569,-79
1346.366794,-79
1346.934308,-76
1347.216654,-71
1347.808935,-67
1348.076688,-83
1348.365558,-75
1348.645383,-84
1349.795512,-74
1350.657891,-79
1351.231768,-77
1352.086817,-86
1352.663614,-78
1352.942947,-81
1353.241001,-80
1353.505423,-81
1353.804435,-76
1354.075467,-82
1354.934324,-90
1355.786808,-82
1356.666141,-80
1357.526888,-78
1358.075596,-84
1358.644323,-77
1360.07064,-85
1360.92551,-83
1361.50073,-81
1362.079508,-77
1363.592272,-82
1363.788576,-82
1364.07709,-82
1365.230796,-77
1366.090684,-82
1366.669028,-87
1367.528262,-85
1368.955855,-77
1369.825394,-81
1370.39709,-87
1370.973266,-80
1371.275001,-79
1372.957094,-86
