time,rssi
753.051257,-73
753.91988,-70
754.316679,-81
755.040282,-93
756.760428,-83
757.914022,-78
760.196983,-74
761.068085,-83
761.332838,-77
761.963178,-85
762.196563,-83
763.050319,-81
763.905549,-83
764.776637,-75
765.062999,-74
766.195166,-81
767.047755,-74
768.185625,-79
769.047137,-82
770.192821,-84
771.347166,-79
772.482874,-86
773.629361,-74
773.917903,-82
776.484229,-69
777.337921,-74
779.918076,-82
780.48553,-78
781.347082,-84
782.771815,-79
783.918079,-83
785.068041,-72
785.643078,-87
785.935664,-76
786.509814,-74
787.365443,-78
787.653109,-83
789.644169,-74
791.074425,-77
791.933069,-84
