time,rssi
1458.931249,-81
1460.93678,-76
1461.796286,-83
1462.070427,-78
1462.929952,-81
1464.503616,-81
1464.93751,-81
1466.665118,-77
1467.52137,-85
1468.092557,-79
1469.528874,-86
1470.137107,-76
1470.398864,-81
1471.281797,-71
1472.411404,-70
1473.282718,-71
1474.428913,-69
1475.29141,-71
1476.155164,-75
1477.587486,-77
1477.856382,-73
1478.438944,-82
1479.296473,-75
1480.535858,-79
1480.729354,-76
1481.62448,-82
1481.88142,-82
1482.46023,-77
1483.615565,-91
1483.891509,-80
1484.465186,-80
1485.907844,-83
1487.34282,-85
1487.625179,-85
1488.481547,-77
1489.914055,-90
1491.346582,-77
1491.626453,-80
1492.777897,-84
1493.056503,-79
1493.907831,-78
1495.045448,-77
1496.187913,-76
1496.755691,-67
1498.186733,-67
1498.75847,-68
