time,rssi
2238.617161,-79
2239.822248,-80
2240.329527,-72
2241.484837,-83
2241.76214,-80
2242.335837,-80
2243.75592,-87
2244.608534,-75
2245.476245,-79
2246.043352,-80
2248.102734,-86
2248.63102,-84
2249.478475,-78
2250.641784,-79
2251.205876,-82
2252.069753,-83
2252.924749,-83
2255.583757,-83
2256.936007,-77
2258.121643,-79
2258.364699,-85
2258.955012,-77
2260.582144,-81
2260.952292,-81
2261.801325,-79
2263.308159,-80
2263.51221,-80
2264.157694,-76
2264.941103,-79
2266.098266,-76
2266.664749,-83
2267.272292,-81
2268.10229,-81
2269.545181,-86
2270.11469,-78
2271.259867,-89
2272.471416,-75
2272.691029,-83
2273.271651,-78
2273.569387,-88
2274.696095,-79
2276.434719,-78
2276.756944,-84
2277.274799,-85
2278.424074,-84
