time,rssi
3544.869481,-75
3546.007768,-84
3547.436607,-78
3548.02632,-77
3548.574036,-82
3549.766123,-78
3550.007744,-83
3551.446673,-81
3552.019099,-81
3554.046496,-90
3554.881631,-72
3555.184695,-80
3555.468015,-87
3556.324947,-76
3556.60929,-79
3557.184253,-80
3558.910901,-83
3559.189393,-82
3560.910874,-77
3561.550709,-75
3562.330527,-79
3562.910593,-83
3564.349288,-87
3565.502988,-87
3565.780572,-77
3566.918341,-78
3567.252172,-86
3567.77064,-82
3568.633127,-84
3570.419478,-82
3571.233917,-84
3571.50225,-78
3572.648148,-75
3573.828718,-83
3574.972113,-79
3575.805703,-80
3576.670141,-77
3576.949383,-80
3577.803198,-73
3579.812505,-76
3580.08194,-74
3580.950773,-76
3581.818201,-79
3582.974769,-79
3584.39953,-83
