time,rssi
2247.043179,-78
2247.903032,-85
2248.475582,-85
2249.652175,-91
2250.464137,-76
2251.901893,-81
2252.189671,-82
2253.337238,-83
2254.471843,-82
2255.334285,-83
2256.764231,-85
2257.341843,-76
2259.631886,-80
2260.495614,-82
2261.643167,-74
2261.92943,-83
2262.510595,-83
2264.841928,-79
2265.090598,-85
2266.505756,-83
2267.090549,-80
2267.359372,-83
2267.640756,-85
2269.112833,-80
2269.354444,-84
2269.634613,-81
2272.207019,-82
2273.371556,-88
2275.393953,-81
2275.626962,-80
2275.914447,-81
2277.05938,-83
2278.500772,-90
2281.060758,-78
2282.493721,-77
2283.068655,-75
2284.499115,-76
2285.070995,-82
2286.210796,-74
2286.492094,-84
