time,rssi
2748.238364,-79
2748.49844,-86
2749.653417,-81
2750.233607,-83
2751.675033,-81
2753.387498,-79
2755.38594,-84
2756.814835,-83
2759.088007,-74
2759.391461,-77
2760.813407,-80
2762.535837,-75
2763.973431,-87
2764.830977,-80
2766.842198,-74
2770.5672,-81
2771.146944,-80
2771.425957,-82
2771.99477,-88
2772.559765,-77
2773.128108,-78
2774.850857,-77
2775.420369,-79
2775.707185,-86
2777.15607,-81
2778.027494,-82
2779.747294,-81
2780.03463,-81
2780.607238,-84
2781.182283,-80
2782.317328,-82
2783.485545,-76
2783.763831,-88
2784.619582,-85
2785.188441,-79
2785.783576,-77
2786.916677,-76
2787.198565,-79
2787.480973,-79
