time,rssi
3004.327651,-81
3005.17492,-82
3005.758072,-76
3006.024544,-74
3007.164957,-81
3007.750564,-83
3008.320212,-78
3008.60247,-79
3010.039163,-88
3010.3237,-81
3010.888729,-78
3011.181173,-81
3011.753795,-80
3012.901307,-71
3013.47502,-81
3014.32632,-78
3014.89882,-81
3015.748741,-82
3016.614959,-81
3017.473868,-87
3019.47636,-84
3020.346448,-75
3020.901285,-81
3021.472512,-77
3022.052579,-78
3022.346329,-82
3024.054436,-77
3024.630157,-81
3025.200417,-74
3025.492408,-83
3026.065013,-86
3027.205143,-76
3027.497596,-80
3028.067621,-74
3029.218206,-78
3029.505205,-74
3031.201514,-79
3032.340302,-78
3032.625261,-78
3033.205647,-76
3034.634032,-77
3036.635311,-84
3036.931052,-94
3038.084009,-81
3038.663124,-78
3039.512813,-90
3040.11061,-79
3042.680335,-81
3042.961492,-83
3043.821787,-87
3044.114296,-70
