time,rssi
3075.717463,-85
3077.715145,-81
3080.285006,-78
3080.572927,-86
3081.738232,-85
3084.092717,-77
3084.297974,-81
3085.487913,-78
3086.30141,-79
3086.87014,-89
3088.045369,-82
3088.880919,-77
3089.732639,-83
3090.015101,-82
3090.875186,-82
3092.010089,-79
3093.157694,-84
3094.018859,-75
3095.251175,-81
3095.461362,-81
3096.035036,-78
3097.193943,-77
3098.626538,-78
3099.196251,-79
3100.334755,-81
3100.625169,-79
3101.47782,-73
3102.731197,-85
3102.916536,-84
3103.200303,-81
3104.346108,-80
3105.487877,-78
3107.214188,-83
3107.5016,-81
3108.375381,-85
3109.520428,-82
3110.398329,-83
3110.665733,-93
3111.529176,-80
3113.018645,-79
3113.569382,-84
3114.696669,-81
3115.556669,-81
