time,rssi
1484.22489,-75
1485.643679,-91
1486.49737,-78
1487.066914,-78
1487.92207,-70
1488.49123,-77
1489.05624,-73
1490.775038,-82
1491.345008,-90
1491.956393,-76
1492.20239,-83
1494.218648,-82
1494.494996,-81
1495.07492,-80
1496.228163,-74
1496.507541,-84
1497.089367,-75
1497.36287,-79
1497.65407,-74
1498.227575,-88
1498.79762,-81
1499.661455,-81
1499.943857,-86
1500.793788,-84
1501.936357,-80
1502.510067,-81
1503.084054,-76
1503.652555,-74
1503.960662,-83
1504.513836,-79
1505.377578,-92
1505.960419,-74
1506.811328,-78
1507.666385,-81
1508.528853,-81
1509.406045,-81
1510.584092,-94
1511.672062,-78
1512.528932,-82
1513.96513,-81
1514.251504,-84
1516.256703,-81
1517.112848,-87
1518.254071,-78
1518.831552,-84
1519.989041,-78
1521.41534,-78
1522.845295,-84
1523.421586,-92
1523.991869,-85
