time,rssi
2197.203073,-73
2197.472816,-72
2198.332486,-71
2200.617064,-68
2201.185711,-73
2202.087265,-64
2202.344713,-65
2204.3295,-81
2205.469606,-80
2206.614339,-66
2207.477743,-75
2207.75715,-84
2208.608423,-82
2209.463188,-80
2211.481392,-80
2212.61332,-78
2213.474538,-83
2214.624524,-75
2216.923379,-79
2218.34585,-75
2219.490923,-84
2220.647157,-80
2221.212176,-79
2223.479542,-80
2224.342108,-73
2224.909587,-83
2226.682396,-81
2227.213254,-78
2227.494654,-81
2228.058527,-84
2230.644678,-83
2232.401612,-79
2232.947894,-75
2234.074726,-86
2234.939847,-71
2236.09178,-72
2236.937188,-72
