time,rssi
3542.987779,-79
3543.600863,-81
3545.027193,-84
3546.167216,-86
3546.452431,-86
3547.878443,-80
3548.733435,-72
3549.645023,-78
3549.880952,-84
3551.029715,-84
3551.881028,-85
3553.03104,-85
3553.884761,-78
3554.743847,-88
3556.176071,-88
3558.451067,-84
3559.024803,-80
3560.169849,-84
3561.611109,-88
3562.176087,-87
3564.494683,-86
3564.753558,-85
3565.629787,-88
3565.893578,-86
3566.752432,-87
3567.614951,-90
3568.735599,-91
3569.050232,-87
3570.47604,-79
3571.611035,-86
3572.192178,-83
3572.479664,-79
3573.337201,-79
3574.842714,-81
3575.044939,-79
3575.328521,-84
3576.787429,-85
3577.051064,-72
3577.702608,-89
3578.473685,-77
3579.639363,-77
3581.208726,-82
3581.632562,-86
3582.799673,-84
