time,rssi
2829.919487,-77
2831.065766,-74
2831.351982,-74
2831.939361,-71
2833.356997,-68
2833.928579,-74
2835.10281,-65
2835.924593,-68
2836.21212,-69
2837.07199,-74
2838.219214,-73
2839.648409,-73
2840.507227,-73
2841.648459,-73
2842.275818,-80
2843.36483,-82
2844.223344,-75
2845.366044,-79
2846.230058,-82
2847.373518,-85
2848.521775,-77
2849.949491,-85
2851.238162,-74
2851.384702,-72
2852.823532,-84
2854.252332,-82
2854.534878,-75
2855.677507,-84
2856.533581,-84
2858.295743,-80
2859.673517,-78
2860.84688,-88
2861.39235,-80
2861.666201,-72
2862.813542,-78
2863.95114,-71
2864.805584,-65
2865.088611,-68
2865.944947,-67
2866.799885,-72
2868.041273,-80
2869.394952,-81
