time,rssi
3545.526787,-78
3546.098615,-78
3546.384219,-80
3546.959307,-86
3547.816781,-84
3548.668041,-78
3550.108082,-87
3550.971882,-88
3551.259376,-86
3551.825651,-82
3554.120603,-83
3554.400638,-80
3556.96694,-85
3559.249397,-78
3559.908383,-75
3560.678523,-77
3563.268143,-78
3563.555739,-81
3564.690617,-81
3566.709736,-84
3567.556991,-82
3568.42063,-80
3568.704389,-84
3569.284512,-86
3569.866698,-79
3571.046129,-74
3571.295731,-75
3572.154523,-72
3573.587051,-74
3574.153355,-70
3575.298331,-67
3576.154587,-65
3577.300826,-69
3577.876563,-66
3578.155848,-68
3578.728359,-75
3579.011985,-76
3579.876025,-76
3580.444561,-71
3581.322303,-72
3582.449453,-72
3583.028579,-74
3583.596877,-84
3584.751188,-75
3585.312136,-83
