time,rssi
1439.536925,-89
1441.366179,-84
1441.822841,-82
1443.535376,-82
1444.109103,-94
1445.122175,-81
1445.266539,-79
1447.416745,-77
1447.556569,-82
1448.985377,-79
1449.56028,-72
1450.13416,-82
1452.197601,-76
1452.421589,-86
1453.580443,-75
1455.004224,-82
1455.304906,-80
1457.098073,-82
1457.585462,-85
1458.446732,-83
1459.596766,-86
1460.741773,-88
1461.596745,-94
1463.031811,-85
1463.902979,-87
1465.023073,-92
1466.774453,-81
1467.305569,-88
1467.59058,-83
1469.021861,-75
1469.927064,-77
1470.166816,-81
1470.733116,-80
1472.455726,-77
1473.90059,-80
1474.756083,-76
1476.18978,-92
1477.34087,-82
1478.778461,-79
1479.060727,-80
