time,rssi
1480.049829,-78
1480.921167,-80
1481.772504,-85
1482.616099,-78
1482.908649,-84
1484.617469,-76
1484.929558,-86
1486.043686,-78
1486.897291,-83
1488.621142,-77
1489.468636,-80
1490.046052,-80
1491.207147,-74
1492.037354,-70
1493.46995,-77
1494.057978,-74
1494.908678,-81
1496.62254,-80
1498.350869,-80
1498.642461,-83
1499.508684,-77
1500.932395,-74
1501.217329,-75
1502.403351,-78
1502.646202,-70
1503.507426,-79
1504.362333,-74
1505.798937,-72
1506.652489,-78
1507.783658,-74
1508.932243,-78
1509.782517,-81
1510.636319,-72
1511.491159,-82
1512.359201,-77
1512.923772,-79
1515.21505,-86
1516.926383,-75
1518.645187,-82
1519.788813,-80
