time,rssi
2337.335827,-75
2338.479633,-79
2340.770907,-80
2341.345938,-80
2342.480885,-82
2343.102188,-80
2344.767834,-86
2345.06097,-77
2345.641035,-73
2345.919691,-80
2346.485991,-85
2347.997154,-82
2348.495977,-77
2349.644032,-77
2349.914758,-75
2350.76876,-82
2351.348462,-77
2351.928394,-73
2352.211354,-78
2354.497253,-79
2355.078542,-73
2355.944192,-76
2356.223455,-81
2357.080929,-86
2359.085893,-88
2359.649816,-83
2360.217018,-75
2360.506045,-79
2360.793576,-79
2361.359845,-82
2361.932358,-74
2362.212241,-74
2363.376712,-82
2363.648592,-77
2364.223044,-79
2364.793575,-83
2365.084837,-86
2365.369381,-85
2365.938684,-80
2366.545494,-80
2367.676691,-77
2367.95048,-73
2368.240161,-85
2368.807999,-80
2369.375033,-82
2370.514909,-76
2370.80375,-85
2371.126153,-80
2372.237607,-80
2372.529991,-82
2373.107557,-78
2373.401762,-81
2374.266311,-81
2376.282777,-89
2376.837639,-91
