time,rssi
2058.73864,-82
2059.60859,-83
2060.467046,-78
2061.893472,-85
2062.750836,-79
2063.625036,-77
2064.464603,-84
2065.90204,-77
2067.336115,-74
2068.194653,-75
2069.628558,-79
2070.198418,-77
2070.77324,-77
2072.19356,-74
2073.049759,-75
2073.915955,-75
2075.08742,-76
2076.494291,-79
2076.779738,-74
2077.359808,-85
2078.530278,-83
2079.096539,-78
2079.660887,-80
2080.233553,-78
2081.403974,-79
2081.690779,-84
2082.528623,-81
2083.106317,-82
2084.25353,-82
2085.420574,-77
2085.682402,-86
2086.258674,-79
2087.690717,-81
2087.966259,-84
2088.253939,-78
2089.44066,-84
2089.690015,-83
2090.823856,-84
2091.207489,-85
2091.683304,-81
2091.962538,-77
2092.828873,-79
2093.686285,-90
2095.736399,-81
2096.550746,-78
2097.679036,-82
2098.543586,-76
