time,rssi
3122.484499,-86
3123.060324,-83
3124.192021,-83
3125.08037,-76
3125.33196,-87
3126.185779,-88
3127.044435,-78
3128.763399,-78
3129.049382,-82
3130.194467,-80
3131.348306,-86
3132.494587,-75
3133.915899,-81
3135.059634,-77
3135.344477,-87
3136.802013,-73
3137.062153,-78
3138.496481,-68
3138.774601,-73
3139.343253,-86
3140.484526,-79
3141.92644,-78
3142.475766,-77
3143.914743,-85
3144.488565,-75
3146.213635,-81
3146.767067,-84
3147.618443,-88
3148.805846,-80
3149.049656,-83
3149.722456,-78
3149.904639,-79
3150.764674,-83
3152.320104,-76
3152.468533,-86
3153.332347,-82
3153.91014,-75
3156.200987,-79
3157.054756,-74
3159.091095,-84
3159.938101,-74
3160.219746,-82
3161.076114,-86
3161.936044,-73
