time,rssi
1490.096285,-90
1491.821245,-81
1492.115154,-83
1493.245016,-85
1494.391282,-76
1495.268326,-75
1496.111616,-76
1497.543849,-83
1498.404577,-89
1498.690037,-84
1499.263881,-77
1500.39758,-79
1501.840444,-79
1502.437754,-84
1502.695219,-82
1504.418303,-75
1504.705236,-95
1505.868391,-78
1506.141406,-80
1506.427696,-81
1507.583645,-74
1507.923542,-85
1508.453445,-84
1508.716466,-78
1509.577731,-84
1511.004103,-80
1511.589663,-82
1511.857797,-86
1513.91312,-81
1514.221583,-77
1515.889136,-75
1516.769458,-76
1517.031509,-71
1518.46405,-81
1519.320416,-89
1520.180365,-78
1521.406113,-75
1521.615402,-90
1522.239255,-87
1522.474115,-89
1523.050593,-81
1523.909028,-77
1525.056762,-84
1526.195401,-85
1527.070126,-75
1527.351667,-86
1528.52209,-72
1528.771661,-92
1529.344175,-77
