time,rssi
3546.010322,-75
3546.859077,-76
3547.7315,-75
3549.170548,-89
3549.745398,-74
3550.886571,-80
3552.314163,-85
3553.207089,-76
3553.470364,-82
3554.329195,-77
3554.960817,-80
3556.054183,-87
3556.908273,-89
3558.613415,-92
3559.227475,-87
3559.781544,-78
3561.212083,-84
3562.10522,-80
3563.780525,-80
3566.35448,-84
3567.497941,-85
3568.526628,-92
3568.649265,-78
3569.506884,-83
3570.692479,-78
3570.941632,-81
3571.804383,-74
3572.431763,-80
3572.674174,-84
3574.383431,-80
3575.810666,-84
3577.238158,-89
3577.518203,-75
3579.510903,-80
3580.665525,-81
3582.3782,-83
3582.677548,-88
3583.236799,-91
3585.424877,-79
3585.528148,-84
