time,rssi
2988.434599,-75
2989.328357,-81
2989.582088,-84
2990.728407,-79
2991.588393,-83
2992.7647,-83
2993.888429,-85
2994.745946,-87
2996.169677,-86
2996.455827,-78
2998.745987,-79
2999.607174,-78
3001.042242,-83
3003.330268,-83
3003.614965,-79
3004.212212,-86
3004.789238,-78
3005.044718,-88
3007.333558,-88
3007.935837,-79
3008.778234,-85
3009.062614,-81
3010.293398,-79
3011.346268,-80
3013.054714,-75
3014.194806,-89
3015.34087,-79
3016.210243,-83
3017.065818,-85
3018.829898,-79
3019.357329,-82
3020.496086,-84
3022.22285,-81
3022.781117,-86
3024.787376,-83
3026.798691,-87
3027.65867,-81
