time,rssi
2295.291083,-82
2296.434821,-75
2297.910956,-77
2298.137293,-73
2299.357635,-81
2299.578633,-82
2300.444611,-80
2300.721093,-80
2301.303745,-82
2302.514207,-84
2303.88993,-75
2304.17749,-80
2305.895056,-79
2306.467689,-69
2307.328676,-71
2309.140356,-74
2309.366643,-73
2309.630043,-70
2310.485023,-82
2311.337891,-73
2312.476339,-77
2313.618958,-81
2314.778343,-87
2315.903926,-83
2316.757746,-78
2317.895257,-81
2318.762753,-81
2319.907836,-74
2320.762828,-73
2322.481578,-82
2322.767757,-81
2323.922174,-80
2324.198967,-86
2325.056485,-78
2325.917818,-89
2327.082561,-79
2327.919501,-77
2328.377939,-79
2329.054078,-73
2329.906495,-78
2331.350548,-76
2331.972303,-73
2332.78152,-67
2333.072744,-82
2333.930666,-70
