time,rssi
2934.92064,-82
2935.771741,-81
2937.774305,-74
2938.636066,-86
2938.918025,-83
2940.068168,-82
2940.356779,-82
2941.776857,-79
2942.064466,-72
2943.195616,-80
2944.055555,-78
2945.205685,-80
2946.34215,-78
2947.515552,-74
2948.38017,-84
2948.918211,-82
2949.219691,-81
2950.084638,-74
2950.351053,-81
2952.349458,-83
2953.490755,-83
2954.348257,-88
2955.491317,-83
2956.924811,-81
2957.783389,-77
2958.349201,-81
2959.497497,-81
2959.779592,-85
2960.632254,-88
2961.484686,-86
2963.198918,-81
2964.063927,-85
2964.631179,-76
2967.24223,-77
2967.499079,-75
2968.092432,-82
2968.357287,-77
2968.648504,-82
2969.798565,-79
2970.939721,-78
2971.82899,-89
2972.372351,-75
2972.938674,-74
2973.810545,-75
2974.092263,-78
