time,rssi
2254.454452,-84
2254.73623,-81
2254.991862,-78
2256.152047,-75
2256.725624,-82
2257.871897,-80
2259.383341,-92
2260.448235,-86
2261.018189,-83
2261.87808,-74
2263.015706,-70
2263.876836,-86
2265.04397,-78
2266.203557,-79
2266.74498,-78
2267.029409,-88
2268.205564,-81
2269.037306,-76
2269.314514,-79
2270.186666,-87
2270.740717,-83
2271.379735,-78
2272.739845,-88
2273.902133,-87
2274.478499,-82
2276.20076,-85
2277.633465,-83
2278.77221,-88
2279.345766,-83
2280.491056,-79
2281.684398,-82
2281.927127,-83
2282.779693,-84
2284.791015,-77
2286.500189,-73
2287.355999,-81
2287.72642,-79
2287.93344,-71
2289.083403,-82
2289.659773,-77
2291.088528,-81
2292.809107,-83
2293.08873,-71
2293.658555,-72
