time,rssi
3542.273655,-74
3543.46268,-81
3544.269772,-74
3545.982428,-87
3547.410805,-81
3547.987392,-77
3549.147622,-75
3549.723262,-74
3550.877429,-78
3552.313751,-82
3552.941013,-79
3553.462597,-80
3553.748739,-77
3555.775127,-78
3556.338714,-81
3558.067368,-77
3559.200123,-77
3559.771194,-83
3561.486255,-82
3562.07794,-77
3562.91883,-75
3566.213778,-79
3566.361362,-88
3566.917544,-76
3568.060073,-75
3569.500404,-84
3571.585932,-80
3572.682625,-73
3572.952713,-83
3573.837181,-79
3575.251101,-78
3575.528914,-83
3576.670124,-83
3577.241373,-76
3578.675099,-79
3579.248733,-75
3580.977646,-80
3581.553531,-75
