address,time,rssi
07:d8:a7:16:61:3f,0.0,-70
3a:25:b5:05:ba:71,0.214286,-76
15:6a:57:f5:f1:53,0.48414,-84
18:e0:b7:9e:b8:8b,0.582358,-46
09:d9:06:48:d8:6a,0.8538,-77
18:e0:b7:9e:b8:8b,1.132512,-54
3a:25:b5:05:ba:71,1.302083,-73
07:d8:a7:16:61:3f,1.362797,-71
22:f3:ba:ef:71:eb,1.588159,-76
09:d9:06:48:d8:6a,1.665554,-73
07:d8:a7:16:61:3f,2.18778,-71
18:e0:b7:9e:b8:8b,2.513345,-55
09:d9:06:48:d8:6a,2.750878,-74
18:e0:b7:9e:b8:8b,3.345898,-62
18:e0:b7:9e:b8:8b,4.164364,-53
13:d5:fe:d5:1c:81,4.600232,-73
07:d8:a7:16:61:3f,4.662698,-68
09:d9:06:48:d8:6a,4.915164,-72
18:e0:b7:9e:b8:8b,4.985439,-71
13:d5:fe:d5:1c:81,5.147579,-75
07:d8:a7:16:61:3f,5.484854,-75
18:e0:b7:9e:b8:8b,5.533468,-54
08:96:8b:c6:cd:68,5.762661,-86
09:d9:06:48:d8:6a,6.29437,-76
07:d8:a7:16:61:3f,6.354169,-78
18:e0:b7:9e:b8:8b,6.642006,-60
09:d9:06:48:d8:6a,7.369164,-76
07:d8:a7:16:61:3f,7.410463,-68
18:e0:b7:9e:b8:8b,7.479313,-64
07:d8:a7:16:61:3f,8.242734,-67
18:e0:b7:9e:b8:8b,8.301323,-61
3a:25:b5:05:ba:71,8.380913,-71
09:d9:06:48:d8:6a,8.720079,-74
09:d9:06:48:d8:6a,9.265846,-73
07:d8:a7:16:61:3f,9.334975,-65
3a:25:b5:05:ba:71,9.478809,-71
18:e0:b7:9e:b8:8b,9.750954,-61
0f:e6:df:5b:0c:15,9.978672,-91
18:e0:b7:9e:b8:8b,10.485174,-61
0f:e6:df:5b:0c:15,10.52091,-91
07:d8:a7:16:61:3f,10.714857,-77
3a:25:b5:05:ba:71,11.100855,-76
09:d9:06:48:d8:6a,11.169713,-72
07:d8:a7:16:61:3f,11.263833,-66
18:e0:b7:9e:b8:8b,11.322572,-61
0f:c3:bc:75:5c:f0,11.587587,-85
18:e0:b7:9e:b8:8b,12.429479,-63
07:d8:a7:16:61:3f,12.641518,-74
18:e0:b7:9e:b8:8b,13.32634,-66
22:f3:ba:ef:71:eb,13.404071,-77
09:d9:06:48:d8:6a,13.610938,-76
7d:9c:f0:33:a6:d8,13.916332,-71
07:d8:a7:16:61:3f,14.012623,-67
18:e0:b7:9e:b8:8b,14.421479,-62
09:d9:06:48:d8:6a,14.432839,-76
07:d8:a7:16:61:3f,14.562786,-79
3a:25:b5:05:ba:71,15.181875,-72
18:e0:b7:9e:b8:8b,15.510674,-64
7d:9c:f0:33:a6:d8,15.637452,-66
07:d8:a7:16:61:3f,15.671463,-66
3a:25:b5:05:ba:71,16.000319,-78
09:d9:06:48:d8:6a,16.330412,-75
7d:9c:f0:33:a6:d8,16.498588,-64
3a:25:b5:05:ba:71,16.547674,-76
09:d9:06:48:d8:6a,16.600155,-73
18:e0:b7:9e:b8:8b,16.612724,-66
07:d8:a7:16:61:3f,17.04989,-75
18:e0:b7:9e:b8:8b,17.523429,-53
07:d8:a7:16:61:3f,17.604266,-74
7d:9c:f0:33:a6:d8,17.641223,-66
15:cb:99:7c:39:86,18.587073,-78
07:d8:a7:16:61:3f,18.715174,-66
18:e0:b7:9e:b8:8b,18.902006,-55
18:e0:b7:9e:b8:8b,19.525451,-54
15:cb:99:7c:39:86,19.696369,-80
09:d9:06:48:d8:6a,19.885265,-81
0f:c3:bc:75:5c:f0,20.089135,-82
07:d8:a7:16:61:3f,20.089873,-71
18:e0:b7:9e:b8:8b,20.596847,-59
07:d8:a7:16:61:3f,21.184033,-67
18:e0:b7:9e:b8:8b,21.970599,-56
07:d8:a7:16:61:3f,22.015578,-73
3a:25:b5:05:ba:71,22.266535,-79
15:cb:99:7c:39:86,22.466513,-79
18:e0:b7:9e:b8:8b,22.828308,-64
07:d8:a7:16:61:3f,23.654251,-66
09:d9:06:48:d8:6a,23.661737,-73
3a:25:b5:05:ba:71,24.166615,-72
18:e0:b7:9e:b8:8b,24.208512,-68
13:93:fe:3a:c4:be,24.552962,-86
3a:25:b5:05:ba:71,24.749107,-71
07:d8:a7:16:61:3f,25.026838,-73
18:e0:b7:9e:b8:8b,25.320011,-72
09:d9:06:48:d8:6a,25.566179,-77
3a:25:b5:05:ba:71,25.804193,-68
64:01:30:d6:84:86,25.861874,-87
18:e0:b7:9e:b8:8b,25.874156,-65
07:d8:a7:16:61:3f,26.142279,-66
18:e0:b7:9e:b8:8b,26.696187,-62
09:d9:06:48:d8:6a,26.922528,-75
07:d8:a7:16:61:3f,27.616176,-65
07:d8:a7:16:61:3f,27.786335,-75
18:e0:b7:9e:b8:8b,28.763936,-67
18:e0:b7:9e:b8:8b,30.147086,-67
09:d9:06:48:d8:6a,30.190932,-73
07:d8:a7:16:61:3f,30.265262,-67
3a:25:b5:05:ba:71,30.428493,-72
18:e0:b7:9e:b8:8b,31.038032,-68
09:d9:06:48:d8:6a,31.277879,-76
0f:c3:bc:75:5c:f0,31.35313,-77
07:d8:a7:16:61:3f,31.363173,-73
09:d9:06:48:d8:6a,31.823902,-78
07:d8:a7:16:61:3f,31.915533,-71
18:e0:b7:9e:b8:8b,32.139699,-71
07:d8:a7:16:61:3f,33.005413,-67
64:01:30:d6:84:86,33.031365,-89
18:e0:b7:9e:b8:8b,33.235237,-64
13:93:fe:3a:c4:be,33.26968,-88
0f:c3:bc:75:5c:f0,33.279342,-74
3a:25:b5:05:ba:71,33.414586,-68
3a:25:b5:05:ba:71,33.960323,-69
18:e0:b7:9e:b8:8b,34.344386,-65
07:d8:a7:16:61:3f,34.430029,-74
18:e0:b7:9e:b8:8b,35.175119,-63
07:d8:a7:16:61:3f,35.482609,-75
3a:25:b5:05:ba:71,35.590819,-72
18:e0:b7:9e:b8:8b,36.000445,-66
07:d8:a7:16:61:3f,36.033402,-70
09:d9:06:48:d8:6a,36.450357,-73
18:e0:b7:9e:b8:8b,37.08836,-64
07:d8:a7:16:61:3f,37.149175,-67
0f:c3:bc:75:5c:f0,37.685633,-76
07:d8:a7:16:61:3f,37.982335,-71
09:d9:06:48:d8:6a,38.090218,-75
18:e0:b7:9e:b8:8b,38.18814,-67
07:d8:a7:16:61:3f,39.353231,-71
18:e0:b7:9e:b8:8b,39.568068,-63
07:d8:a7:16:61:3f,40.182726,-75
3a:25:b5:05:ba:71,40.225359,-74
18:e0:b7:9e:b8:8b,40.390081,-62
07:d8:a7:16:61:3f,41.284225,-67
09:d9:06:48:d8:6a,41.35672,-75
18:e0:b7:9e:b8:8b,41.491185,-62
07:d8:a7:16:61:3f,42.114273,-65
09:d9:06:48:d8:6a,42.446436,-75
18:e0:b7:9e:b8:8b,42.591556,-58
7d:9c:f0:33:a6:d8,42.80924,-71
07:d8:a7:16:61:3f,42.931717,-67
7d:9c:f0:33:a6:d8,43.076752,-70
07:d8:a7:16:61:3f,43.210664,-68
3a:25:b5:05:ba:71,43.211393,-68
7d:9c:f0:33:a6:d8,43.357637,-72
09:d9:06:48:d8:6a,43.536459,-76
18:e0:b7:9e:b8:8b,43.693414,-59
7d:9c:f0:33:a6:d8,44.21,-70
18:e0:b7:9e:b8:8b,44.241789,-63
09:d9:06:48:d8:6a,44.349464,-74
3a:25:b5:05:ba:71,44.566435,-73
07:d8:a7:16:61:3f,44.588945,-75
18:e0:b7:9e:b8:8b,45.356729,-58
07:d8:a7:16:61:3f,45.412059,-72
09:d9:06:48:d8:6a,45.981929,-72
07:d8:a7:16:61:3f,46.232097,-73
18:e0:b7:9e:b8:8b,46.458469,-65
7d:9c:f0:33:a6:d8,46.527869,-73
09:d9:06:48:d8:6a,46.528383,-73
07:d8:a7:16:61:3f,47.060219,-72
18:e0:b7:9e:b8:8b,47.280976,-60
7d:9c:f0:33:a6:d8,47.36498,-63
09:d9:06:48:d8:6a,47.615318,-74
18:e0:b7:9e:b8:8b,48.369281,-65
07:d8:a7:16:61:3f,48.437795,-74
22:f3:ba:ef:71:eb,48.885578,-84
07:dd:e9:75:db:3c,49.618739,-83
7d:9c:f0:33:a6:d8,49.660127,-73
22:f3:ba:ef:71:eb,49.702032,-83
18:e0:b7:9e:b8:8b,49.748339,-64
07:d8:a7:16:61:3f,49.811831,-67
09:d9:06:48:d8:6a,50.057059,-72
18:e0:b7:9e:b8:8b,50.576876,-62
