address,time,rssi
38:e3:92:f3:a5:9a,0.0,-73
38:e3:92:f3:a5:9a,5.167668,-67
38:e3:92:f3:a5:9a,10.062604,-68
5d:bc:cd:24:97:22,14.152771,-82
38:e3:92:f3:a5:9a,15.230259,-69
5d:bc:cd:24:97:22,17.870299,-77
38:e3:92:f3:a5:9a,20.127931,-69
5d:bc:cd:24:97:22,20.162517,-71
38:e3:92:f3:a5:9a,25.306573,-69
5d:bc:cd:24:97:22,25.603955,-80
38:e3:92:f3:a5:9a,30.193976,-68
5d:bc:cd:24:97:22,30.476498,-79
38:e3:92:f3:a5:9a,35.369173,-70
5d:bc:cd:24:97:22,37.635412,-86
38:e3:92:f3:a5:9a,40.263607,-70
5d:bc:cd:24:97:22,41.657859,-80
5d:bc:cd:24:97:22,45.386535,-74
38:e3:92:f3:a5:9a,45.427236,-68
5d:bc:cd:24:97:22,45.645279,-85
38:e3:92:f3:a5:9a,50.320758,-69
5d:bc:cd:24:97:22,51.94555,-82
5d:bc:cd:24:97:22,55.435108,-79
38:e3:92:f3:a5:9a,55.484344,-69
5d:bc:cd:24:97:22,55.645405,-75
38:e3:92:f3:a5:9a,60.373674,-68
5d:bc:cd:24:97:22,65.48843,-77
38:e3:92:f3:a5:9a,65.540742,-69
5d:bc:cd:24:97:22,65.649282,-72
38:e3:92:f3:a5:9a,71.787527,-67
5d:bc:cd:24:97:22,72.541996,-79
38:e3:92:f3:a5:9a,75.593322,-69
5d:bc:cd:24:97:22,75.969312,-77
38:e3:92:f3:a5:9a,80.486764,-68
5d:bc:cd:24:97:22,81.128108,-84
38:e3:92:f3:a5:9a,85.658051,-68
5d:bc:cd:24:97:22,88.291907,-79
38:e3:92:f3:a5:9a,90.541006,-69
5d:bc:cd:24:97:22,91.170572,-76
38:e3:92:f3:a5:9a,95.707248,-69
5d:bc:cd:24:97:22,100.338168,-84
38:e3:92:f3:a5:9a,100.601996,-68
5d:bc:cd:24:97:22,100.906889,-71
38:e3:92:f3:a5:9a,105.76339,-70
5d:bc:cd:24:97:22,105.768021,-84
38:e3:92:f3:a5:9a,110.650186,-70
5d:bc:cd:24:97:22,111.788084,-84
38:e3:92:f3:a5:9a,115.813607,-68
5d:bc:cd:24:97:22,116.376872,-79
38:e3:92:f3:a5:9a,120.720265,-68
5d:bc:cd:24:97:22,122.389522,-85
5d:bc:cd:24:97:22,125.823375,-74
38:e3:92:f3:a5:9a,125.875001,-67
38:e3:92:f3:a5:9a,131.041046,-67
5d:bc:cd:24:97:22,134.137007,-84
5d:bc:cd:24:97:22,135.881492,-79
5d:bc:cd:24:97:22,136.12437,-75
38:e3:92:f3:a5:9a,136.483785,-70
38:e3:92:f3:a5:9a,140.824077,-70
5d:bc:cd:24:97:22,142.133334,-79
38:e3:92:f3:a5:9a,145.986123,-70
5d:bc:cd:24:97:22,147.567044,-77
5d:bc:cd:24:97:22,151.005588,-73
38:e3:92:f3:a5:9a,151.435532,-67
38:e3:92:f3:a5:9a,156.055778,-69
5d:bc:cd:24:97:22,159.021037,-81
5d:bc:cd:24:97:22,161.025631,-73
38:e3:92:f3:a5:9a,161.49276,-68
38:e3:92:f3:a5:9a,166.107001,-69
5d:bc:cd:24:97:22,166.175792,-80
5d:bc:cd:24:97:22,171.275327,-81
38:e3:92:f3:a5:9a,171.275787,-70
5d:bc:cd:24:97:22,171.338206,-74
38:e3:92:f3:a5:9a,176.176411,-70
5d:bc:cd:24:97:22,177.649908,-78
38:e3:92:f3:a5:9a,181.063212,-70
5d:bc:cd:24:97:22,182.523493,-79
5d:bc:cd:24:97:22,186.237115,-76
38:e3:92:f3:a5:9a,186.493308,-67
5d:bc:cd:24:97:22,191.106257,-87
38:e3:92:f3:a5:9a,191.120732,-67
5d:bc:cd:24:97:22,196.242111,-74
38:e3:92:f3:a5:9a,196.277936,-69
38:e3:92:f3:a5:9a,201.183583,-74
5d:bc:cd:24:97:22,201.388341,-78
38:e3:92:f3:a5:9a,206.354647,-72
5d:bc:cd:24:97:22,206.544509,-81
38:e3:92:f3:a5:9a,211.253562,-72
5d:bc:cd:24:97:22,212.550976,-87
38:e3:92:f3:a5:9a,216.41973,-71
5d:bc:cd:24:97:22,218.558449,-82
38:e3:92:f3:a5:9a,221.304222,-70
5d:bc:cd:24:97:22,221.984618,-77
38:e3:92:f3:a5:9a,226.462322,-69
5d:bc:cd:24:97:22,226.570805,-87
5d:bc:cd:24:97:22,231.427098,-75
38:e3:92:f3:a5:9a,231.629677,-69
38:e3:92:f3:a5:9a,236.525873,-68
5d:bc:cd:24:97:22,237.270832,-86
38:e3:92:f3:a5:9a,241.415643,-70
5d:bc:cd:24:97:22,242.574699,-80
38:e3:92:f3:a5:9a,246.586074,-69
5d:bc:cd:24:97:22,246.893438,-83
38:e3:92:f3:a5:9a,251.481977,-70
5d:bc:cd:24:97:22,253.203427,-87
38:e3:92:f3:a5:9a,256.642148,-67
5d:bc:cd:24:97:22,257.496049,-76
38:e3:92:f3:a5:9a,261.821327,-70
5d:bc:cd:24:97:22,263.952344,-88
5d:bc:cd:24:97:22,266.922281,-75
38:e3:92:f3:a5:9a,267.25744,-69
38:e3:92:f3:a5:9a,272.152492,-69
5d:bc:cd:24:97:22,272.652379,-82
38:e3:92:f3:a5:9a,276.751087,-68
5d:bc:cd:24:97:22,278.653571,-81
5d:bc:cd:24:97:22,281.915994,-77
38:e3:92:f3:a5:9a,281.922126,-69
5d:bc:cd:24:97:22,282.078385,-76
38:e3:92:f3:a5:9a,286.8235,-67
5d:bc:cd:24:97:22,286.946123,-86
38:e3:92:f3:a5:9a,291.720019,-67
5d:bc:cd:24:97:22,291.805969,-72
38:e3:92:f3:a5:9a,296.885578,-68
5d:bc:cd:24:97:22,296.97122,-85
38:e3:92:f3:a5:9a,302.041523,-69
5d:bc:cd:24:97:22,302.411273,-79
38:e3:92:f3:a5:9a,306.937702,-69
5d:bc:cd:24:97:22,308.677602,-81
38:e3:92:f3:a5:9a,312.089958,-69
5d:bc:cd:24:97:22,315.271331,-75
38:e3:92:f3:a5:9a,316.972854,-68
5d:bc:cd:24:97:22,316.993721,-75
5d:bc:cd:24:97:22,317.561351,-78
38:e3:92:f3:a5:9a,322.143864,-69
5d:bc:cd:24:97:22,325.875258,-80
5d:bc:cd:24:97:22,327.026434,-83
38:e3:92:f3:a5:9a,327.029677,-70
38:e3:92:f3:a5:9a,332.192222,-70
5d:bc:cd:24:97:22,333.337653,-87
5d:bc:cd:24:97:22,337.060413,-83
38:e3:92:f3:a5:9a,337.085202,-69
38:e3:92:f3:a5:9a,342.239551,-68
5d:bc:cd:24:97:22,343.637688,-76
38:e3:92:f3:a5:9a,347.127126,-69
5d:bc:cd:24:97:22,351.642838,-76
5d:bc:cd:24:97:22,352.20754,-69
38:e3:92:f3:a5:9a,352.565578,-68
38:e3:92:f3:a5:9a,357.460537,-67
5d:bc:cd:24:97:22,359.095441,-80
38:e3:92:f3:a5:9a,362.349476,-70
5d:bc:cd:24:97:22,363.129025,-80
38:e3:92:f3:a5:9a,367.252673,-68
5d:bc:cd:24:97:22,367.526358,-75
5d:bc:cd:24:97:22,370.010271,-77
38:e3:92:f3:a5:9a,372.40924,-69
5d:bc:cd:24:97:22,374.026525,-79
