address,time,rssi
00:7c:7d:33:1f:c2,0.0,-45
00:7c:7d:33:1f:c2,4.879557,-45
00:7c:7d:33:1f:c2,10.034665,-44
4a:6f:52:8e:42:7e,13.051432,-85
00:7c:7d:33:1f:c2,14.914448,-47
4a:6f:52:8e:42:7e,16.32006,-93
4a:6f:52:8e:42:7e,17.031441,-88
00:7c:7d:33:1f:c2,20.08177,-53
4a:6f:52:8e:42:7e,20.458874,-79
00:7c:7d:33:1f:c2,25.021706,-50
4a:6f:52:8e:42:7e,25.616352,-83
00:7c:7d:33:1f:c2,30.076809,-47
4a:6f:52:8e:42:7e,31.441935,-87
4a:6f:52:8e:42:7e,31.631216,-86
00:7c:7d:33:1f:c2,35.235872,-73
4a:6f:52:8e:42:7e,35.646242,-81
00:7c:7d:33:1f:c2,40.135071,-72
4a:6f:52:8e:42:7e,40.21863,-81
4a:6f:52:8e:42:7e,45.25961,-83
00:7c:7d:33:1f:c2,45.296949,-71
4a:6f:52:8e:42:7e,45.951323,-81
00:7c:7d:33:1f:c2,50.186474,-74
4a:6f:52:8e:42:7e,50.242323,-80
00:7c:7d:33:1f:c2,55.107607,-71
4a:6f:52:8e:42:7e,55.917618,-79
4a:6f:52:8e:42:7e,55.977251,-81
4a:6f:52:8e:42:7e,60.260926,-78
00:7c:7d:33:1f:c2,60.379695,-85
4a:6f:52:8e:42:7e,65.159939,-76
00:7c:7d:33:1f:c2,65.261546,-70
00:7c:7d:33:1f:c2,70.427491,-63
4a:6f:52:8e:42:7e,70.907123,-78
00:7c:7d:33:1f:c2,75.318265,-61
4a:6f:52:8e:42:7e,75.477005,-91
00:7c:7d:33:1f:c2,80.475547,-64
4a:6f:52:8e:42:7e,81.505695,-85
4a:6f:52:8e:42:7e,85.495509,-83
00:7c:7d:33:1f:c2,85.627964,-63
4a:6f:52:8e:42:7e,90.510293,-76
00:7c:7d:33:1f:c2,90.526417,-62
4a:6f:52:8e:42:7e,91.201762,-83
00:7c:7d:33:1f:c2,95.405863,-63
4a:6f:52:8e:42:7e,95.779064,-85
00:7c:7d:33:1f:c2,100.57532,-67
4a:6f:52:8e:42:7e,100.924269,-81
00:7c:7d:33:1f:c2,106.028464,-66
4a:6f:52:8e:42:7e,106.066597,-85
00:7c:7d:33:1f:c2,110.638008,-65
4a:6f:52:8e:42:7e,110.925265,-80
4a:6f:52:8e:42:7e,115.500832,-76
00:7c:7d:33:1f:c2,115.535963,-64
4a:6f:52:8e:42:7e,120.672856,-83
00:7c:7d:33:1f:c2,120.697716,-61
4a:6f:52:8e:42:7e,125.528024,-74
00:7c:7d:33:1f:c2,125.58778,-61
4a:6f:52:8e:42:7e,130.681572,-84
00:7c:7d:33:1f:c2,130.758901,-61
00:7c:7d:33:1f:c2,135.653427,-62
4a:6f:52:8e:42:7e,135.973413,-79
4a:6f:52:8e:42:7e,136.432483,-80
4a:6f:52:8e:42:7e,140.731367,-81
00:7c:7d:33:1f:c2,140.826372,-64
00:7c:7d:33:1f:c2,145.72067,-59
4a:6f:52:8e:42:7e,146.467588,-86
4a:6f:52:8e:42:7e,150.767856,-79
00:7c:7d:33:1f:c2,150.872487,-65
4a:6f:52:8e:42:7e,155.922285,-83
00:7c:7d:33:1f:c2,156.045182,-63
4a:6f:52:8e:42:7e,160.867818,-81
00:7c:7d:33:1f:c2,160.931949,-64
4a:6f:52:8e:42:7e,161.07483,-86
00:7c:7d:33:1f:c2,165.828654,-65
4a:6f:52:8e:42:7e,165.967214,-80
00:7c:7d:33:1f:c2,171.001003,-66
4a:6f:52:8e:42:7e,172.003537,-80
00:7c:7d:33:1f:c2,175.886119,-67
4a:6f:52:8e:42:7e,176.134138,-76
4a:6f:52:8e:42:7e,176.308346,-79
00:7c:7d:33:1f:c2,181.06291,-71
4a:6f:52:8e:42:7e,181.277415,-79
4a:6f:52:8e:42:7e,182.340852,-82
00:7c:7d:33:1f:c2,185.95507,-67
4a:6f:52:8e:42:7e,186.083398,-81
00:7c:7d:33:1f:c2,191.115655,-65
4a:6f:52:8e:42:7e,191.21329,-76
00:7c:7d:33:1f:c2,195.996287,-63
4a:6f:52:8e:42:7e,196.38854,-94
00:7c:7d:33:1f:c2,201.150797,-71
4a:6f:52:8e:42:7e,201.251802,-80
00:7c:7d:33:1f:c2,206.042562,-65
4a:6f:52:8e:42:7e,206.148422,-82
4a:6f:52:8e:42:7e,206.967953,-85
00:7c:7d:33:1f:c2,211.208623,-66
4a:6f:52:8e:42:7e,211.261834,-81
00:7c:7d:33:1f:c2,216.105455,-69
4a:6f:52:8e:42:7e,216.144235,-82
00:7c:7d:33:1f:c2,221.270005,-69
4a:6f:52:8e:42:7e,222.141844,-79
4a:6f:52:8e:42:7e,226.155322,-76
00:7c:7d:33:1f:c2,226.162359,-72
00:7c:7d:33:1f:c2,231.329574,-72
4a:6f:52:8e:42:7e,232.751647,-94
00:7c:7d:33:1f:c2,236.219695,-70
4a:6f:52:8e:42:7e,236.751516,-82
4a:6f:52:8e:42:7e,241.347505,-76
00:7c:7d:33:1f:c2,241.384373,-66
00:7c:7d:33:1f:c2,246.281109,-65
4a:6f:52:8e:42:7e,246.802636,-85
4a:6f:52:8e:42:7e,251.451843,-75
00:7c:7d:33:1f:c2,251.469337,-64
4a:6f:52:8e:42:7e,251.671635,-84
