address,time,rssi
19:2a:91:d8:a5:b8,0.0,-37
19:2a:91:d8:a5:b8,4.893872,-38
19:2a:91:d8:a5:b8,10.059733,-38
4f:a4:01:b2:4b:96,13.188162,-71
4f:a4:01:b2:4b:96,15.22109,-75
19:2a:91:d8:a5:b8,15.221773,-37
4f:a4:01:b2:4b:96,15.759129,-80
19:2a:91:d8:a5:b8,20.106109,-39
4f:a4:01:b2:4b:96,20.925758,-83
4f:a4:01:b2:4b:96,25.217082,-77
19:2a:91:d8:a5:b8,25.267408,-40
19:2a:91:d8:a5:b8,31.782101,-39
4f:a4:01:b2:4b:96,32.949295,-80
19:2a:91:d8:a5:b8,35.034208,-39
4f:a4:01:b2:4b:96,35.246781,-83
4f:a4:01:b2:4b:96,40.093291,-79
19:2a:91:d8:a5:b8,40.191599,-37
19:2a:91:d8:a5:b8,45.349164,-37
4f:a4:01:b2:4b:96,46.118213,-84
19:2a:91:d8:a5:b8,50.238536,-39
4f:a4:01:b2:4b:96,50.415526,-78
19:2a:91:d8:a5:b8,55.401108,-39
19:2a:91:d8:a5:b8,60.291531,-40
4f:a4:01:b2:4b:96,63.302035,-77
4f:a4:01:b2:4b:96,65.307343,-77
19:2a:91:d8:a5:b8,65.447206,-37
19:2a:91:d8:a5:b8,70.328147,-38
4f:a4:01:b2:4b:96,71.903383,-80
19:2a:91:d8:a5:b8,75.48149,-38
4f:a4:01:b2:4b:96,75.928022,-76
19:2a:91:d8:a5:b8,80.366071,-37
19:2a:91:d8:a5:b8,85.530651,-37
4f:a4:01:b2:4b:96,87.069575,-79
19:2a:91:d8:a5:b8,90.432097,-40
4f:a4:01:b2:4b:96,90.79057,-80
19:2a:91:d8:a5:b8,95.595773,-40
4f:a4:01:b2:4b:96,96.804454,-82
19:2a:91:d8:a5:b8,100.49307,-38
4f:a4:01:b2:4b:96,101.097004,-78
19:2a:91:d8:a5:b8,105.656251,-43
4f:a4:01:b2:4b:96,108.991625,-83
19:2a:91:d8:a5:b8,110.591693,-79
4f:a4:01:b2:4b:96,111.990763,-82
4f:a4:01:b2:4b:96,115.780175,-74
19:2a:91:d8:a5:b8,115.7808,-65
4f:a4:01:b2:4b:96,116.286961,-77
19:2a:91:d8:a5:b8,120.671959,-70
4f:a4:01:b2:4b:96,122.5922,-80
19:2a:91:d8:a5:b8,125.836802,-75
4f:a4:01:b2:4b:96,126.008242,-77
19:2a:91:d8:a5:b8,130.729065,-77
4f:a4:01:b2:4b:96,134.039885,-82
19:2a:91:d8:a5:b8,136.177334,-65
4f:a4:01:b2:4b:96,137.189842,-81
4f:a4:01:b2:4b:96,141.074945,-78
19:2a:91:d8:a5:b8,141.075642,-73
4f:a4:01:b2:4b:96,141.470875,-78
19:2a:91:d8:a5:b8,145.960559,-63
19:2a:91:d8:a5:b8,150.843883,-66
4f:a4:01:b2:4b:96,151.488511,-77
19:2a:91:d8:a5:b8,156.021214,-75
4f:a4:01:b2:4b:96,160.924664,-82
19:2a:91:d8:a5:b8,161.183613,-79
19:2a:91:d8:a5:b8,166.07719,-77
4f:a4:01:b2:4b:96,166.079538,-67
19:2a:91:d8:a5:b8,170.969075,-67
4f:a4:01:b2:4b:96,173.545968,-80
19:2a:91:d8:a5:b8,176.126383,-68
4f:a4:01:b2:4b:96,176.415844,-77
19:2a:91:d8:a5:b8,181.018455,-70
4f:a4:01:b2:4b:96,182.703474,-87
19:2a:91:d8:a5:b8,186.720943,-70
4f:a4:01:b2:4b:96,188.135906,-87
4f:a4:01:b2:4b:96,191.083388,-71
19:2a:91:d8:a5:b8,191.084016,-70
4f:a4:01:b2:4b:96,191.277115,-66
19:2a:91:d8:a5:b8,196.240248,-73
4f:a4:01:b2:4b:96,199.310891,-82
19:2a:91:d8:a5:b8,201.122173,-71
4f:a4:01:b2:4b:96,202.757468,-82
19:2a:91:d8:a5:b8,206.298832,-74
4f:a4:01:b2:4b:96,207.320926,-89
19:2a:91:d8:a5:b8,211.185647,-70
4f:a4:01:b2:4b:96,214.176091,-83
19:2a:91:d8:a5:b8,216.353191,-70
4f:a4:01:b2:4b:96,216.4697,-70
19:2a:91:d8:a5:b8,221.239145,-69
4f:a4:01:b2:4b:96,225.070002,-82
19:2a:91:d8:a5:b8,226.39337,-74
4f:a4:01:b2:4b:96,228.799838,-79
19:2a:91:d8:a5:b8,231.2812,-74
4f:a4:01:b2:4b:96,231.664734,-83
19:2a:91:d8:a5:b8,236.448161,-71
4f:a4:01:b2:4b:96,239.666174,-82
19:2a:91:d8:a5:b8,241.331182,-68
4f:a4:01:b2:4b:96,241.677222,-77
19:2a:91:d8:a5:b8,246.491098,-70
19:2a:91:d8:a5:b8,251.38981,-70
4f:a4:01:b2:4b:96,254.267575,-82
19:2a:91:d8:a5:b8,256.548434,-68
4f:a4:01:b2:4b:96,257.117515,-75
19:2a:91:d8:a5:b8,261.434156,-67
4f:a4:01:b2:4b:96,263.157746,-84
19:2a:91:d8:a5:b8,266.5928,-66
4f:a4:01:b2:4b:96,266.899961,-84
19:2a:91:d8:a5:b8,271.480059,-75
4f:a4:01:b2:4b:96,275.256452,-81
19:2a:91:d8:a5:b8,276.65151,-66
4f:a4:01:b2:4b:96,278.415298,-81
19:2a:91:d8:a5:b8,281.544165,-67
4f:a4:01:b2:4b:96,282.153894,-73
19:2a:91:d8:a5:b8,286.704103,-68
4f:a4:01:b2:4b:96,291.821922,-81
19:2a:91:d8:a5:b8,291.864153,-69
4f:a4:01:b2:4b:96,293.034071,-79
19:2a:91:d8:a5:b8,296.759865,-70
19:2a:91:d8:a5:b8,302.205681,-87
4f:a4:01:b2:4b:96,302.209084,-83
4f:a4:01:b2:4b:96,306.814796,-71
19:2a:91:d8:a5:b8,306.818352,-70
4f:a4:01:b2:4b:96,307.067605,-66
19:2a:91:d8:a5:b8,311.977054,-69
4f:a4:01:b2:4b:96,315.949154,-84
19:2a:91:d8:a5:b8,316.869212,-68
4f:a4:01:b2:4b:96,317.674045,-81
4f:a4:01:b2:4b:96,322.271475,-85
19:2a:91:d8:a5:b8,322.314346,-77
19:2a:91:d8:a5:b8,326.928881,-69
4f:a4:01:b2:4b:96,328.841721,-82
19:2a:91:d8:a5:b8,332.105503,-76
4f:a4:01:b2:4b:96,332.569117,-72
19:2a:91:d8:a5:b8,336.999946,-71
4f:a4:01:b2:4b:96,340.868117,-82
19:2a:91:d8:a5:b8,342.170219,-80
4f:a4:01:b2:4b:96,342.874232,-84
19:2a:91:d8:a5:b8,347.050519,-79
4f:a4:01:b2:4b:96,347.476151,-76
19:2a:91:d8:a5:b8,352.220809,-70
4f:a4:01:b2:4b:96,354.411857,-85
19:2a:91:d8:a5:b8,357.113163,-63
4f:a4:01:b2:4b:96,357.209087,-78
19:2a:91:d8:a5:b8,362.277694,-72
4f:a4:01:b2:4b:96,365.81923,-82
19:2a:91:d8:a5:b8,367.161197,-72
4f:a4:01:b2:4b:96,370.109409,-78
4f:a4:01:b2:4b:96,372.110605,-71
19:2a:91:d8:a5:b8,372.333626,-73
19:2a:91:d8:a5:b8,377.230874,-73
19:2a:91:d8:a5:b8,382.385553,-67
4f:a4:01:b2:4b:96,382.700426,-78
19:2a:91:d8:a5:b8,387.28393,-67
19:2a:91:d8:a5:b8,392.455148,-69
4f:a4:01:b2:4b:96,393.574525,-87
4f:a4:01:b2:4b:96,397.291972,-68
19:2a:91:d8:a5:b8,397.345049,-68
19:2a:91:d8:a5:b8,402.510074,-66
19:2a:91:d8:a5:b8,407.402175,-64
4f:a4:01:b2:4b:96,409.600804,-77
4f:a4:01:b2:4b:96,412.457203,-81
19:2a:91:d8:a5:b8,412.578618,-74
19:2a:91:d8:a5:b8,417.473479,-68
4f:a4:01:b2:4b:96,418.477208,-77
4f:a4:01:b2:4b:96,422.485727,-78
19:2a:91:d8:a5:b8,422.646023,-73
19:2a:91:d8:a5:b8,427.553817,-70
19:2a:91:d8:a5:b8,432.718309,-72
4f:a4:01:b2:4b:96,434.254445,-85
19:2a:91:d8:a5:b8,437.614561,-73
4f:a4:01:b2:4b:96,437.697883,-79
19:2a:91:d8:a5:b8,442.778079,-69
4f:a4:01:b2:4b:96,444.570637,-78
19:2a:91:d8:a5:b8,447.6631,-73
4f:a4:01:b2:4b:96,448.866927,-80
19:2a:91:d8:a5:b8,452.817941,-65
4f:a4:01:b2:4b:96,453.449411,-87
19:2a:91:d8:a5:b8,457.709855,-82
4f:a4:01:b2:4b:96,460.31327,-81
4f:a4:01:b2:4b:96,462.874282,-71
19:2a:91:d8:a5:b8,463.166809,-71
19:2a:91:d8:a5:b8,467.789351,-74
4f:a4:01:b2:4b:96,470.60827,-83
19:2a:91:d8:a5:b8,472.952557,-72
4f:a4:01:b2:4b:96,474.053194,-80
4f:a4:01:b2:4b:96,477.761842,-79
19:2a:91:d8:a5:b8,477.83837,-62
19:2a:91:d8:a5:b8,482.995357,-71
4f:a4:01:b2:4b:96,483.775597,-79
4f:a4:01:b2:4b:96,488.050688,-70
19:2a:91:d8:a5:b8,488.422142,-71
19:2a:91:d8:a5:b8,493.038556,-64
19:2a:91:d8:a5:b8,497.924264,-73
4f:a4:01:b2:4b:96,500.692079,-75
