AdvA,time,rssi
52:38:51:0f:30:9d,6,-46
4d:84:62:e0:1c:1d,14,-76
4d:84:62:e0:1c:1d,16,-83
4d:84:62:e0:1c:1d,16,-70
4d:84:62:e0:1c:1d,18,-69
4d:84:62:e0:1c:1d,18,-67
4d:84:62:e0:1c:1d,19,-69
4d:84:62:e0:1c:1d,19,-68
4d:84:62:e0:1c:1d,20,-68
4d:84:62:e0:1c:1d,20,-69
4d:84:62:e0:1c:1d,20,-72
4d:84:62:e0:1c:1d,20,-79
4d:84:62:e0:1c:1d,21,-79
4d:84:62:e0:1c:1d,21,-79
4d:84:62:e0:1c:1d,21,-78
4d:84:62:e0:1c:1d,22,-72
4d:84:62:e0:1c:1d,23,-70
4d:84:62:e0:1c:1d,23,-70
4d:84:62:e0:1c:1d,24,-72
4d:84:62:e0:1c:1d,24,-65
4d:84:62:e0:1c:1d,24,-66
4d:84:62:e0:1c:1d,24,-79
4d:84:62:e0:1c:1d,25,-73
4d:84:62:e0:1c:1d,26,-66
4d:84:62:e0:1c:1d,26,-78
4d:84:62:e0:1c:1d,27,-67
4d:84:62:e0:1c:1d,27,-72
4d:84:62:e0:1c:1d,27,-68
4d:84:62:e0:1c:1d,28,-68
4d:84:62:e0:1c:1d,28,-73
4d:84:62:e0:1c:1d,29,-67
4d:84:62:e0:1c:1d,30,-72
4d:84:62:e0:1c:1d,30,-67
4d:84:62:e0:1c:1d,30,-66
4d:84:62:e0:1c:1d,31,-64
4d:84:62:e0:1c:1d,32,-65
4d:84:62:e0:1c:1d,32,-66
4d:84:62:e0:1c:1d,33,-66
4d:84:62:e0:1c:1d,36,-64
4d:84:62:e0:1c:1d,36,-66
4d:84:62:e0:1c:1d,36,-66
4d:84:62:e0:1c:1d,36,-66
4d:84:62:e0:1c:1d,37,-66
4d:84:62:e0:1c:1d,37,-66
4d:84:62:e0:1c:1d,37,-66
4d:84:62:e0:1c:1d,38,-72
4d:84:62:e0:1c:1d,39,-66
4d:84:62:e0:1c:1d,40,-64
4d:84:62:e0:1c:1d,40,-66
4d:84:62:e0:1c:1d,40,-66
4d:84:62:e0:1c:1d,41,-66
4d:84:62:e0:1c:1d,41,-66
4d:84:62:e0:1c:1d,42,-66
4d:84:62:e0:1c:1d,42,-66
4d:84:62:e0:1c:1d,42,-64
4d:84:62:e0:1c:1d,43,-66
4d:84:62:e0:1c:1d,43,-66
4d:84:62:e0:1c:1d,44,-68
4d:84:62:e0:1c:1d,45,-66
4d:84:62:e0:1c:1d,46,-72
4d:84:62:e0:1c:1d,46,-66
4d:84:62:e0:1c:1d,46,-72
4d:84:62:e0:1c:1d,48,-64
4d:84:62:e0:1c:1d,48,-68
4d:84:62:e0:1c:1d,48,-66
4d:84:62:e0:1c:1d,49,-70
4d:84:62:e0:1c:1d,49,-67
4d:84:62:e0:1c:1d,50,-66
4d:84:62:e0:1c:1d,52,-66
4d:84:62:e0:1c:1d,52,-67
4d:84:62:e0:1c:1d,52,-66
4d:84:62:e0:1c:1d,52,-66
4d:84:62:e0:1c:1d,53,-66
4d:84:62:e0:1c:1d,54,-71
4d:84:62:e0:1c:1d,54,-66
4d:84:62:e0:1c:1d,55,-66
4d:84:62:e0:1c:1d,55,-66
4d:84:62:e0:1c:1d,56,-63
4d:84:62:e0:1c:1d,56,-67
4d:84:62:e0:1c:1d,57,-66
4d:84:62:e0:1c:1d,58,-65
4d:84:62:e0:1c:1d,58,-69
4d:84:62:e0:1c:1d,58,-66
4d:84:62:e0:1c:1d,58,-66
4d:84:62:e0:1c:1d,59,-65
4d:84:62:e0:1c:1d,60,-65
4d:84:62:e0:1c:1d,60,-65
4d:84:62:e0:1c:1d,60,-68
4d:84:62:e0:1c:1d,60,-66
4d:84:62:e0:1c:1d,61,-66
4d:84:62:e0:1c:1d,61,-68
4d:84:62:e0:1c:1d,62,-67
4d:84:62:e0:1c:1d,62,-67
4d:84:62:e0:1c:1d,63,-67
4d:84:62:e0:1c:1d,63,-66
4d:84:62:e0:1c:1d,63,-66
4d:84:62:e0:1c:1d,64,-72
4d:84:62:e0:1c:1d,64,-66
4d:84:62:e0:1c:1d,65,-66
4d:84:62:e0:1c:1d,65,-66
4d:84:62:e0:1c:1d,66,-66
4d:84:62:e0:1c:1d,66,-66
4d:84:62:e0:1c:1d,66,-66
4d:84:62:e0:1c:1d,66,-66
4d:84:62:e0:1c:1d,67,-66
4d:84:62:e0:1c:1d,68,-67
4d:84:62:e0:1c:1d,68,-70
4d:84:62:e0:1c:1d,69,-64
4d:84:62:e0:1c:1d,69,-66
4d:84:62:e0:1c:1d,69,-66
4d:84:62:e0:1c:1d,69,-66
4d:84:62:e0:1c:1d,70,-66
4d:84:62:e0:1c:1d,70,-66
4d:84:62:e0:1c:1d,71,-64
4d:84:62:e0:1c:1d,73,-64
4d:84:62:e0:1c:1d,73,-66
4d:84:62:e0:1c:1d,73,-66
4d:84:62:e0:1c:1d,74,-66
4d:84:62:e0:1c:1d,74,-72
4d:84:62:e0:1c:1d,74,-66
4d:84:62:e0:1c:1d,75,-66
4d:84:62:e0:1c:1d,76,-64
4d:84:62:e0:1c:1d,76,-64
4d:84:62:e0:1c:1d,76,-66
4d:84:62:e0:1c:1d,77,-66
4d:84:62:e0:1c:1d,77,-66
4d:84:62:e0:1c:1d,78,-66
4d:84:62:e0:1c:1d,78,-66
4d:84:62:e0:1c:1d,78,-66
4d:84:62:e0:1c:1d,78,-66
4d:84:62:e0:1c:1d,79,-66
4d:84:62:e0:1c:1d,80,-66
4d:84:62:e0:1c:1d,80,-66
4d:84:62:e0:1c:1d,81,-66
4d:84:62:e0:1c:1d,81,-66
4d:84:62:e0:1c:1d,82,-66
4d:84:62:e0:1c:1d,82,-66
4d:84:62:e0:1c:1d,82,-66
4d:84:62:e0:1c:1d,82,-66
4d:84:62:e0:1c:1d,83,-66
4d:84:62:e0:1c:1d,83,-66
4d:84:62:e0:1c:1d,83,-66
4d:84:62:e0:1c:1d,85,-64
4d:84:62:e0:1c:1d,85,-66
4d:84:62:e0:1c:1d,85,-66
4d:84:62:e0:1c:1d,87,-66
4d:84:62:e0:1c:1d,87,-66
4d:84:62:e0:1c:1d,87,-66
4d:84:62:e0:1c:1d,89,-64
4d:84:62:e0:1c:1d,91,-66
4d:84:62:e0:1c:1d,91,-66
4d:84:62:e0:1c:1d,91,-66
4d:84:62:e0:1c:1d,92,-66
4d:84:62:e0:1c:1d,93,-66
4d:84:62:e0:1c:1d,93,-65
4d:84:62:e0:1c:1d,94,-67
4d:84:62:e0:1c:1d,94,-66
4d:84:62:e0:1c:1d,94,-66
4d:84:62:e0:1c:1d,94,-64
4d:84:62:e0:1c:1d,95,-66
4d:84:62:e0:1c:1d,96,-66
4d:84:62:e0:1c:1d,97,-66
4d:84:62:e0:1c:1d,98,-66
4d:84:62:e0:1c:1d,98,-66
4d:84:62:e0:1c:1d,99,-66
4d:84:62:e0:1c:1d,99,-66
4d:84:62:e0:1c:1d,99,-66
00:bf:48:5e:b8:6d,100,-96
4d:84:62:e0:1c:1d,101,-66
4d:84:62:e0:1c:1d,101,-64
4d:84:62:e0:1c:1d,102,-66
4d:84:62:e0:1c:1d,102,-66
4d:84:62:e0:1c:1d,102,-68
4d:84:62:e0:1c:1d,103,-66
4d:84:62:e0:1c:1d,104,-66
4d:84:62:e0:1c:1d,104,-72
4d:84:62:e0:1c:1d,104,-66
4d:84:62:e0:1c:1d,105,-68
4d:84:62:e0:1c:1d,105,-66
4d:84:62:e0:1c:1d,106,-66
4d:84:62:e0:1c:1d,106,-65
4d:84:62:e0:1c:1d,107,-65
4d:84:62:e0:1c:1d,107,-65
4d:84:62:e0:1c:1d,108,-64
4d:84:62:e0:1c:1d,108,-65
4d:84:62:e0:1c:1d,108,-65
4d:84:62:e0:1c:1d,109,-70
4d:84:62:e0:1c:1d,110,-66
4d:84:62:e0:1c:1d,110,-71
4d:84:62:e0:1c:1d,111,-66
4d:84:62:e0:1c:1d,111,-65
4d:84:62:e0:1c:1d,111,-65
4d:84:62:e0:1c:1d,112,-66
4d:84:62:e0:1c:1d,112,-65
4d:84:62:e0:1c:1d,112,-63
4d:84:62:e0:1c:1d,114,-64
4d:84:62:e0:1c:1d,114,-65
4d:84:62:e0:1c:1d,114,-65
4d:84:62:e0:1c:1d,115,-65
4d:84:62:e0:1c:1d,115,-66
4d:84:62:e0:1c:1d,115,-65
4d:84:62:e0:1c:1d,116,-65
4d:84:62:e0:1c:1d,116,-65
4d:84:62:e0:1c:1d,117,-65
4d:84:62:e0:1c:1d,117,-64
4d:84:62:e0:1c:1d,118,-70
4d:84:62:e0:1c:1d,118,-65
4d:84:62:e0:1c:1d,118,-65
4d:84:62:e0:1c:1d,119,-71
4d:84:62:e0:1c:1d,121,-64
4d:84:62:e0:1c:1d,122,-66
4d:84:62:e0:1c:1d,122,-65
4d:84:62:e0:1c:1d,122,-65
4d:84:62:e0:1c:1d,122,-65
4d:84:62:e0:1c:1d,124,-71
4d:84:62:e0:1c:1d,124,-71
4d:84:62:e0:1c:1d,125,-63
4d:84:62:e0:1c:1d,126,-65
4d:84:62:e0:1c:1d,126,-65
4d:84:62:e0:1c:1d,127,-71
4d:84:62:e0:1c:1d,127,-65
4d:84:62:e0:1c:1d,128,-65
4d:84:62:e0:1c:1d,128,-65
4d:84:62:e0:1c:1d,128,-65
4d:84:62:e0:1c:1d,130,-65
4d:84:62:e0:1c:1d,132,-65
4d:84:62:e0:1c:1d,132,-65
4d:84:62:e0:1c:1d,134,-69
4d:84:62:e0:1c:1d,135,-65
4d:84:62:e0:1c:1d,135,-65
4d:84:62:e0:1c:1d,136,-65
4d:84:62:e0:1c:1d,136,-65
4d:84:62:e0:1c:1d,136,-65
4d:84:62:e0:1c:1d,137,-65
4d:84:62:e0:1c:1d,137,-65
4d:84:62:e0:1c:1d,138,-66
4d:84:62:e0:1c:1d,138,-64
4d:84:62:e0:1c:1d,140,-65
4d:84:62:e0:1c:1d,142,-63
4d:84:62:e0:1c:1d,142,-63
4d:84:62:e0:1c:1d,142,-65
4d:84:62:e0:1c:1d,142,-65
4d:84:62:e0:1c:1d,143,-65
4d:84:62:e0:1c:1d,144,-65
4d:84:62:e0:1c:1d,144,-67
4d:84:62:e0:1c:1d,145,-62
4d:84:62:e0:1c:1d,146,-65
4d:84:62:e0:1c:1d,146,-63
4d:84:62:e0:1c:1d,146,-65
4d:84:62:e0:1c:1d,147,-66
4d:84:62:e0:1c:1d,147,-66
4d:84:62:e0:1c:1d,148,-67
4d:84:62:e0:1c:1d,149,-67
4d:84:62:e0:1c:1d,149,-67
4d:84:62:e0:1c:1d,149,-67
4d:84:62:e0:1c:1d,150,-69
4d:84:62:e0:1c:1d,150,-66
4d:84:62:e0:1c:1d,150,-68
4d:84:62:e0:1c:1d,152,-67
4d:84:62:e0:1c:1d,152,-69
4d:84:62:e0:1c:1d,153,-68
4d:84:62:e0:1c:1d,155,-64
4d:84:62:e0:1c:1d,155,-67
4d:84:62:e0:1c:1d,156,-66
4d:84:62:e0:1c:1d,157,-66
4d:84:62:e0:1c:1d,157,-68
4d:84:62:e0:1c:1d,158,-64
4d:84:62:e0:1c:1d,159,-72
4d:84:62:e0:1c:1d,159,-72
4d:84:62:e0:1c:1d,159,-66
4d:84:62:e0:1c:1d,160,-66
4d:84:62:e0:1c:1d,161,-66
4d:84:62:e0:1c:1d,162,-66
4d:84:62:e0:1c:1d,162,-66
4d:84:62:e0:1c:1d,163,-70
4d:84:62:e0:1c:1d,163,-66
4d:84:62:e0:1c:1d,163,-66
4d:84:62:e0:1c:1d,164,-66
4d:84:62:e0:1c:1d,164,-72
4d:84:62:e0:1c:1d,165,-66
4d:84:62:e0:1c:1d,165,-66
4d:84:62:e0:1c:1d,165,-66
4d:84:62:e0:1c:1d,167,-66
4d:84:62:e0:1c:1d,167,-66
4d:84:62:e0:1c:1d,167,-66
4d:84:62:e0:1c:1d,168,-66
4d:84:62:e0:1c:1d,168,-66
4d:84:62:e0:1c:1d,169,-66
4d:84:62:e0:1c:1d,169,-66
4d:84:62:e0:1c:1d,171,-66
4d:84:62:e0:1c:1d,171,-66
4d:84:62:e0:1c:1d,172,-66
4d:84:62:e0:1c:1d,172,-66
4d:84:62:e0:1c:1d,173,-66
4d:84:62:e0:1c:1d,173,-66
4d:84:62:e0:1c:1d,173,-66
4d:84:62:e0:1c:1d,175,-64
4d:84:62:e0:1c:1d,175,-64
4d:84:62:e0:1c:1d,175,-67
4d:84:62:e0:1c:1d,176,-66
4d:84:62:e0:1c:1d,176,-66
4d:84:62:e0:1c:1d,178,-66
4d:84:62:e0:1c:1d,179,-64
4d:84:62:e0:1c:1d,179,-66
4d:84:62:e0:1c:1d,180,-66
4d:84:62:e0:1c:1d,180,-72
4d:84:62:e0:1c:1d,180,-66
4d:84:62:e0:1c:1d,181,-66
4d:84:62:e0:1c:1d,181,-66
4d:84:62:e0:1c:1d,181,-66
4d:84:62:e0:1c:1d,182,-66
4d:84:62:e0:1c:1d,182,-66
4d:84:62:e0:1c:1d,183,-64
4d:84:62:e0:1c:1d,184,-66
4d:84:62:e0:1c:1d,185,-66
4d:84:62:e0:1c:1d,185,-66
4d:84:62:e0:1c:1d,186,-66
4d:84:62:e0:1c:1d,186,-66
4d:84:62:e0:1c:1d,187,-68
4d:84:62:e0:1c:1d,188,-66
4d:84:62:e0:1c:1d,189,-66
4d:84:62:e0:1c:1d,189,-66
4d:84:62:e0:1c:1d,190,-66
4d:84:62:e0:1c:1d,190,-66
4d:84:62:e0:1c:1d,191,-64
4d:84:62:e0:1c:1d,192,-64
4d:84:62:e0:1c:1d,192,-66
4d:84:62:e0:1c:1d,192,-66
4d:84:62:e0:1c:1d,192,-66
4d:84:62:e0:1c:1d,192,-66
4d:84:62:e0:1c:1d,193,-66
4d:84:62:e0:1c:1d,193,-66
4d:84:62:e0:1c:1d,193,-64
4d:84:62:e0:1c:1d,194,-64
4d:84:62:e0:1c:1d,194,-64
4d:84:62:e0:1c:1d,194,-64
4d:84:62:e0:1c:1d,195,-64
4d:84:62:e0:1c:1d,195,-63
4d:84:62:e0:1c:1d,195,-64
4d:84:62:e0:1c:1d,195,-64
4d:84:62:e0:1c:1d,196,-66
4d:84:62:e0:1c:1d,196,-64
4d:84:62:e0:1c:1d,197,-101
4d:84:62:e0:1c:1d,198,-66
4d:84:62:e0:1c:1d,199,-66
4d:84:62:e0:1c:1d,199,-66
4d:84:62:e0:1c:1d,199,-72
4d:84:62:e0:1c:1d,200,-66
4d:84:62:e0:1c:1d,201,-66
4d:84:62:e0:1c:1d,201,-66
4d:84:62:e0:1c:1d,201,-66
4d:84:62:e0:1c:1d,201,-66
4d:84:62:e0:1c:1d,202,-66
4d:84:62:e0:1c:1d,203,-64
4d:84:62:e0:1c:1d,203,-66
4d:84:62:e0:1c:1d,203,-66
4d:84:62:e0:1c:1d,203,-66
4d:84:62:e0:1c:1d,204,-66
4d:84:62:e0:1c:1d,204,-66
4d:84:62:e0:1c:1d,205,-66
4d:84:62:e0:1c:1d,205,-66
4d:84:62:e0:1c:1d,207,-66
4d:84:62:e0:1c:1d,208,-67
4d:84:62:e0:1c:1d,208,-66
4d:84:62:e0:1c:1d,208,-66
4d:84:62:e0:1c:1d,209,-65
4d:84:62:e0:1c:1d,210,-65
4d:84:62:e0:1c:1d,210,-65
4d:84:62:e0:1c:1d,211,-66
4d:84:62:e0:1c:1d,211,-69
4d:84:62:e0:1c:1d,212,-66
4d:84:62:e0:1c:1d,212,-66
4d:84:62:e0:1c:1d,213,-66
4d:84:62:e0:1c:1d,213,-66
4d:84:62:e0:1c:1d,213,-66
4d:84:62:e0:1c:1d,213,-67
4d:84:62:e0:1c:1d,214,-71
4d:84:62:e0:1c:1d,215,-66
4d:84:62:e0:1c:1d,215,-66
4d:84:62:e0:1c:1d,215,-66
4d:84:62:e0:1c:1d,216,-66
4d:84:62:e0:1c:1d,216,-66
4d:84:62:e0:1c:1d,217,-66
4d:84:62:e0:1c:1d,217,-66
4d:84:62:e0:1c:1d,217,-66
4d:84:62:e0:1c:1d,218,-64
4d:84:62:e0:1c:1d,219,-66
4d:84:62:e0:1c:1d,220,-66
4d:84:62:e0:1c:1d,221,-66
4d:84:62:e0:1c:1d,221,-66
4d:84:62:e0:1c:1d,222,-66
4d:84:62:e0:1c:1d,223,-66
4d:84:62:e0:1c:1d,223,-66
4d:84:62:e0:1c:1d,224,-66
4d:84:62:e0:1c:1d,225,-72
4d:84:62:e0:1c:1d,225,-66
4d:84:62:e0:1c:1d,226,-66
4d:84:62:e0:1c:1d,227,-64
4d:84:62:e0:1c:1d,227,-66
4d:84:62:e0:1c:1d,228,-66
4d:84:62:e0:1c:1d,229,-66
4d:84:62:e0:1c:1d,229,-66
4d:84:62:e0:1c:1d,229,-66
4d:84:62:e0:1c:1d,229,-68
4d:84:62:e0:1c:1d,230,-66
4d:84:62:e0:1c:1d,230,-66
4d:84:62:e0:1c:1d,231,-64
4d:84:62:e0:1c:1d,232,-66
4d:84:62:e0:1c:1d,232,-66
4d:84:62:e0:1c:1d,233,-66
4d:84:62:e0:1c:1d,233,-66
4d:84:62:e0:1c:1d,234,-66
4d:84:62:e0:1c:1d,235,-64
4d:84:62:e0:1c:1d,235,-66
4d:84:62:e0:1c:1d,235,-66
4d:84:62:e0:1c:1d,236,-66
4d:84:62:e0:1c:1d,237,-66
4d:84:62:e0:1c:1d,237,-66
4d:84:62:e0:1c:1d,237,-66
4d:84:62:e0:1c:1d,238,-66
4d:84:62:e0:1c:1d,239,-64
4d:84:62:e0:1c:1d,239,-64
4d:84:62:e0:1c:1d,239,-66
4d:84:62:e0:1c:1d,240,-66
4d:84:62:e0:1c:1d,242,-66
4d:84:62:e0:1c:1d,242,-66
4d:84:62:e0:1c:1d,244,-66
4d:84:62:e0:1c:1d,244,-62
4d:84:62:e0:1c:1d,244,-66
4d:84:62:e0:1c:1d,244,-66
4d:84:62:e0:1c:1d,245,-66
4d:84:62:e0:1c:1d,246,-66
4d:84:62:e0:1c:1d,246,-66
4d:84:62:e0:1c:1d,248,-64
4d:84:62:e0:1c:1d,248,-66
4d:84:62:e0:1c:1d,248,-66
4d:84:62:e0:1c:1d,249,-66
4d:84:62:e0:1c:1d,249,-66
4d:84:62:e0:1c:1d,249,-66
4d:84:62:e0:1c:1d,250,-66
4d:84:62:e0:1c:1d,252,-64
4d:84:62:e0:1c:1d,252,-64
4d:84:62:e0:1c:1d,252,-66
4d:84:62:e0:1c:1d,252,-66
4d:84:62:e0:1c:1d,253,-66
4d:84:62:e0:1c:1d,253,-66
4d:84:62:e0:1c:1d,255,-66
4d:84:62:e0:1c:1d,257,-66
4d:84:62:e0:1c:1d,257,-66
4d:84:62:e0:1c:1d,258,-66
4d:84:62:e0:1c:1d,259,-66
4d:84:62:e0:1c:1d,260,-64
4d:84:62:e0:1c:1d,260,-66
4d:84:62:e0:1c:1d,260,-66
4d:84:62:e0:1c:1d,261,-66
4d:84:62:e0:1c:1d,261,-66
4d:84:62:e0:1c:1d,262,-66
4d:84:62:e0:1c:1d,262,-66
4d:84:62:e0:1c:1d,262,-66
4d:84:62:e0:1c:1d,262,-72
