AdvA,time,rssi
2f:15:d1:bf:b3:80,0,-92
2f:11:d0:bf:33:8c,0,-90
2f:11:d1:bf:33:8a,1,-89
2f:11:d1:bf:33:8c,1,-88
2f:11:d1:bf:23:8c,4,-88
2f:11:d1:bf:33:8c,4,-87
2f:11:d1:bf:33:8c,4,-87
2f:11:d1:bf:33:8c,5,-86
2f:11:d1:bf:33:8c,5,-90
2f:11:d1:bf:31:8c,5,-87
2f:11:d1:bf:33:8c,5,-88
2f:11:d1:bf:33:8c,6,-88
2f:11:d1:bf:33:8c,7,-89
2e:11:d1:bf:33:8c,7,-89
2f:11:d1:bf:33:8c,8,-88
2f:11:d1:bf:33:8c,8,-88
2f:11:d1:bf:33:8c,10,-88
2f:11:d1:bf:33:8c,10,-89
2f:11:d1:bf:33:8c,11,-89
2f:11:d1:bf:33:8c,14,-99
2f:11:d9:bf:33:8c,15,-89
76:b9:52:1f:27:fa,16,-79
3f:11:d1:bf:33:8c,16,-90
3f:11:d0:bf:33:84,16,-91
76:b9:52:1f:27:fa,16,-87
2f:11:d1:bf:33:8c,17,-89
76:b9:52:1f:27:fa,17,-72
76:b9:52:1f:27:fa,17,-74
76:b9:52:1f:27:fa,17,-68
2f:11:d1:bf:33:8c,18,-88
76:b9:52:1f:27:fa,18,-72
2f:11:51:bf:33:8c,18,-98
2f:11:d1:bf:33:8c,18,-88
76:b9:52:1f:27:fa,19,-65
2f:11:d1:bf:23:cc,19,-90
2f:11:51:bf:33:8c,19,-89
76:b9:52:1f:27:fa,20,-69
76:b9:52:1f:27:fa,20,-84
76:b9:52:1f:27:fa,20,-75
76:b9:52:1f:27:fa,21,-77
2f:11:d1:bf:33:8c,21,-88
76:b9:52:1f:27:fa,21,-78
76:b9:52:1f:27:fa,21,-73
2f:11:d1:bf:33:8c,21,-88
76:b9:52:1f:27:fa,22,-69
2f:11:d1:bf:33:8c,22,-88
76:b9:52:1f:27:fa,23,-77
76:b9:52:1d:27:fa,23,-89
af:15:d9:bf:33:8c,23,-91
76:b9:52:1f:27:fa,23,-87
2f:11:d1:bf:23:8c,24,-90
6f:11:51:bf:33:8d,24,-91
2f:11:d1:bf:33:8c,24,-90
76:b9:52:1f:27:fa,25,-78
2f:11:d1:bf:33:8c,25,-89
76:b9:52:1f:27:fa,25,-88
76:b9:52:1f:27:fa,26,-88
2f:11:d1:bd:33:8c,26,-89
2f:d1:d1:bf:33:8c,27,-89
76:b9:52:1f:27:fa,28,-86
2f:11:d1:bf:3b:8c,28,-89
76:b9:52:1f:27:fa,28,-87
76:99:52:1f:27:fa,29,-87
76:b9:52:1f:27:fa,29,-87
76:b9:52:1f:27:fa,29,-87
76:b9:52:1f:27:fa,30,-88
76:b9:52:1f:27:fa,31,-86
76:b9:52:1f:27:fa,31,-87
76:b9:52:9f:27:fa,31,-88
76:b9:52:1f:27:fa,32,-87
2f:10:d1:bf:33:0c,32,-89
2f:91:d1:bc:33:8c,32,-89
2f:11:d1:bf:31:cc,32,-89
76:b9:52:1f:27:fa,32,-87
76:b9:52:1f:27:fa,34,-88
2f:11:d0:bf:33:8c,34,-90
76:b9:52:1f:27:fa,34,-87
76:b9:52:1f:27:fa,34,-87
76:b9:52:1f:27:fa,35,-87
3f:11:d1:bf:33:8c,35,-88
2f:11:d1:bf:31:0c,35,-89
76:b9:52:1f:27:fa,35,-87
2f:11:d1:bf:23:8c,36,-89
76:b9:52:1f:27:fa,36,-88
76:b9:52:1f:27:fa,37,-87
2f:11:d1:bf:33:8c,37,-89
76:b9:52:1f:27:fa,37,-87
2f:11:d1:bf:23:8c,38,-89
76:b9:52:1f:27:fa,38,-88
76:b9:52:1f:27:fa,38,-85
2f:11:d1:bf:31:84,38,-90
2f:11:d1:bf:33:8c,38,-89
76:b9:52:1f:27:fa,39,-100
2f:11:d1:bf:b3:8c,39,-88
2f:11:d1:bf:33:8c,39,-88
76:b9:52:1f:27:fa,39,-86
76:b9:52:1f:27:fa,40,-87
2f:11:d1:bf:33:8c,40,-88
2f:11:d1:bf:33:8c,41,-88
76:b9:52:1f:27:fa,41,-87
