AdvA,time,rssi
29:21:9f:e4:7a:e7,3,-89
29:21:9e:e4:7a:e7,3,-89
71:17:c0:86:ab:b7,5,-72
71:17:c0:86:ab:b7,6,-78
71:17:c0:86:ab:b7,6,-72
29:21:9f:e4:7a:e7,6,-90
71:17:c0:86:ab:b7,6,-72
71:17:c0:86:ab:b7,6,-80
71:17:c0:86:ab:b7,7,-74
71:17:c0:86:ab:b7,7,-76
29:21:9f:e5:7a:e7,7,-90
71:17:c0:86:ab:b7,8,-76
29:21:9f:e4:7a:e7,8,-90
29:21:9b:e4:7a:e7,8,-89
71:17:c0:86:ab:b7,8,-74
29:21:9f:e4:7a:e7,9,-89
71:17:c0:86:ab:b7,10,-80
71:17:c0:86:ab:b7,11,-77
71:17:c0:86:ab:b7,11,-75
29:21:9f:e4:7a:e6,11,-90
71:17:c0:86:ab:b7,11,-77
29:21:9f:e4:7a:e7,12,-89
29:21:9f:e4:7a:67,13,-89
29:21:9f:e4:7a:e7,14,-90
71:17:c0:86:ab:b7,14,-77
29:21:9f:e4:7a:e7,14,-89
71:17:c0:86:ab:b7,14,-75
29:21:9f:e4:7a:e7,14,-88
71:17:c0:86:ab:b7,14,-78
71:17:c0:86:ab:b7,15,-78
71:17:c0:86:ab:b7,15,-77
71:17:c0:86:ab:b7,15,-78
71:17:c0:86:ab:b7,16,-77
29:21:9f:e4:7a:e7,16,-88
29:a1:9f:e4:7a:e7,16,-89
71:17:c0:86:ab:b7,16,-77
29:21:9f:e4:7a:e7,17,-89
71:17:c0:86:ab:b7,17,-78
71:17:c0:86:ab:b7,17,-77
29:21:9f:e4:7a:e7,18,-88
71:17:c0:86:ab:b7,18,-75
29:21:9f:e4:7a:e7,18,-89
29:21:9f:e4:7a:e7,18,-88
2d:21:9f:e4:7a:e7,18,-88
71:17:c0:86:ab:b7,19,-77
29:21:9f:e4:7a:e7,19,-88
71:17:c0:86:ab:b7,19,-77
71:17:c0:86:ab:b7,19,-83
29:21:9f:f4:6a:ef,20,-88
71:17:c0:86:ab:b7,20,-77
71:17:c0:86:ab:b7,20,-78
29:21:9f:e4:7a:e7,20,-88
29:21:9f:e4:7a:e7,21,-88
71:17:c0:86:ab:b7,21,-77
29:21:9f:e4:7a:e7,21,-89
29:21:9f:e4:7a:e7,21,-88
29:21:9f:e4:7a:e7,21,-96
71:17:c0:86:ab:b7,22,-76
71:17:c0:86:ab:b7,22,-78
29:21:9f:e4:7a:e7,22,-90
71:17:c0:86:ab:b7,23,-78
29:21:9f:e4:7a:a7,23,-88
29:a1:9b:e4:7a:e7,23,-89
71:17:c0:86:ab:b7,24,-78
29:21:9f:e4:7a:e7,24,-88
29:21:9f:e4:78:e7,24,-87
71:17:c0:86:ab:b7,24,-76
29:21:9f:e4:7a:e7,24,-87
29:21:9f:e4:7a:e7,25,-88
29:21:9f:e4:7a:e7,25,-88
29:21:9f:e4:7a:e7,25,-87
29:21:97:e4:7a:e7,25,-88
71:17:c0:86:ab:b7,26,-78
29:21:9f:e4:7a:e7,26,-88
71:17:c0:86:ab:b7,26,-75
71:17:c0:86:ab:b7,26,-77
