AdvA,time,rssi
73:7f:4a:db:4d:da,0,-75
73:7f:4a:db:4d:da,0,-74
73:7f:4a:db:4d:da,1,-65
73:7f:4a:db:4d:da,1,-70
73:7f:4a:db:4d:da,2,-75
73:7f:4a:db:4d:da,3,-66
73:7f:4a:db:4d:da,3,-74
73:7f:4a:db:4d:da,4,-65
73:7f:4a:db:4d:da,4,-65
06:89:64:24:01:11,8,-92
06:89:e4:26:41:19,9,-90
06:89:64:26:81:1f,13,-102
42:1c:99:64:00:04,17,-63
42:1c:99:64:00:04,17,-65
42:1c:99:64:00:04,18,-63
42:1c:99:64:00:04,18,-62
06:89:e4:22:01:59,19,-90
42:1c:99:64:00:04,19,-64
42:1c:99:64:00:04,19,-64
42:1c:99:64:00:04,20,-63
42:1c:99:64:00:04,21,-65
42:1c:99:64:00:04,22,-64
42:1c:99:64:00:04,22,-65
42:1c:99:64:00:04,23,-66
42:1c:99:64:00:04,23,-66
42:1c:99:64:00:04,25,-66
42:1c:99:64:00:04,26,-65
42:1c:99:64:00:04,26,-65
42:1c:99:64:00:04,26,-65
42:1c:99:64:00:04,27,-65
42:1c:99:64:00:04,28,-65
42:1c:99:64:00:04,29,-65
42:1c:99:64:00:04,30,-65
42:1c:99:64:00:04,30,-65
42:1c:99:64:00:04,31,-65
42:1c:99:64:00:04,31,-65
42:1c:99:64:00:04,31,-65
42:1c:99:64:00:04,32,-65
42:1c:99:64:00:04,34,-64
80:89:64:26:03:19,35,-94
42:1c:99:64:00:04,35,-65
42:1c:99:64:00:04,35,-65
42:1c:99:64:00:04,35,-65
42:1c:99:64:00:04,35,-71
42:1c:99:64:00:04,36,-65
42:1c:99:64:00:04,36,-65
42:1c:99:64:00:04,37,-65
42:1c:99:64:00:04,38,-63
42:1c:99:64:00:04,38,-67
42:1c:99:64:00:04,39,-65
42:1c:99:64:00:04,39,-65
42:1c:99:64:00:04,39,-65
42:1c:99:64:00:04,40,-65
42:1c:99:64:00:04,40,-71
42:1c:99:64:00:04,42,-65
42:1c:99:64:00:04,42,-69
42:1c:99:64:00:04,42,-65
42:1c:99:64:00:04,43,-65
42:1c:99:64:00:04,43,-65
42:1c:99:64:00:04,43,-65
42:1c:99:64:00:04,43,-65
42:1c:99:64:00:04,44,-65
42:1c:99:64:00:04,45,-65
42:1c:99:64:00:04,47,-64
42:1c:99:64:00:04,48,-66
42:1c:99:64:00:04,48,-65
42:1c:99:64:00:04,49,-65
42:1c:99:64:00:04,50,-62
42:1c:99:64:00:04,51,-65
42:1c:99:64:00:04,51,-65
42:1c:99:64:00:04,51,-65
42:1c:99:64:00:04,52,-65
42:1c:99:64:00:04,52,-65
42:1c:99:64:00:04,52,-65
42:1c:99:64:00:04,53,-65
42:1c:99:64:00:04,53,-65
42:1c:99:64:00:04,54,-63
42:1c:99:64:00:04,54,-64
42:1c:99:64:00:04,55,-71
42:1c:99:64:00:04,55,-65
42:1c:99:64:00:04,56,-65
42:1c:99:64:00:04,56,-65
42:1c:99:64:00:04,57,-65
42:1c:99:64:00:04,57,-71
42:1c:99:64:00:04,57,-65
42:1c:99:64:00:04,59,-65
42:1c:99:64:00:04,59,-65
42:1c:99:64:00:04,59,-65
42:1c:99:64:00:04,60,-71
42:1c:99:64:00:04,60,-65
42:1c:99:64:00:04,63,-64
42:1c:99:64:00:04,64,-64
42:1c:99:64:00:04,64,-64
42:1c:99:64:00:04,65,-66
42:1c:99:64:00:04,65,-64
42:1c:99:64:00:04,66,-65
42:1c:99:64:00:04,67,-64
42:1c:99:64:00:04,68,-67
42:1c:99:64:00:04,69,-65
42:1c:99:64:00:04,69,-64
42:1c:99:64:00:04,71,-63
42:1c:99:64:00:04,71,-71
42:1c:99:64:00:04,71,-64
42:1c:99:64:00:04,72,-64
42:1c:99:64:00:04,72,-65
42:1c:99:64:00:04,73,-66
42:1c:99:64:00:04,73,-65
42:1c:99:64:00:04,73,-65
42:1c:99:64:00:04,74,-66
42:1c:99:64:00:04,75,-63
42:1c:99:64:00:04,75,-66
42:1c:99:64:00:04,75,-65
42:1c:99:64:00:04,76,-65
42:1c:99:64:00:04,76,-64
42:1c:99:64:00:04,76,-66
42:1c:99:64:00:04,77,-65
42:1c:99:64:00:04,77,-65
42:1c:99:64:00:04,77,-65
42:1c:99:64:00:04,77,-65
42:1c:99:64:00:04,78,-70
42:1c:99:64:00:04,78,-65
42:1c:99:64:00:04,79,-66
42:1c:99:64:00:04,79,-64
42:1c:99:64:00:04,79,-65
42:1c:99:64:00:04,80,-71
42:1c:99:64:00:04,81,-67
42:1c:99:64:00:04,81,-65
42:1c:99:64:00:04,81,-64
42:1c:99:64:00:04,81,-65
42:1c:99:64:00:04,82,-65
42:1c:99:64:00:04,83,-65
42:1c:99:64:00:04,83,-67
42:1c:99:64:00:04,84,-65
42:1c:99:64:00:04,84,-64
42:1c:99:64:00:04,84,-71
42:1c:99:64:00:04,85,-67
42:1c:99:64:00:04,85,-65
42:1c:99:64:00:04,86,-71
42:1c:99:64:00:04,86,-65
42:1c:99:64:00:04,86,-65
