AdvA,time,rssi
3a:67:6a:a9:48:e3,2,-102
09:2a:74:25:86:d5,3,-88
09:2a:74:25:86:d7,4,-88
09:2a:74:25:86:d5,5,-89
09:2a:74:25:86:d5,6,-88
09:2a:74:25:86:d5,7,-88
09:2a:74:25:86:d5,8,-88
09:2a:74:25:86:d5,8,-87
09:2a:74:25:86:d5,9,-88
0d:2a:74:25:86:d5,10,-89
09:2a:74:25:86:d5,10,-89
09:2b:54:65:e0:d5,11,-98
09:2a:74:a5:86:d5,12,-88
09:2a:74:25:86:d5,13,-88
09:2a:74:25:86:d5,13,-88
09:2a:6c:25:86:d5,13,-87
09:2a:74:25:86:d5,14,-89
09:2a:74:21:86:d5,14,-88
09:2a:74:25:86:d5,15,-89
09:2a:74:25:86:d5,15,-88
09:2a:74:05:86:d5,15,-88
09:2a:74:25:86:d3,17,-89
09:2a:74:25:86:d5,18,-88
09:2a:74:25:86:d6,18,-87
09:2a:74:25:86:d5,18,-88
09:2a:74:25:86:d5,19,-87
09:2a:74:25:86:d5,20,-87
09:2a:74:25:86:d5,20,-87
09:2a:74:25:86:d5,20,-88
09:2a:74:25:86:d5,21,-87
09:2a:74:25:86:d5,22,-87
09:2a:74:25:86:d5,22,-86
09:2a:74:25:86:d5,23,-87
09:2a:74:25:86:d5,23,-87
09:2a:74:25:86:d5,23,-87
09:2a:74:25:86:d5,24,-87
09:2a:74:25:86:d5,25,-87
09:2a:74:25:86:d5,25,-87
09:2a:74:25:86:d5,25,-88
09:2a:74:25:86:d5,25,-87
09:2a:74:25:86:d5,26,-89
09:2a:74:25:86:d5,27,-87
08:aa:74:25:86:d5,27,-88
09:2a:74:25:86:d5,28,-88
09:2a:74:25:86:d5,28,-89
09:2a:74:25:86:d5,29,-88
49:2a:7c:25:86:d5,29,-88
09:2a:74:25:86:d5,30,-88
0e:e7:6a:a9:68:e3,30,-89
09:0a:74:25:86:d5,30,-89
09:2a:74:25:86:d5,30,-88
0a:e7:6a:a9:68:e3,31,-89
