AdvA,time,rssi
7f:62:aa:07:bf:37,5,-70
7f:62:aa:07:bf:37,6,-66
7f:62:aa:07:bf:37,6,-66
7f:62:aa:07:bf:37,6,-72
4b:0e:d3:d1:d1:57,7,-78
4b:0e:d3:d1:d1:57,7,-77
4b:0e:d3:d1:d1:57,7,-78
7f:62:aa:07:bf:37,7,-79
4b:0e:d3:d1:d1:57,8,-66
7f:62:aa:07:bf:37,8,-68
4b:0e:d3:d1:d1:57,8,-78
4b:0e:d3:d1:d1:57,8,-78
7f:62:aa:07:bf:37,8,-66
4b:0e:d3:d1:d1:57,8,-76
4b:0e:d3:d1:d1:57,9,-76
4b:0e:d3:d1:d1:57,9,-79
4b:0e:d3:d1:d1:57,10,-76
7f:62:aa:07:bf:37,10,-67
7f:62:aa:07:bf:37,10,-69
4b:0e:d3:d1:d1:57,10,-83
7f:62:aa:07:bf:37,10,-70
4b:0e:d3:d1:d1:57,10,-77
7f:62:aa:07:bf:37,10,-78
4b:0e:d3:d1:d1:57,10,-79
7f:62:aa:07:bf:37,11,-68
4b:0e:d3:d1:d1:57,11,-74
7f:62:aa:07:bf:37,11,-78
4b:0e:d3:d1:d1:57,11,-79
7f:62:aa:07:bf:37,11,-72
4b:0e:d3:d1:d1:57,11,-78
4b:0e:d3:d1:d1:57,12,-76
7f:62:aa:07:bf:37,12,-69
4b:0e:d3:d1:d1:57,12,-75
7f:62:aa:07:bf:37,12,-68
7f:62:aa:07:bf:37,13,-67
4b:0e:d3:d1:d1:57,13,-72
4b:0e:d3:d1:d1:57,13,-74
4b:0e:d3:d1:d1:57,13,-75
4b:0e:d3:d1:d1:57,14,-76
7f:62:aa:07:bf:37,14,-68
4b:0e:d3:d1:d1:57,14,-79
7f:62:aa:07:bf:37,15,-66
7f:62:aa:07:bf:37,15,-78
7f:62:aa:07:bf:37,16,-74
4b:0e:d3:d1:d1:57,16,-77
4b:0e:d3:d1:d1:57,16,-76
7f:62:aa:07:bf:37,17,-69
4b:0e:d3:d1:d1:57,17,-79
7f:62:aa:07:bf:37,17,-69
4b:0e:d3:d1:d1:57,17,-75
4b:0e:d3:d1:d1:57,17,-72
4b:0e:d3:d1:d1:57,18,-74
7f:62:aa:07:bf:37,18,-70
4b:0e:d3:d1:d1:57,18,-74
4b:0e:d3:d1:d1:57,18,-73
7f:62:aa:07:bf:37,18,-66
7f:62:aa:07:bf:37,18,-69
7f:62:aa:07:bf:37,19,-70
4b:0e:d3:d1:d1:57,19,-79
4b:0e:d3:d1:d1:57,20,-74
7f:62:aa:07:bf:37,20,-70
4b:0e:d3:d1:d1:57,20,-74
7f:62:aa:07:bf:37,20,-67
4b:0e:d3:d1:d1:57,20,-76
4b:0e:d3:d1:d1:57,22,-79
7f:62:aa:07:bf:37,22,-68
7f:62:aa:07:bf:37,23,-75
7f:62:aa:07:bf:37,23,-70
4b:0e:d3:d1:d1:57,23,-77
7f:62:aa:07:bf:37,23,-69
7f:62:aa:07:bf:37,24,-74
7f:62:aa:07:bf:37,25,-66
4b:0e:d3:d1:d1:57,25,-76
4b:0e:d3:d1:d1:57,26,-72
4b:0e:d3:d1:d1:57,26,-73
7f:62:aa:07:bf:37,27,-73
4b:0e:d3:d1:d1:57,27,-79
7f:62:aa:07:bf:37,27,-79
7f:62:aa:07:bf:37,27,-78
7f:62:aa:07:bf:37,27,-72
4b:0e:d3:d1:d1:57,28,-79
4b:0e:d3:d1:d1:57,28,-74
7f:62:aa:07:bf:37,28,-68
4b:0e:d3:d1:d1:57,28,-74
7f:62:aa:07:bf:37,28,-68
7f:62:aa:07:bf:37,29,-68
7f:62:aa:07:bf:37,29,-68
4b:0e:d3:d1:d1:57,29,-75
7f:62:aa:07:bf:37,29,-64
4b:0e:d3:d1:d1:57,29,-75
7f:62:aa:07:bf:37,29,-68
4b:0e:d3:d1:d1:57,30,-76
7f:62:aa:07:bf:37,30,-68
4b:0e:d3:d1:d1:57,30,-74
7f:62:aa:07:bf:37,31,-66
4b:0e:d3:d1:d1:57,31,-75
4b:0e:d3:d1:d1:57,31,-75
4b:0e:d3:d1:d1:57,31,-75
7f:62:aa:07:bf:37,32,-67
4b:0e:d3:d1:d1:57,32,-76
7f:62:aa:07:bf:37,32,-67
7f:62:aa:07:bf:37,33,-67
4b:0e:d3:d1:d1:57,33,-76
7f:62:aa:07:bf:37,33,-67
4b:0e:d3:d1:d1:57,33,-78
4b:0e:d3:d1:d1:57,34,-76
7f:62:aa:07:bf:37,34,-64
4b:0e:d3:d1:d1:57,34,-77
7f:62:aa:07:bf:37,35,-66
4b:0e:d3:d1:d1:57,35,-77
7f:62:aa:07:bf:37,35,-66
4b:0e:d3:d1:d1:57,35,-77
7f:62:aa:07:bf:37,35,-66
7f:62:aa:07:bf:37,36,-68
4b:0e:d3:d1:d1:57,36,-78
7f:62:aa:07:bf:37,36,-66
4b:0e:d3:d1:d1:57,36,-77
7f:62:aa:07:bf:37,37,-66
4b:0e:d3:d1:d1:57,37,-77
7f:62:aa:07:bf:37,37,-68
4b:0e:d3:d1:d1:57,37,-77
4b:0e:d3:d1:d1:57,38,-77
7f:62:aa:07:bf:37,38,-66
4b:0e:d3:d1:d1:57,38,-77
4b:0e:d3:d1:d1:57,38,-77
4b:0e:d3:d1:d1:57,39,-79
7f:62:aa:07:bf:37,39,-70
7f:62:aa:07:bf:37,39,-66
4b:0e:d3:d1:d1:57,39,-77
4b:0e:d3:d1:d1:57,40,-77
7f:62:aa:07:bf:37,40,-66
7f:62:aa:07:bf:37,40,-66
4b:0e:d3:d1:d1:57,41,-78
4b:0e:d3:d1:d1:57,41,-78
7f:62:aa:07:bf:37,41,-67
4b:0e:d3:d1:d1:57,41,-78
4b:0e:d3:d1:d1:57,42,-80
7f:62:aa:07:bf:37,42,-66
4b:0e:d3:d1:d1:57,42,-80
4b:0e:d3:d1:d1:57,42,-80
7f:62:aa:07:bf:37,43,-66
7f:62:aa:07:bf:37,43,-78
4b:0e:d3:d1:d1:57,43,-74
7f:62:aa:07:bf:37,43,-78
7f:62:aa:07:bf:37,43,-79
4b:0e:d3:d1:d1:57,44,-79
7f:62:aa:07:bf:37,44,-68
7f:62:aa:07:bf:37,44,-70
7f:62:aa:07:bf:37,44,-68
4b:0e:d3:d1:d1:57,44,-74
4b:0e:d3:d1:d1:57,45,-76
7f:62:aa:07:bf:37,45,-71
4b:0e:d3:d1:d1:57,45,-76
7f:62:aa:07:bf:37,45,-78
4b:0e:d3:d1:d1:57,46,-75
4b:0e:d3:d1:d1:57,46,-77
4b:0e:d3:d1:d1:57,46,-77
4b:0e:d3:d1:d1:57,46,-75
4b:0e:d3:d1:d1:57,47,-76
4b:0e:d3:d1:d1:57,47,-77
7f:62:aa:07:bf:37,47,-68
4b:0e:d3:d1:d1:57,47,-76
7f:62:aa:07:bf:37,48,-75
4b:0e:d3:d1:d1:57,48,-79
4b:0e:d3:d1:d1:57,48,-80
7f:62:aa:07:bf:37,49,-69
4b:0e:d3:d1:d1:57,49,-81
4b:0e:d3:d1:d1:57,49,-81
7f:62:aa:07:bf:37,49,-69
4b:0e:d3:d1:d1:57,50,-79
7f:62:aa:07:bf:37,51,-67
4b:0e:d3:d1:d1:57,51,-77
7f:62:aa:07:bf:37,51,-69
4b:0e:d3:d1:d1:57,51,-79
7f:62:aa:07:bf:37,51,-68
4b:0e:d3:d1:d1:57,51,-76
4b:0e:d3:d1:d1:57,52,-76
7f:62:aa:07:bf:37,52,-69
7f:62:aa:07:bf:37,52,-68
7f:62:aa:07:bf:37,53,-68
4b:0e:d3:d1:d1:57,53,-78
4b:0e:d3:d1:d1:57,53,-78
4b:0e:d3:d1:d1:57,53,-77
7f:62:aa:07:bf:37,53,-70
4b:0e:d3:d1:d1:57,54,-76
7f:62:aa:07:bf:37,54,-68
7f:62:aa:07:bf:37,55,-70
4b:0e:d3:d1:d1:57,55,-76
4b:0e:d3:d1:d1:57,55,-75
7f:62:aa:07:bf:37,55,-67
4b:0e:d3:d1:d1:57,55,-74
7f:62:aa:07:bf:37,55,-67
7f:62:aa:07:bf:37,56,-69
4b:0e:d3:d1:d1:57,56,-76
7f:62:aa:07:bf:37,56,-68
7f:62:aa:07:bf:37,56,-75
4b:0e:d3:d1:d1:57,57,-74
4b:0e:d3:d1:d1:57,57,-81
7f:62:aa:07:bf:37,57,-67
4b:0e:d3:d1:d1:57,57,-75
7f:62:aa:07:bf:37,57,-74
4b:0e:d3:d1:d1:57,57,-75
7f:62:aa:07:bf:37,59,-66
7f:62:aa:07:bf:37,59,-68
4b:0e:d3:d1:d1:57,59,-75
4b:0e:d3:d1:d1:57,60,-75
4b:0e:d3:d1:d1:57,60,-75
7f:62:aa:07:bf:37,60,-68
4b:0e:d3:d1:d1:57,60,-75
7f:62:aa:07:bf:37,61,-68
4b:0e:d3:d1:d1:57,61,-75
4b:0e:d3:d1:d1:57,62,-75
4b:0e:d3:d1:d1:57,62,-75
4b:0e:d3:d1:d1:57,63,-75
4b:0e:d3:d1:d1:57,63,-75
4b:0e:d3:d1:d1:57,63,-75
7f:62:aa:07:bf:37,63,-66
7f:62:aa:07:bf:37,63,-74
4b:0e:d3:d1:d1:57,64,-77
7f:62:aa:07:bf:37,64,-68
4b:0e:d3:d1:d1:57,64,-75
7f:62:aa:07:bf:37,64,-70
4b:0e:d3:d1:d1:57,65,-76
7f:62:aa:07:bf:37,65,-68
4b:0e:d3:d1:d1:57,65,-75
7f:62:aa:07:bf:37,65,-68
4b:0e:d3:d1:d1:57,65,-75
7f:62:aa:07:bf:37,65,-68
4b:0e:d3:d1:d1:57,65,-75
4b:0e:d3:d1:d1:57,66,-75
7f:62:aa:07:bf:37,66,-68
4b:0e:d3:d1:d1:57,66,-76
7f:62:aa:07:bf:37,66,-68
4b:0e:d3:d1:d1:57,67,-76
4b:0e:d3:d1:d1:57,67,-76
7f:62:aa:07:bf:37,67,-66
4b:0e:d3:d1:d1:57,67,-76
4b:0e:d3:d1:d1:57,68,-75
4b:0e:d3:d1:d1:57,68,-74
7f:62:aa:07:bf:37,68,-68
7f:62:aa:07:bf:37,69,-68
4b:0e:d3:d1:d1:57,69,-75
4b:0e:d3:d1:d1:57,69,-75
7f:62:aa:07:bf:37,70,-68
4b:0e:d3:d1:d1:57,70,-75
4b:0e:d3:d1:d1:57,71,-77
4b:0e:d3:d1:d1:57,71,-75
7f:62:aa:07:bf:37,71,-68
4b:0e:d3:d1:d1:57,72,-76
7f:62:aa:07:bf:37,72,-68
7f:62:aa:07:bf:37,72,-68
4b:0e:d3:d1:d1:57,73,-75
7f:62:aa:07:bf:37,73,-68
4b:0e:d3:d1:d1:57,73,-75
7f:62:aa:07:bf:37,73,-68
4b:0e:d3:d1:d1:57,73,-75
4b:0e:d3:d1:d1:57,74,-76
4b:0e:d3:d1:d1:57,74,-75
7f:62:aa:07:bf:37,74,-68
4b:0e:d3:d1:d1:57,75,-75
4b:0e:d3:d1:d1:57,75,-75
4b:0e:d3:d1:d1:57,75,-75
7f:62:aa:07:bf:37,75,-68
4b:0e:d3:d1:d1:57,76,-76
4b:0e:d3:d1:d1:57,76,-75
7f:62:aa:07:bf:37,76,-68
7f:62:aa:07:bf:37,77,-68
4b:0e:d3:d1:d1:57,77,-77
7f:62:aa:07:bf:37,77,-68
7f:62:aa:07:bf:37,78,-68
4b:0e:d3:d1:d1:57,78,-76
4b:0e:d3:d1:d1:57,79,-75
4b:0e:d3:d1:d1:57,79,-76
7f:62:aa:07:bf:37,79,-68
4b:0e:d3:d1:d1:57,79,-75
4b:0e:d3:d1:d1:57,79,-75
7f:62:aa:07:bf:37,80,-66
4b:0e:d3:d1:d1:57,80,-75
7f:62:aa:07:bf:37,80,-68
7f:62:aa:07:bf:37,80,-68
4b:0e:d3:d1:d1:57,81,-75
7f:62:aa:07:bf:37,81,-68
4b:0e:d3:d1:d1:57,81,-75
4b:0e:d3:d1:d1:57,81,-77
4b:0e:d3:d1:d1:57,81,-75
7f:62:aa:07:bf:37,81,-68
4b:0e:d3:d1:d1:57,82,-75
4b:0e:d3:d1:d1:57,82,-75
7f:62:aa:07:bf:37,82,-68
7f:62:aa:07:bf:37,83,-68
4b:0e:d3:d1:d1:57,83,-77
7f:62:aa:07:bf:37,84,-66
7f:62:aa:07:bf:37,84,-68
4b:0e:d3:d1:d1:57,84,-75
7f:62:aa:07:bf:37,84,-74
4b:0e:d3:d1:d1:57,84,-77
7f:62:aa:07:bf:37,84,-68
4b:0e:d3:d1:d1:57,85,-76
7f:62:aa:07:bf:37,85,-74
4b:0e:d3:d1:d1:57,85,-76
7f:62:aa:07:bf:37,85,-68
7f:62:aa:07:bf:37,85,-68
7f:62:aa:07:bf:37,85,-68
7f:62:aa:07:bf:37,86,-68
4b:0e:d3:d1:d1:57,86,-75
7f:62:aa:07:bf:37,86,-68
7f:62:aa:07:bf:37,87,-68
4b:0e:d3:d1:d1:57,87,-82
7f:62:aa:07:bf:37,87,-68
4b:0e:d3:d1:d1:57,87,-77
7f:62:aa:07:bf:37,88,-68
4b:0e:d3:d1:d1:57,88,-78
7f:62:aa:07:bf:37,88,-68
7f:62:aa:07:bf:37,89,-68
4b:0e:d3:d1:d1:57,89,-76
7f:62:aa:07:bf:37,89,-68
4b:0e:d3:d1:d1:57,89,-76
4b:0e:d3:d1:d1:57,90,-75
7f:62:aa:07:bf:37,90,-68
4b:0e:d3:d1:d1:57,90,-78
7f:62:aa:07:bf:37,90,-68
4b:0e:d3:d1:d1:57,90,-76
7f:62:aa:07:bf:37,90,-68
4b:0e:d3:d1:d1:57,91,-76
7f:62:aa:07:bf:37,91,-68
4b:0e:d3:d1:d1:57,91,-76
4b:0e:d3:d1:d1:57,91,-76
7f:62:aa:07:bf:37,92,-66
4b:0e:d3:d1:d1:57,92,-76
7f:62:aa:07:bf:37,92,-68
7f:62:aa:07:bf:37,92,-68
4b:0e:d3:d1:d1:57,92,-76
7f:62:aa:07:bf:37,92,-68
7f:62:aa:07:bf:37,93,-68
4b:0e:d3:d1:d1:57,93,-82
4b:0e:d3:d1:d1:57,93,-78
4b:0e:d3:d1:d1:57,93,-76
4b:0e:d3:d1:d1:57,94,-76
7f:62:aa:07:bf:37,94,-68
7f:62:aa:07:bf:37,94,-68
4b:0e:d3:d1:d1:57,95,-76
7f:62:aa:07:bf:37,95,-68
4b:0e:d3:d1:d1:57,95,-76
4b:0e:d3:d1:d1:57,95,-76
4b:0e:d3:d1:d1:57,95,-76
4b:0e:d3:d1:d1:57,96,-76
7f:62:aa:07:bf:37,96,-66
4b:0e:d3:d1:d1:57,96,-76
4b:0e:d3:d1:d1:57,96,-77
7f:62:aa:07:bf:37,96,-68
4b:0e:d3:d1:d1:57,97,-76
7f:62:aa:07:bf:37,97,-68
4b:0e:d3:d1:d1:57,97,-75
7f:62:aa:07:bf:37,97,-68
4b:0e:d3:d1:d1:57,97,-75
4b:0e:d3:d1:d1:57,98,-76
4b:0e:d3:d1:d1:57,98,-75
7f:62:aa:07:bf:37,99,-68
7f:62:aa:07:bf:37,99,-68
4b:0e:d3:d1:d1:57,99,-82
4b:0e:d3:d1:d1:57,99,-76
4b:0e:d3:d1:d1:57,100,-76
7f:62:aa:07:bf:37,100,-66
4b:0e:d3:d1:d1:57,100,-75
7f:62:aa:07:bf:37,101,-68
4b:0e:d3:d1:d1:57,101,-76
7f:62:aa:07:bf:37,101,-68
4b:0e:d3:d1:d1:57,102,-76
7f:62:aa:07:bf:37,102,-68
4b:0e:d3:d1:d1:57,103,-78
7f:62:aa:07:bf:37,103,-68
4b:0e:d3:d1:d1:57,104,-76
7f:62:aa:07:bf:37,104,-68
7f:62:aa:07:bf:37,105,-68
4b:0e:d3:d1:d1:57,105,-76
4b:0e:d3:d1:d1:57,105,-76
7f:62:aa:07:bf:37,105,-68
4b:0e:d3:d1:d1:57,105,-76
4b:0e:d3:d1:d1:57,106,-76
7f:62:aa:07:bf:37,106,-68
4b:0e:d3:d1:d1:57,106,-76
4b:0e:d3:d1:d1:57,107,-76
7f:62:aa:07:bf:37,107,-68
7f:62:aa:07:bf:37,107,-98
4b:0e:d3:d1:d1:57,107,-78
7f:62:aa:07:bf:37,108,-66
7f:62:aa:07:bf:37,108,-66
4b:0e:d3:d1:d1:57,108,-76
7f:62:aa:07:bf:37,108,-68
7f:62:aa:07:bf:37,109,-68
4b:0e:d3:d1:d1:57,109,-76
7f:62:aa:07:bf:37,109,-74
4b:0e:d3:d1:d1:57,109,-75
7f:62:aa:07:bf:37,109,-68
4b:0e:d3:d1:d1:57,110,-76
7f:62:aa:07:bf:37,110,-68
4b:0e:d3:d1:d1:57,110,-76
7f:62:aa:07:bf:37,110,-68
4b:0e:d3:d1:d1:57,110,-76
7f:62:aa:07:bf:37,110,-68
4b:0e:d3:d1:d1:57,111,-76
7f:62:aa:07:bf:37,111,-68
7f:62:aa:07:bf:37,111,-68
7f:62:aa:07:bf:37,111,-69
4b:0e:d3:d1:d1:57,112,-76
7f:62:aa:07:bf:37,112,-66
7f:62:aa:07:bf:37,112,-68
4b:0e:d3:d1:d1:57,112,-76
7f:62:aa:07:bf:37,112,-68
4b:0e:d3:d1:d1:57,113,-76
7f:62:aa:07:bf:37,113,-68
4b:0e:d3:d1:d1:57,113,-76
7f:62:aa:07:bf:37,113,-70
4b:0e:d3:d1:d1:57,113,-76
7f:62:aa:07:bf:37,113,-68
4b:0e:d3:d1:d1:57,113,-78
7f:62:aa:07:bf:37,113,-68
4b:0e:d3:d1:d1:57,114,-76
7f:62:aa:07:bf:37,114,-68
7f:62:aa:07:bf:37,114,-68
7f:62:aa:07:bf:37,114,-68
4b:0e:d3:d1:d1:57,115,-76
4b:0e:d3:d1:d1:57,115,-76
7f:62:aa:07:bf:37,115,-68
7f:62:aa:07:bf:37,115,-68
7f:62:aa:07:bf:37,115,-68
4b:0e:d3:d1:d1:57,116,-76
4b:0e:d3:d1:d1:57,116,-76
4b:0e:d3:d1:d1:57,117,-76
7f:62:aa:07:bf:37,117,-72
4b:0e:d3:d1:d1:57,117,-76
7f:62:aa:07:bf:37,117,-68
7f:62:aa:07:bf:37,117,-68
4b:0e:d3:d1:d1:57,117,-76
7f:62:aa:07:bf:37,117,-68
4b:0e:d3:d1:d1:57,118,-76
7f:62:aa:07:bf:37,118,-68
4b:0e:d3:d1:d1:57,118,-76
4b:0e:d3:d1:d1:57,119,-78
4b:0e:d3:d1:d1:57,119,-76
7f:62:aa:07:bf:37,119,-68
4b:0e:d3:d1:d1:57,119,-78
7f:62:aa:07:bf:37,119,-68
4b:0e:d3:d1:d1:57,120,-76
4b:0e:d3:d1:d1:57,120,-76
4b:0e:d3:d1:d1:57,120,-76
7f:62:aa:07:bf:37,120,-66
4b:0e:d3:d1:d1:57,121,-78
7f:62:aa:07:bf:37,121,-69
4b:0e:d3:d1:d1:57,121,-76
7f:62:aa:07:bf:37,121,-68
4b:0e:d3:d1:d1:57,121,-64
7f:62:aa:07:bf:37,121,-68
7f:62:aa:07:bf:37,122,-68
4b:0e:d3:d1:d1:57,122,-75
4b:0e:d3:d1:d1:57,122,-76
4b:0e:d3:d1:d1:57,123,-76
7f:62:aa:07:bf:37,123,-68
4b:0e:d3:d1:d1:57,123,-75
4b:0e:d3:d1:d1:57,124,-76
7f:62:aa:07:bf:37,124,-68
4b:0e:d3:d1:d1:57,124,-76
4b:0e:d3:d1:d1:57,124,-75
7f:62:aa:07:bf:37,125,-66
4b:0e:d3:d1:d1:57,125,-75
7f:62:aa:07:bf:37,125,-68
4b:0e:d3:d1:d1:57,125,-76
7f:62:aa:07:bf:37,125,-70
7f:62:aa:07:bf:37,126,-68
7f:62:aa:07:bf:37,126,-68
4b:0e:d3:d1:d1:57,126,-76
7f:62:aa:07:bf:37,126,-68
4b:0e:d3:d1:d1:57,127,-82
7f:62:aa:07:bf:37,127,-68
4b:0e:d3:d1:d1:57,127,-76
7f:62:aa:07:bf:37,127,-68
4b:0e:d3:d1:d1:57,128,-82
7f:62:aa:07:bf:37,128,-68
4b:0e:d3:d1:d1:57,128,-76
7f:62:aa:07:bf:37,129,-72
4b:0e:d3:d1:d1:57,129,-75
7f:62:aa:07:bf:37,129,-74
4b:0e:d3:d1:d1:57,129,-76
4b:0e:d3:d1:d1:57,129,-76
4b:0e:d3:d1:d1:57,130,-76
7f:62:aa:07:bf:37,130,-68
4b:0e:d3:d1:d1:57,130,-76
7f:62:aa:07:bf:37,130,-70
4b:0e:d3:d1:d1:57,130,-81
7f:62:aa:07:bf:37,130,-68
7f:62:aa:07:bf:37,131,-68
4b:0e:d3:d1:d1:57,131,-76
7f:62:aa:07:bf:37,131,-68
4b:0e:d3:d1:d1:57,131,-76
4b:0e:d3:d1:d1:57,131,-81
4b:0e:d3:d1:d1:57,132,-77
4b:0e:d3:d1:d1:57,132,-76
7f:62:aa:07:bf:37,132,-66
4b:0e:d3:d1:d1:57,133,-75
7f:62:aa:07:bf:37,133,-68
4b:0e:d3:d1:d1:57,133,-76
7f:62:aa:07:bf:37,133,-68
4b:0e:d3:d1:d1:57,133,-76
7f:62:aa:07:bf:37,133,-68
7f:62:aa:07:bf:37,133,-70
4b:0e:d3:d1:d1:57,134,-76
7f:62:aa:07:bf:37,134,-68
4b:0e:d3:d1:d1:57,134,-76
7f:62:aa:07:bf:37,134,-70
4b:0e:d3:d1:d1:57,135,-75
4b:0e:d3:d1:d1:57,135,-75
4b:0e:d3:d1:d1:57,135,-76
7f:62:aa:07:bf:37,135,-68
7f:62:aa:07:bf:37,135,-68
7f:62:aa:07:bf:37,136,-68
4b:0e:d3:d1:d1:57,136,-75
4b:0e:d3:d1:d1:57,137,-76
4b:0e:d3:d1:d1:57,137,-75
4b:0e:d3:d1:d1:57,137,-75
4b:0e:d3:d1:d1:57,137,-76
4b:0e:d3:d1:d1:57,138,-77
4b:0e:d3:d1:d1:57,138,-76
7f:62:aa:07:bf:37,138,-68
4b:0e:d3:d1:d1:57,139,-76
4b:0e:d3:d1:d1:57,139,-76
7f:62:aa:07:bf:37,139,-68
4b:0e:d3:d1:d1:57,139,-76
7f:62:aa:07:bf:37,139,-68
7f:62:aa:07:bf:37,140,-68
4b:0e:d3:d1:d1:57,140,-76
4b:0e:d3:d1:d1:57,140,-76
4b:0e:d3:d1:d1:57,140,-81
4b:0e:d3:d1:d1:57,141,-76
7f:62:aa:07:bf:37,141,-66
7f:62:aa:07:bf:37,141,-68
4b:0e:d3:d1:d1:57,142,-76
4b:0e:d3:d1:d1:57,142,-75
7f:62:aa:07:bf:37,142,-69
4b:0e:d3:d1:d1:57,143,-76
7f:62:aa:07:bf:37,143,-71
7f:62:aa:07:bf:37,143,-70
4b:0e:d3:d1:d1:57,143,-76
7f:62:aa:07:bf:37,143,-69
7f:62:aa:07:bf:37,144,-68
4b:0e:d3:d1:d1:57,144,-75
4b:0e:d3:d1:d1:57,144,-74
7f:62:aa:07:bf:37,144,-70
4b:0e:d3:d1:d1:57,144,-79
4b:0e:d3:d1:d1:57,145,-74
4b:0e:d3:d1:d1:57,145,-77
7f:62:aa:07:bf:37,145,-66
4b:0e:d3:d1:d1:57,145,-74
4b:0e:d3:d1:d1:57,146,-78
4b:0e:d3:d1:d1:57,146,-84
7f:62:aa:07:bf:37,146,-68
4b:0e:d3:d1:d1:57,146,-74
7f:62:aa:07:bf:37,147,-68
4b:0e:d3:d1:d1:57,147,-75
4b:0e:d3:d1:d1:57,148,-74
7f:62:aa:07:bf:37,148,-69
4b:0e:d3:d1:d1:57,148,-74
7f:62:aa:07:bf:37,148,-69
4b:0e:d3:d1:d1:57,148,-75
4b:0e:d3:d1:d1:57,148,-74
4b:0e:d3:d1:d1:57,149,-75
7f:62:aa:07:bf:37,149,-66
7f:62:aa:07:bf:37,149,-69
4b:0e:d3:d1:d1:57,149,-74
7f:62:aa:07:bf:37,150,-68
