AdvA,time,rssi
7c:c1:1e:c0:f5:c4,2,-62
7c:c1:1e:c0:f5:c4,4,-61
7c:c1:1e:c0:f5:c4,5,-61
7c:c1:1e:c0:f5:c4,5,-61
7c:c1:1e:c0:f5:c4,5,-69
7c:c1:1e:c0:f5:c4,6,-62
7c:c1:1e:c0:f5:c4,6,-61
7c:c1:1e:c0:f5:c4,7,-64
7c:c1:1e:c0:f5:c4,7,-62
7c:c1:1e:c0:f5:c4,9,-61
7c:c1:1e:c0:f5:c4,9,-63
7c:c1:1e:c0:f5:c4,9,-63
7c:c1:1e:c0:f5:c4,9,-63
7c:c1:1e:c0:f5:c4,10,-63
7c:c1:1e:c0:f5:c4,10,-63
7c:c1:1e:c0:f5:c4,10,-63
7c:c1:1e:c0:f5:c4,11,-66
7c:c1:1e:c0:f5:c4,12,-62
7c:c1:1e:c0:f5:c4,12,-65
7c:c1:1e:c0:f5:c4,13,-65
7c:c1:1e:c0:f5:c4,13,-63
7c:c1:1e:c0:f5:c4,15,-65
7c:c1:1e:c0:f5:c4,15,-65
7c:c1:1e:c0:f5:c4,15,-65
7c:c1:1e:c0:f5:c4,16,-67
7c:c1:1e:c0:f5:c4,17,-63
7c:c1:1e:c0:f5:c4,18,-65
7c:c1:1e:c0:f5:c4,18,-67
7c:c1:1e:c0:f5:c4,20,-65
7c:c1:1e:c0:f5:c4,20,-65
7c:c1:1e:c0:f5:c4,20,-65
7c:c1:1e:c0:f5:c4,21,-65
7c:c1:1e:c0:f5:c4,21,-69
7c:c1:1e:c0:f5:c4,22,-65
7c:c1:1e:c0:f5:c4,23,-65
7c:c1:1e:c0:f5:c4,23,-65
7c:c1:1e:c0:f5:c4,23,-65
7c:c1:1e:c0:f5:c4,24,-65
7c:c1:1e:c0:f5:c4,24,-65
7c:c1:1e:c0:f5:c4,24,-65
7c:c1:1e:c0:f5:c4,25,-63
7c:c1:1e:c0:f5:c4,26,-65
7c:c1:1e:c0:f5:c4,26,-65
7c:c1:1e:c0:f5:c4,27,-65
7c:c1:1e:c0:f5:c4,27,-65
7c:c1:1e:c0:f5:c4,27,-65
7c:c1:1e:c0:f5:c4,27,-71
7c:c1:1e:c0:f5:c4,28,-65
7c:c1:1e:c0:f5:c4,28,-67
7c:c1:1e:c0:f5:c4,28,-65
7c:c1:1e:c0:f5:c4,30,-71
7c:c1:1e:c0:f5:c4,30,-65
7c:c1:1e:c0:f5:c4,30,-65
7c:c1:1e:c0:f5:c4,31,-65
7c:c1:1e:c0:f5:c4,31,-65
7c:c1:1e:c0:f5:c4,31,-71
7c:c1:1e:c0:f5:c4,31,-65
7c:c1:1e:c0:f5:c4,32,-65
7c:c1:1e:c0:f5:c4,33,-62
7c:c1:1e:c0:f5:c4,34,-62
7c:c1:1e:c0:f5:c4,34,-65
7c:c1:1e:c0:f5:c4,34,-65
7c:c1:1e:c0:f5:c4,35,-64
7c:c1:1e:c0:f5:c4,35,-64
7c:c1:1e:c0:f5:c4,35,-65
7c:c1:1e:c0:f5:c4,36,-69
7c:c1:1e:c0:f5:c4,36,-64
7c:c1:1e:c0:f5:c4,37,-62
7c:c1:1e:c0:f5:c4,37,-65
7c:c1:1e:c0:f5:c4,38,-65
7c:c1:1e:c0:f5:c4,39,-65
7c:c1:1e:c0:f5:c4,39,-65
7c:c1:1e:c0:f5:c4,40,-64
7c:c1:1e:c0:f5:c4,40,-65
7c:c1:1e:c0:f5:c4,42,-61
7c:c1:1e:c0:f5:c4,42,-63
7c:c1:1e:c0:f5:c4,43,-63
7c:c1:1e:c0:f5:c4,43,-64
7c:c1:1e:c0:f5:c4,43,-63
7c:c1:1e:c0:f5:c4,44,-65
7c:c1:1e:c0:f5:c4,44,-64
7c:c1:1e:c0:f5:c4,45,-64
7c:c1:1e:c0:f5:c4,46,-62
7c:c1:1e:c0:f5:c4,46,-63
7c:c1:1e:c0:f5:c4,46,-65
7c:c1:1e:c0:f5:c4,47,-71
7c:c1:1e:c0:f5:c4,48,-67
7c:c1:1e:c0:f5:c4,48,-65
7c:c1:1e:c0:f5:c4,49,-65
7c:c1:1e:c0:f5:c4,50,-63
7c:c1:1e:c0:f5:c4,50,-65
7c:c1:1e:c0:f5:c4,50,-64
7c:c1:1e:c0:f5:c4,51,-65
7c:c1:1e:c0:f5:c4,51,-64
7c:c1:1e:c0:f5:c4,52,-65
7c:c1:1e:c0:f5:c4,52,-65
7c:c1:1e:c0:f5:c4,52,-67
7c:c1:1e:c0:f5:c4,53,-65
7c:c1:1e:c0:f5:c4,54,-63
7c:c1:1e:c0:f5:c4,54,-63
7c:c1:1e:c0:f5:c4,55,-65
7c:c1:1e:c0:f5:c4,55,-65
7c:c1:1e:c0:f5:c4,55,-65
7c:c1:1e:c0:f5:c4,57,-65
7c:c1:1e:c0:f5:c4,58,-63
7c:c1:1e:c0:f5:c4,59,-65
7c:c1:1e:c0:f5:c4,59,-65
7c:c1:1e:c0:f5:c4,60,-65
7c:c1:1e:c0:f5:c4,60,-64
7c:c1:1e:c0:f5:c4,61,-65
7c:c1:1e:c0:f5:c4,61,-65
7c:c1:1e:c0:f5:c4,62,-64
7c:c1:1e:c0:f5:c4,63,-64
7c:c1:1e:c0:f5:c4,63,-64
7c:c1:1e:c0:f5:c4,64,-64
7c:c1:1e:c0:f5:c4,64,-70
7c:c1:1e:c0:f5:c4,64,-64
7c:c1:1e:c0:f5:c4,65,-64
7c:c1:1e:c0:f5:c4,65,-64
7c:c1:1e:c0:f5:c4,65,-64
7c:c1:1e:c0:f5:c4,66,-64
7c:c1:1e:c0:f5:c4,67,-63
7c:c1:1e:c0:f5:c4,67,-63
7c:c1:1e:c0:f5:c4,68,-63
7c:c1:1e:c0:f5:c4,69,-63
7c:c1:1e:c0:f5:c4,70,-61
7c:c1:1e:c0:f5:c4,71,-63
7c:c1:1e:c0:f5:c4,71,-63
7c:c1:1e:c0:f5:c4,72,-63
7c:c1:1e:c0:f5:c4,73,-63
7c:c1:1e:c0:f5:c4,74,-63
7c:c1:1e:c0:f5:c4,74,-63
7c:c1:1e:c0:f5:c4,75,-61
7c:c1:1e:c0:f5:c4,76,-64
7c:c1:1e:c0:f5:c4,77,-63
7c:c1:1e:c0:f5:c4,77,-63
7c:c1:1e:c0:f5:c4,77,-63
7c:c1:1e:c0:f5:c4,79,-64
7c:c1:1e:c0:f5:c4,80,-65
7c:c1:1e:c0:f5:c4,80,-65
7c:c1:1e:c0:f5:c4,81,-63
7c:c1:1e:c0:f5:c4,82,-63
7c:c1:1e:c0:f5:c4,82,-64
7c:c1:1e:c0:f5:c4,83,-65
7c:c1:1e:c0:f5:c4,84,-65
7c:c1:1e:c0:f5:c4,84,-65
7c:c1:1e:c0:f5:c4,84,-65
7c:c1:1e:c0:f5:c4,84,-65
7c:c1:1e:c0:f5:c4,85,-64
7c:c1:1e:c0:f5:c4,85,-63
7c:c1:1e:c0:f5:c4,86,-69
7c:c1:1e:c0:f5:c4,86,-63
7c:c1:1e:c0:f5:c4,87,-62
7c:c1:1e:c0:f5:c4,87,-64
7c:c1:1e:c0:f5:c4,87,-64
7c:c1:1e:c0:f5:c4,88,-64
7c:c1:1e:c0:f5:c4,88,-64
7c:c1:1e:c0:f5:c4,89,-64
7c:c1:1e:c0:f5:c4,89,-64
7c:c1:1e:c0:f5:c4,90,-63
7c:c1:1e:c0:f5:c4,90,-64
7c:c1:1e:c0:f5:c4,91,-62
7c:c1:1e:c0:f5:c4,91,-64
7c:c1:1e:c0:f5:c4,91,-64
7c:c1:1e:c0:f5:c4,92,-64
7c:c1:1e:c0:f5:c4,92,-63
7c:c1:1e:c0:f5:c4,92,-63
7c:c1:1e:c0:f5:c4,93,-63
7c:c1:1e:c0:f5:c4,94,-63
7c:c1:1e:c0:f5:c4,95,-63
7c:c1:1e:c0:f5:c4,96,-63
7c:c1:1e:c0:f5:c4,96,-64
7c:c1:1e:c0:f5:c4,97,-65
7c:c1:1e:c0:f5:c4,97,-63
7c:c1:1e:c0:f5:c4,98,-64
7c:c1:1e:c0:f5:c4,99,-62
7c:c1:1e:c0:f5:c4,100,-63
7c:c1:1e:c0:f5:c4,100,-63
7c:c1:1e:c0:f5:c4,101,-64
7c:c1:1e:c0:f5:c4,101,-63
7c:c1:1e:c0:f5:c4,102,-64
7c:c1:1e:c0:f5:c4,102,-65
7c:c1:1e:c0:f5:c4,103,-63
7c:c1:1e:c0:f5:c4,104,-64
