AdvA,time,rssi
3e:3f:ba:9c:03:a4,2,-91
36:24:6e:68:bf:34,3,-100
3e:37:b2:8c:9b:a0,3,-90
26:26:6e:b8:ff:34,4,-100
3e:37:b2:8d:9b:a0,4,-89
36:24:66:38:bf:14,4,-91
3e:37:b2:8d:99:20,4,-88
3e:37:f2:8c:9b:a0,5,-89
56:71:46:d0:9b:9e,6,-70
3e:36:b2:8d:93:a8,7,-90
56:71:46:d0:9b:9e,7,-73
56:71:46:d0:9b:9e,7,-76
56:71:46:d0:9b:9e,7,-63
56:71:46:d0:9b:9e,8,-73
56:71:46:d0:9b:9e,8,-66
7e:37:22:8d:d9:a0,9,-91
56:71:46:d0:9b:9e,10,-68
3e:37:b2:8c:9b:a0,10,-88
3e:37:b2:8c:9b:a0,10,-88
56:71:46:d0:9b:9e,11,-67
56:71:46:d0:9b:9e,11,-68
3e:37:b2:8c:9b:a0,12,-88
56:71:46:d0:9b:9e,12,-68
3e:37:b2:8c:9b:a0,12,-88
56:71:46:d0:9b:9e,12,-66
3e:37:b2:8c:99:a0,12,-89
56:71:46:d0:9b:9e,12,-66
56:71:46:d0:9b:9e,13,-66
3e:37:b2:8c:9b:a0,13,-89
56:71:46:d0:9b:9e,13,-68
56:71:46:d0:9b:9e,13,-67
56:71:46:d0:9b:9e,14,-67
3e:37:b2:8c:9b:a0,14,-89
3e:37:b2:8c:9b:a0,14,-89
7e:37:b4:8c:9b:a0,15,-89
56:71:46:d0:9b:9e,15,-64
7e:37:b2:8c:9b:a0,15,-88
56:71:46:d0:9b:9e,15,-66
56:71:46:d0:9b:9e,16,-63
3e:37:b2:8c:9b:a0,16,-89
3e:37:b0:8c:9b:20,17,-97
3e:37:b2:8c:9b:a0,17,-89
3e:37:b2:8c:9b:24,18,-89
3e:37:b2:8c:9b:20,18,-89
56:71:46:d0:9b:9e,18,-66
3e:37:b2:8c:9b:24,18,-89
56:71:46:d0:9b:9e,19,-70
3e:17:b2:8c:9b:a0,19,-89
56:71:46:d0:9b:9e,19,-77
56:71:46:d0:9b:9e,20,-73
56:71:46:d0:9b:9e,20,-64
56:71:46:d0:9b:9e,21,-66
56:71:46:d0:9b:9e,21,-68
56:71:46:d0:9b:9e,21,-66
3e:37:b2:8c:9b:a0,22,-88
56:71:46:d0:9b:9e,22,-66
56:71:46:d0:9b:9e,22,-68
3e:36:32:8c:9b:a0,22,-91
56:71:46:d0:9b:9e,22,-66
56:71:46:d0:9b:9e,23,-64
56:71:46:d0:9b:9e,23,-64
56:71:46:d0:9b:9e,23,-66
56:71:46:d0:9b:9e,24,-66
56:71:46:d0:9b:9e,24,-67
56:71:46:d0:9b:9e,24,-67
56:71:46:d0:9b:9e,24,-66
3e:37:b2:8c:9b:a0,25,-99
56:71:46:d0:9b:9e,25,-73
56:71:46:d0:9b:9e,25,-64
3e:37:b2:8c:9b:a0,25,-89
56:71:46:d0:9b:9e,26,-62
3e:37:b2:8c:99:a0,26,-89
3e:37:b2:8c:9b:a0,26,-90
56:71:46:d0:9b:9e,26,-65
3e:97:b2:8c:9b:20,26,-89
56:71:46:d0:9b:9e,26,-65
56:71:46:d0:9b:9e,27,-64
56:71:46:d0:9b:9e,27,-64
3e:37:b2:8c:9b:a0,27,-89
56:71:46:d0:9b:9e,27,-67
56:71:46:d0:9b:9e,28,-67
3e:37:b2:8c:9b:a0,28,-88
3e:37:b2:8c:9b:a0,28,-88
3e:37:b2:8c:9b:a0,29,-88
3e:37:b2:8c:9b:a0,29,-89
56:71:46:d0:9b:9e,29,-64
56:71:46:d0:9b:9e,30,-64
3e:36:b2:8c:9b:a0,30,-88
56:71:46:d0:9b:9e,30,-65
56:71:46:d0:9b:9e,30,-65
56:71:46:d0:9b:9e,31,-64
56:71:46:d0:9b:9e,31,-64
3e:37:b2:8c:9b:a0,31,-89
56:71:46:d0:9b:9e,31,-65
56:71:46:d0:9b:9e,32,-64
56:71:46:d0:9b:9e,32,-64
2e:37:b2:8c:99:a0,32,-89
56:71:46:d0:9b:9e,32,-63
3e:37:b2:8c:9b:a0,32,-89
56:71:46:d0:9b:9e,33,-65
3e:37:b2:8c:9b:a0,33,-88
56:71:46:d0:9b:9e,33,-63
56:71:46:d0:9b:9e,34,-63
3e:37:b2:8c:9b:a0,34,-88
56:71:46:d0:9b:9e,34,-63
3e:37:b2:8c:9b:a0,34,-88
3e:37:b2:8c:9b:a0,34,-88
56:71:46:d0:9b:9e,34,-63
56:71:46:d0:9b:9e,34,-63
3e:3f:8a:8c:1b:a0,35,-88
3e:37:b2:8c:9b:a0,35,-88
56:71:46:d0:9b:9e,35,-63
3e:37:b2:8c:9b:a0,36,-89
3e:37:b2:8d:9b:a0,36,-89
56:71:46:d0:9b:9e,36,-63
7e:37:b2:8c:9b:a0,37,-88
56:71:46:d0:9b:9e,37,-63
3f:37:ba:9c:99:a0,37,-89
56:71:46:d0:9b:9e,37,-63
56:71:46:d0:9b:9e,38,-63
56:71:46:d0:9b:9e,39,-63
56:71:46:d0:9b:9e,39,-63
56:71:46:d0:9b:9e,39,-69
56:71:46:d0:9b:9e,40,-63
3f:37:b2:8c:9b:a0,40,-88
3e:37:b2:8c:9b:a0,40,-88
56:71:46:d0:9b:9e,40,-63
56:71:46:d0:9b:9e,40,-63
56:71:46:d0:9b:9e,40,-69
3e:37:b2:8c:9b:a0,41,-88
56:71:46:d0:9b:9e,41,-63
3e:37:b2:8c:9b:a0,41,-88
56:71:46:d0:9b:9e,41,-63
