AdvA,time,rssi
6f:27:39:4f:64:1d,5,-68
6f:27:39:4f:64:1d,5,-68
6f:27:39:4f:64:1d,6,-66
6f:27:39:4f:64:1d,6,-67
4a:23:2e:7a:ac:08,6,-88
6f:27:39:4f:64:1d,7,-68
4a:23:2e:7a:ac:08,7,-87
4a:23:2e:7a:ac:08,7,-87
4a:23:2e:7a:ac:08,8,-86
6f:27:39:4f:64:1d,8,-66
6f:27:39:4f:64:1d,8,-66
4e:23:22:7c:ac:68,8,-90
4a:23:2e:7a:ac:08,9,-86
4a:23:2e:7a:ac:08,9,-87
6f:27:39:4f:64:1d,9,-78
4a:23:2e:7a:ac:08,10,-84
6f:27:39:4f:64:1d,10,-77
4a:23:2e:7a:ac:08,10,-86
4a:23:2e:7a:ac:08,10,-86
4a:23:2e:7a:ac:08,11,-86
6f:27:39:4f:64:1d,11,-68
4a:23:2a:7a:ac:08,11,-90
6f:27:39:4f:64:1d,11,-67
6f:27:39:4f:64:1d,12,-67
4a:23:2e:7a:ac:08,12,-86
6f:27:39:4f:64:1d,12,-68
4b:a3:2e:7a:ac:08,12,-89
6f:27:39:4f:64:1d,13,-68
6f:27:39:4f:64:1d,13,-68
4a:23:2e:7a:ac:08,13,-89
6f:27:39:4f:64:1d,15,-74
6f:27:39:4f:64:1d,15,-68
4a:23:2e:7a:ac:08,15,-86
6f:27:39:4f:64:1d,15,-68
4a:23:2e:7a:ac:08,15,-87
6f:27:39:4f:64:1d,15,-68
4a:23:2e:7a:ac:08,16,-88
4a:23:2e:7a:ac:08,16,-86
6f:27:39:4f:64:1d,16,-68
4a:23:2e:7a:ac:08,16,-87
6f:27:39:4f:64:1d,16,-68
4a:23:2e:7a:ac:08,16,-87
6f:27:39:4f:64:1d,17,-67
4a:23:2e:7a:ac:08,17,-87
4a:23:2e:7a:ac:08,17,-87
4a:23:2e:7a:ac:08,17,-86
4a:23:2e:7a:ac:08,18,-84
6f:27:39:4f:64:1d,18,-66
4a:23:2e:7a:ac:08,18,-84
6f:27:39:4f:64:1d,18,-68
4a:23:2e:7a:ac:08,19,-84
6f:27:39:4f:64:1d,19,-68
4a:23:2e:7a:ac:08,19,-84
6f:27:39:4f:64:1d,20,-68
4a:23:2e:7a:ac:08,20,-86
6f:27:39:4f:64:1d,21,-68
4a:23:2e:7a:ac:08,21,-87
4a:23:2e:7a:ac:08,21,-87
4a:23:2e:7a:ac:08,22,-88
6f:27:39:4f:64:1d,22,-67
4a:23:2e:7a:ac:08,22,-88
6f:27:39:4f:64:1d,22,-67
4a:23:2e:7a:ac:08,22,-88
6f:27:39:4f:64:1d,23,-71
6f:27:39:4f:64:1d,23,-69
4a:23:2e:7a:ac:08,23,-88
6f:27:39:4f:64:1d,23,-69
4a:23:2e:7a:ac:08,23,-86
6f:27:39:4f:64:1d,24,-69
6f:27:39:4f:64:1d,24,-69
4a:23:2e:7a:ac:08,24,-87
6f:27:39:4f:64:1d,24,-69
4a:23:2e:7a:ac:08,24,-88
6f:27:39:4f:64:1d,24,-69
6f:27:39:4f:64:1d,25,-69
4a:23:2e:7a:ac:08,25,-87
6f:27:39:4f:64:1d,25,-68
6f:27:39:4f:64:1d,25,-68
4a:23:2e:7a:ac:08,25,-84
4a:23:2e:7a:ac:08,26,-86
4a:23:2e:7a:ac:08,26,-88
6f:27:39:4f:64:1d,26,-68
4a:23:2e:7a:ac:08,27,-87
4a:23:2e:7a:ac:08,27,-85
6f:27:39:4f:64:1d,27,-70
4a:23:2e:7a:ac:08,27,-86
6f:27:39:4f:64:1d,27,-74
4a:23:2e:7a:ac:08,27,-86
6f:27:39:4f:64:1d,28,-70
4a:23:2e:7a:ac:08,28,-85
6f:27:39:4f:64:1d,28,-72
4a:23:2e:7a:ac:08,29,-88
6f:27:39:4f:64:1d,29,-72
4a:23:2e:7a:ac:08,29,-87
6f:27:39:4f:64:1d,29,-70
4a:23:2e:7a:ac:08,29,-84
6f:27:39:4f:64:1d,30,-68
4a:23:2e:7a:ac:08,30,-79
6f:27:39:4f:64:1d,30,-78
4a:23:2e:7a:ac:08,31,-86
6f:27:39:4f:64:1d,31,-72
6f:27:39:4f:64:1d,31,-72
4a:23:2e:7a:ac:08,31,-84
6f:27:39:4f:64:1d,32,-78
4a:23:2e:7a:ac:08,32,-85
6f:27:39:4f:64:1d,32,-74
4a:23:2e:7a:ac:08,32,-87
6f:27:39:4f:64:1d,32,-70
4a:23:2e:7a:ac:08,33,-87
6f:27:39:4f:64:1d,33,-70
4a:23:2e:7a:ac:08,33,-89
4a:23:2e:7a:ac:08,34,-87
4a:23:2e:7a:ac:08,35,-87
6f:27:39:4f:64:1d,35,-72
4a:23:2e:7a:ac:08,35,-87
4a:23:2e:7a:ac:08,35,-87
6f:27:39:4f:64:1d,35,-79
4a:23:2e:7b:ad:08,36,-89
4a:23:2e:7a:ac:08,36,-87
4a:23:2e:7a:ac:08,36,-86
6f:27:39:4f:64:1d,36,-79
6f:27:39:4f:64:1d,37,-74
4a:23:2e:7a:ac:08,37,-84
6f:27:39:4f:64:1d,37,-74
4a:23:2e:7a:ac:08,38,-88
6f:27:39:4f:64:1d,39,-69
6f:27:39:4f:64:1d,39,-72
4a:23:2e:7a:ac:08,39,-87
6f:27:39:4f:64:1d,40,-72
6f:27:39:4f:64:1d,40,-78
4a:23:2e:7a:ac:08,41,-88
4a:23:2e:7a:ac:08,41,-86
6f:27:39:4f:64:1d,41,-78
6f:27:39:4f:64:1d,41,-72
4a:23:2e:7a:ac:08,42,-87
4a:23:2e:7a:ac:08,42,-88
4a:23:2e:7a:ac:08,42,-87
6f:27:39:4f:64:1d,42,-69
4a:23:2e:7a:ac:08,43,-86
6f:27:39:4f:64:1d,43,-70
6f:27:39:4f:64:1d,43,-79
4a:23:2e:7a:ac:08,43,-86
4a:23:2e:7a:ac:08,44,-88
6f:27:39:4f:64:1d,45,-72
4a:23:2e:7a:ac:08,45,-87
6f:27:39:4f:64:1d,45,-78
4a:23:2e:7a:ac:08,45,-88
6f:27:39:4f:64:1d,45,-72
4a:23:2e:7a:ac:08,45,-88
6f:27:39:4f:64:1d,46,-78
4a:23:2e:7a:ac:08,46,-88
4a:23:2e:7a:ac:08,47,-86
6f:27:39:4f:64:1d,47,-72
4a:23:2e:7a:ac:08,47,-87
6f:27:39:4f:64:1d,47,-72
4a:23:2e:7a:ac:08,47,-88
4a:23:2e:7a:ac:08,48,-87
6f:27:39:4f:64:1d,48,-78
