address,time,rssi
3a:5a:a9:59:b5:33,0.0,-87
0c:37:44:e6:59:8b,0.078669,-54
0e:81:70:7d:a4:51,0.248501,-81
1c:33:59:11:31:23,0.303739,-62
0e:79:3e:8b:b7:19,0.537669,-75
0e:81:70:7d:a4:51,1.072843,-82
0e:79:3e:8b:b7:19,1.088283,-73
1c:33:59:11:31:23,1.121142,-62
0c:37:44:e6:59:8b,1.173943,-52
01:97:8b:36:3f:b4,1.719318,-86
0e:79:3e:8b:b7:19,1.912498,-79
1c:33:59:11:31:23,1.932183,-63
0e:81:70:7d:a4:51,2.180443,-80
0e:79:3e:8b:b7:19,2.187898,-73
1c:33:59:11:31:23,2.205661,-67
0c:37:44:e6:59:8b,2.266002,-61
0e:81:70:7d:a4:51,2.729449,-79
1c:33:59:11:31:23,2.751866,-66
01:97:8b:36:3f:b4,2.82034,-85
0c:37:44:e6:59:8b,2.820797,-50
1c:33:59:11:31:23,3.019652,-63
0e:79:3e:8b:b7:19,3.026328,-79
0c:37:44:e6:59:8b,3.096582,-44
0e:81:70:7d:a4:51,3.286487,-81
1c:33:59:11:31:23,3.559133,-60
0e:79:3e:8b:b7:19,3.572547,-80
0c:37:44:e6:59:8b,3.650873,-46
38:ba:e7:fb:12:66,4.061947,-97
0e:81:70:7d:a4:51,4.112295,-78
3a:5a:a9:59:b5:33,4.125084,-87
0e:79:3e:8b:b7:19,4.128707,-81
0c:37:44:e6:59:8b,4.196844,-45
01:97:8b:36:3f:b4,4.47176,-93
0e:81:70:7d:a4:51,4.652545,-77
0e:79:3e:8b:b7:19,4.677491,-77
0c:37:44:e6:59:8b,4.749079,-46
1c:33:59:11:31:23,4.923868,-61
1c:33:59:11:31:23,5.190457,-65
0e:81:70:7d:a4:51,5.202486,-77
0e:79:3e:8b:b7:19,5.221436,-77
0c:37:44:e6:59:8b,5.296306,-47
1c:33:59:11:31:23,5.739883,-69
0e:81:70:7d:a4:51,5.756733,-78
0e:79:3e:8b:b7:19,6.047843,-73
0c:37:44:e6:59:8b,6.121327,-50
3e:db:f4:15:8b:e5,6.128119,-96
1c:33:59:11:31:23,6.281597,-62
0e:81:70:7d:a4:51,6.579665,-77
0e:79:3e:8b:b7:19,6.598784,-80
0c:37:44:e6:59:8b,6.674633,-47
1c:33:59:11:31:23,7.096507,-63
0e:81:70:7d:a4:51,7.130162,-78
0e:79:3e:8b:b7:19,7.147982,-80
0c:37:44:e6:59:8b,7.229218,-45
1c:33:59:11:31:23,7.39619,-62
0e:79:3e:8b:b7:19,7.704223,-73
0e:81:70:7d:a4:51,7.958437,-83
0c:37:44:e6:59:8b,8.06164,-56
0e:79:3e:8b:b7:19,8.260493,-80
0c:37:44:e6:59:8b,8.336632,-56
3a:5a:a9:59:b5:33,8.548536,-90
01:97:8b:36:3f:b4,8.595608,-89
1c:33:59:11:31:23,9.004053,-63
0e:79:3e:8b:b7:19,9.091552,-75
1c:33:59:11:31:23,9.548197,-69
0e:81:70:7d:a4:51,9.621682,-81
3a:5a:a9:59:b5:33,9.648119,-89
0c:37:44:e6:59:8b,9.710982,-54
0e:79:3e:8b:b7:19,9.919962,-79
0f:d5:ee:91:21:1a,9.950096,-95
1c:33:59:11:31:23,10.092612,-64
1c:33:59:11:31:23,10.366942,-68
3a:5a:a9:59:b5:33,10.463137,-92
0c:37:44:e6:59:8b,10.53614,-55
01:97:8b:36:3f:b4,10.699785,-92
0e:79:3e:8b:b7:19,10.74911,-74
0f:d5:ee:91:21:1a,10.767867,-89
1c:33:59:11:31:23,10.909445,-68
0e:81:70:7d:a4:51,10.981943,-79
0e:81:70:7d:a4:51,11.253777,-81
0c:37:44:e6:59:8b,11.450464,-47
0e:79:3e:8b:b7:19,11.565615,-78
0e:81:70:7d:a4:51,11.813174,-79
0e:79:3e:8b:b7:19,12.122041,-73
0c:37:44:e6:59:8b,12.154093,-46
0e:81:70:7d:a4:51,12.359335,-80
0e:79:3e:8b:b7:19,12.395469,-78
21:c4:de:0a:b3:8e,12.410212,-91
0f:d5:ee:91:21:1a,12.425519,-92
1c:33:59:11:31:23,12.534653,-65
0c:37:44:e6:59:8b,12.708036,-46
0e:79:3e:8b:b7:19,12.936414,-76
0e:81:70:7d:a4:51,13.191689,-83
3a:5a:a9:59:b5:33,13.219133,-87
6e:fe:3f:63:01:03,13.476194,-74
0c:37:44:e6:59:8b,13.538656,-47
0e:81:70:7d:a4:51,13.743015,-84
3e:db:f4:15:8b:e5,14.029186,-93
0c:37:44:e6:59:8b,14.371683,-62
0e:81:70:7d:a4:51,14.575695,-83
6e:fe:3f:63:01:03,14.640007,-89
01:97:8b:36:3f:b4,14.648075,-87
1c:33:59:11:31:23,14.977006,-61
0e:79:3e:8b:b7:19,15.132932,-73
6e:fe:3f:63:01:03,15.184947,-89
1c:33:59:11:31:23,15.52001,-65
0c:37:44:e6:59:8b,15.62065,-60
0e:81:70:7d:a4:51,15.660663,-84
0e:79:3e:8b:b7:19,15.690398,-73
0f:d5:ee:91:21:1a,16.013303,-92
01:97:8b:36:3f:b4,16.304863,-77
1c:33:59:11:31:23,16.332705,-64
0e:81:70:7d:a4:51,16.484487,-79
0e:79:3e:8b:b7:19,16.520373,-74
21:c4:de:0a:b3:8e,16.530587,-91
6e:fe:3f:63:01:03,16.608279,-90
0c:37:44:e6:59:8b,16.655617,-61
1c:33:59:11:31:23,16.883261,-64
0e:81:70:7d:a4:51,17.318432,-84
0e:79:3e:8b:b7:19,17.348982,-79
6e:fe:3f:63:01:03,17.468168,-73
0c:37:44:e6:59:8b,17.485924,-57
0f:d5:ee:91:21:1a,17.662911,-91
0e:81:70:7d:a4:51,17.871834,-84
01:97:8b:36:3f:b4,17.956948,-81
1c:33:59:11:31:23,17.966944,-63
6e:fe:3f:63:01:03,18.042,-71
0e:79:3e:8b:b7:19,18.173946,-77
0c:37:44:e6:59:8b,18.321747,-74
21:c4:de:0a:b3:8e,18.457758,-92
1c:33:59:11:31:23,18.513521,-63
01:97:8b:36:3f:b4,18.515378,-84
0c:37:44:e6:59:8b,18.593792,-60
0e:81:70:7d:a4:51,18.699462,-85
6e:fe:3f:63:01:03,18.904539,-73
3e:db:f4:15:8b:e5,18.934001,-95
0f:d5:ee:91:21:1a,19.033894,-91
0e:81:70:7d:a4:51,19.252297,-83
1c:33:59:11:31:23,19.326112,-64
0e:81:70:7d:a4:51,19.526198,-85
0e:79:3e:8b:b7:19,19.561355,-77
0c:37:44:e6:59:8b,19.691347,-73
0f:d5:ee:91:21:1a,19.857015,-90
1c:33:59:11:31:23,19.869885,-65
21:c4:de:0a:b3:8e,20.385266,-93
01:97:8b:36:3f:b4,20.448314,-82
0c:37:44:e6:59:8b,20.622019,-57
6e:fe:3f:63:01:03,20.630763,-83
0e:79:3e:8b:b7:19,20.656433,-78
1c:33:59:11:31:23,20.684598,-67
01:97:8b:36:3f:b4,20.728083,-86
0c:37:44:e6:59:8b,21.170998,-63
0e:79:3e:8b:b7:19,21.203033,-76
1c:33:59:11:31:23,21.233227,-66
01:97:8b:36:3f:b4,21.545881,-86
0e:81:70:7d:a4:51,21.72147,-85
3a:5a:a9:59:b5:33,21.749763,-90
0e:79:3e:8b:b7:19,21.754209,-77
1c:33:59:11:31:23,21.773671,-66
0c:37:44:e6:59:8b,22.265445,-71
0e:81:70:7d:a4:51,22.268068,-81
0e:79:3e:8b:b7:19,22.309514,-79
1c:33:59:11:31:23,22.314271,-66
0e:79:3e:8b:b7:19,22.581541,-77
6e:fe:3f:63:01:03,22.633139,-85
0c:37:44:e6:59:8b,22.817979,-76
3a:5a:a9:59:b5:33,22.851149,-90
01:97:8b:36:3f:b4,22.931645,-81
0e:81:70:7d:a4:51,23.094111,-85
0f:d5:ee:91:21:1a,23.15322,-92
1c:33:59:11:31:23,23.401193,-66
6e:fe:3f:63:01:03,23.493336,-91
0e:81:70:7d:a4:51,23.64559,-88
1c:33:59:11:31:23,23.698369,-65
0e:79:3e:8b:b7:19,23.954194,-74
01:97:8b:36:3f:b4,24.03211,-82
0f:d5:ee:91:21:1a,24.252789,-94
0c:37:44:e6:59:8b,24.458409,-78
0e:81:70:7d:a4:51,24.463325,-84
01:97:8b:36:3f:b4,24.584385,-81
0e:81:70:7d:a4:51,24.741892,-88
0c:37:44:e6:59:8b,24.754257,-70
1c:33:59:11:31:23,25.0318,-66
3e:db:f4:15:8b:e5,25.18147,-95
0e:81:70:7d:a4:51,25.297271,-84
0f:d5:ee:91:21:1a,25.343595,-92
0c:37:44:e6:59:8b,25.433321,-73
1c:33:59:11:31:23,25.575861,-64
21:c4:de:0a:b3:8e,25.606533,-94
0c:37:44:e6:59:8b,25.712117,-74
0e:81:70:7d:a4:51,25.872724,-83
0e:79:3e:8b:b7:19,25.89176,-78
0c:37:44:e6:59:8b,26.143856,-68
3a:5a:a9:59:b5:33,26.161949,-87
1c:33:59:11:31:23,26.389993,-68
01:97:8b:36:3f:b4,26.509261,-77
3e:db:f4:15:8b:e5,26.543734,-92
0c:37:44:e6:59:8b,26.709702,-78
0e:79:3e:8b:b7:19,26.975308,-78
0e:81:70:7d:a4:51,27.240015,-89
3a:5a:a9:59:b5:33,27.266887,-87
01:97:8b:36:3f:b4,27.343309,-82
0c:37:44:e6:59:8b,27.521236,-73
1c:33:59:11:31:23,27.754854,-67
0c:37:44:e6:59:8b,27.793223,-80
0e:79:3e:8b:b7:19,27.805298,-73
3a:5a:a9:59:b5:33,27.81806,-86
01:97:8b:36:3f:b4,27.892043,-82
6e:fe:3f:63:01:03,28.059686,-96
1c:33:59:11:31:23,28.325346,-66
0c:37:44:e6:59:8b,28.345992,-70
0e:79:3e:8b:b7:19,28.36276,-75
01:97:8b:36:3f:b4,28.45187,-85
0e:81:70:7d:a4:51,28.616536,-75
21:c4:de:0a:b3:8e,28.628966,-94
0e:79:3e:8b:b7:19,28.910596,-74
6e:fe:3f:63:01:03,29.192832,-87
01:97:8b:36:3f:b4,29.275913,-86
0e:81:70:7d:a4:51,29.447839,-74
3e:db:f4:15:8b:e5,29.53372,-93
0c:37:44:e6:59:8b,29.721497,-71
21:c4:de:0a:b3:8e,29.725251,-95
0e:79:3e:8b:b7:19,29.727153,-79
0e:79:3e:8b:b7:19,30.001787,-73
01:97:8b:36:3f:b4,30.107415,-91
0e:81:70:7d:a4:51,30.547164,-76
1c:33:59:11:31:23,30.739213,-67
0c:37:44:e6:59:8b,30.823154,-74
0e:79:3e:8b:b7:19,30.833978,-73
3a:5a:a9:59:b5:33,30.853385,-91
6e:fe:3f:63:01:03,30.913877,-86
01:97:8b:36:3f:b4,30.935423,-87
1c:33:59:11:31:23,31.014126,-65
0e:81:70:7d:a4:51,31.369484,-72
0c:37:44:e6:59:8b,31.377895,-71
0e:79:3e:8b:b7:19,31.383386,-79
6e:fe:3f:63:01:03,31.561339,-90
1c:33:59:11:31:23,31.830645,-65
0c:37:44:e6:59:8b,31.882649,-78
0e:81:70:7d:a4:51,31.92197,-72
0f:d5:ee:91:21:1a,31.973646,-89
01:97:8b:36:3f:b4,32.041034,-82
0e:79:3e:8b:b7:19,32.529119,-77
1c:33:59:11:31:23,32.644754,-62
0c:37:44:e6:59:8b,32.699162,-78
0e:81:70:7d:a4:51,32.752039,-87
1c:33:59:11:31:23,32.913567,-64
0e:81:70:7d:a4:51,33.023255,-84
0e:79:3e:8b:b7:19,33.031249,-78
0f:d5:ee:91:21:1a,33.07171,-88
