address,time,rssi
19:6c:ec:38:91:a2,0.0,-82
20:1f:ad:0e:93:19,0.375355,-72
1c:e2:4a:e8:52:ab,0.420523,-74
3c:2c:ee:21:2c:f4,0.601259,-56
3f:8d:81:e3:f4:82,0.820856,-94
3c:2c:ee:21:2c:f4,1.14971,-67
20:1f:ad:0e:93:19,1.198026,-75
08:83:d2:d4:dc:44,1.900889,-84
3f:8d:81:e3:f4:82,1.907215,-86
19:6c:ec:38:91:a2,1.914209,-81
08:83:d2:d4:dc:44,2.178359,-91
3c:2c:ee:21:2c:f4,2.309772,-55
1c:e2:4a:e8:52:ab,2.334201,-74
24:08:39:07:9a:e9,2.880749,-96
3f:8d:81:e3:f4:82,3.014471,-93
20:1f:ad:0e:93:19,3.120791,-74
3c:2c:ee:21:2c:f4,3.143153,-46
19:6c:ec:38:91:a2,3.295446,-82
1c:e2:4a:e8:52:ab,3.428448,-84
3f:8d:81:e3:f4:82,3.836738,-83
08:83:d2:d4:dc:44,3.837929,-88
20:1f:ad:0e:93:19,3.979496,-75
08:83:d2:d4:dc:44,4.1184,-89
20:1f:ad:0e:93:19,4.227516,-73
3c:2c:ee:21:2c:f4,4.24017,-36
1c:e2:4a:e8:52:ab,4.254126,-74
19:6c:ec:38:91:a2,4.409796,-82
08:83:d2:d4:dc:44,4.672788,-92
3c:2c:ee:21:2c:f4,5.069687,-36
19:6c:ec:38:91:a2,5.237656,-83
3c:2c:ee:21:2c:f4,5.340612,-40
1c:e2:4a:e8:52:ab,5.363429,-74
08:83:d2:d4:dc:44,5.513646,-87
19:6c:ec:38:91:a2,5.79065,-79
20:1f:ad:0e:93:19,5.880863,-75
1c:e2:4a:e8:52:ab,5.913639,-76
3f:8d:81:e3:f4:82,6.030901,-96
1c:e2:4a:e8:52:ab,6.187044,-74
3f:8d:81:e3:f4:82,6.302192,-84
19:6c:ec:38:91:a2,6.345477,-79
20:1f:ad:0e:93:19,6.426843,-73
3c:2c:ee:21:2c:f4,6.723813,-36
1c:e2:4a:e8:52:ab,7.008583,-76
3f:8d:81:e3:f4:82,7.124635,-84
20:1f:ad:0e:93:19,7.236622,-74
