address,time,rssi
27:c3:c8:e3:4c:7b,0.0,-67
1f:4b:30:b2:58:c6,0.191956,-87
27:c3:c8:e3:4c:7b,0.277403,-65
0d:4a:e2:0b:7a:68,0.40639,-82
1f:4b:30:b2:58:c6,1.01701,-83
27:c3:c8:e3:4c:7b,1.192082,-64
12:81:47:ee:a0:5d,1.466174,-83
0d:4a:e2:0b:7a:68,1.506548,-83
1f:4b:30:b2:58:c6,1.560019,-89
27:c3:c8:e3:4c:7b,1.990749,-69
12:81:47:ee:a0:5d,2.269355,-75
0d:4a:e2:0b:7a:68,2.332526,-83
1f:4b:30:b2:58:c6,2.388616,-87
12:81:47:ee:a0:5d,2.492038,-76
27:c3:c8:e3:4c:7b,2.543214,-67
0d:4a:e2:0b:7a:68,2.884081,-81
1f:4b:30:b2:58:c6,2.945874,-80
12:81:47:ee:a0:5d,3.241446,-81
0d:4a:e2:0b:7a:68,3.428859,-81
1f:4b:30:b2:58:c6,3.500865,-84
27:c3:c8:e3:4c:7b,3.635678,-73
1f:4b:30:b2:58:c6,4.326716,-90
0d:4a:e2:0b:7a:68,4.798704,-79
12:81:47:ee:a0:5d,4.883342,-90
27:c3:c8:e3:4c:7b,5.009117,-63
27:c3:c8:e3:4c:7b,5.556707,-72
0d:4a:e2:0b:7a:68,5.893805,-80
12:81:47:ee:a0:5d,5.984612,-87
0d:4a:e2:0b:7a:68,6.448655,-83
12:81:47:ee:a0:5d,6.532458,-85
27:c3:c8:e3:4c:7b,6.663498,-68
0d:4a:e2:0b:7a:68,7.544077,-79
27:c3:c8:e3:4c:7b,7.761277,-76
0d:4a:e2:0b:7a:68,8.361847,-79
12:81:47:ee:a0:5d,8.442083,-87
0d:4a:e2:0b:7a:68,8.641062,-82
1f:4b:30:b2:58:c6,8.718823,-80
12:81:47:ee:a0:5d,8.986701,-86
0d:4a:e2:0b:7a:68,9.471803,-92
27:c3:c8:e3:4c:7b,9.969279,-66
0d:4a:e2:0b:7a:68,10.02799,-92
1f:4b:30:b2:58:c6,10.100995,-91
1f:4b:30:b2:58:c6,10.646587,-80
0d:4a:e2:0b:7a:68,10.860508,-89
27:c3:c8:e3:4c:7b,11.069957,-67
4c:43:6e:48:e8:c9,11.201777,-90
1f:4b:30:b2:58:c6,11.206304,-85
12:81:47:ee:a0:5d,11.459764,-84
27:c3:c8:e3:4c:7b,11.622085,-69
12:81:47:ee:a0:5d,11.736478,-82
4c:43:6e:48:e8:c9,12.127521,-90
0d:4a:e2:0b:7a:68,12.239194,-78
1f:4b:30:b2:58:c6,12.305437,-83
12:81:47:ee:a0:5d,12.844482,-81
1f:4b:30:b2:58:c6,12.856492,-83
4c:43:6e:48:e8:c9,12.923074,-90
0d:4a:e2:0b:7a:68,13.341762,-81
1f:4b:30:b2:58:c6,13.682706,-86
27:c3:c8:e3:4c:7b,13.891633,-70
12:81:47:ee:a0:5d,13.933748,-82
27:c3:c8:e3:4c:7b,14.772809,-71
1f:4b:30:b2:58:c6,14.781806,-80
0d:4a:e2:0b:7a:68,14.981975,-80
12:81:47:ee:a0:5d,15.041133,-82
27:c3:c8:e3:4c:7b,15.587989,-76
1f:4b:30:b2:58:c6,15.876014,-84
12:81:47:ee:a0:5d,16.150911,-80
