address,time,rssi
78:8a:68:32:3d:bc,71401.180193,-54
78:8a:68:32:3d:bc,71402.326718,-62
78:8a:68:32:3d:bc,71402.895093,-74
78:8a:68:32:3d:bc,71403.759905,-74
78:8a:68:32:3d:bc,71404.039343,-78
78:8a:68:32:3d:bc,71404.902902,-75
78:8a:68:32:3d:bc,71405.188935,-82
78:8a:68:32:3d:bc,71405.760214,-79
78:8a:68:32:3d:bc,71406.046355,-74
78:8a:68:32:3d:bc,71407.189015,-69
78:8a:68:32:3d:bc,71408.928068,-69
78:8a:68:32:3d:bc,71409.23818,-83
78:8a:68:32:3d:bc,71409.476419,-72
78:8a:68:32:3d:bc,71410.645479,-71
78:8a:68:32:3d:bc,71411.188919,-72
78:8a:68:32:3d:bc,71412.336479,-79
78:8a:68:32:3d:bc,71413.478987,-77
78:8a:68:32:3d:bc,71414.342697,-76
78:8a:68:32:3d:bc,71415.201341,-82
78:8a:68:32:3d:bc,71416.372505,-87
78:8a:68:32:3d:bc,71416.643853,-83
78:8a:68:32:3d:bc,71417.225203,-75
78:8a:68:32:3d:bc,71418.086752,-89
78:8a:68:32:3d:bc,71418.653495,-76
78:8a:68:32:3d:bc,71418.938864,-84
78:8a:68:32:3d:bc,71419.515214,-81
78:8a:68:32:3d:bc,71420.402139,-78
78:8a:68:32:3d:bc,71421.521401,-85
78:8a:68:32:3d:bc,71422.376731,-95
78:8a:68:32:3d:bc,71423.520087,-88
78:8a:68:32:3d:bc,71424.673939,-88
78:8a:68:32:3d:bc,71426.098879,-84
78:8a:68:32:3d:bc,71427.247901,-83
78:8a:68:32:3d:bc,71429.833747,-88
78:8a:68:32:3d:bc,71431.839035,-86
78:8a:68:32:3d:bc,71432.692667,-91
78:8a:68:32:3d:bc,71434.127687,-90
78:8a:68:32:3d:bc,71434.992675,-90
78:8a:68:32:3d:bc,71435.8526,-87
78:8a:68:32:3d:bc,71437.011987,-82
78:8a:68:32:3d:bc,71437.891327,-10
78:8a:68:32:3d:bc,71438.132643,-81
78:8a:68:32:3d:bc,71439.27279,-79
78:8a:68:32:3d:bc,71440.718185,-75
78:8a:68:32:3d:bc,71440.994849,-85
78:8a:68:32:3d:bc,71442.168491,-83
78:8a:68:32:3d:bc,71443.880633,-92
78:8a:68:32:3d:bc,71444.445849,-87
78:8a:68:32:3d:bc,71444.732667,-90
78:8a:68:32:3d:bc,71445.013916,-92
78:8a:68:32:3d:bc,71445.922859,-86
78:8a:68:32:3d:bc,71446.757835,-87
78:8a:68:32:3d:bc,71447.027667,-90
78:8a:68:32:3d:bc,71450.756049,-89
78:8a:68:32:3d:bc,71451.326658,-87
78:8a:68:32:3d:bc,71452.464006,-90
78:8a:68:32:3d:bc,71453.321405,-90
78:8a:68:32:3d:bc,71454.75292,-89
78:8a:68:32:3d:bc,71455.324204,-91
78:8a:68:32:3d:bc,71456.18283,-86
78:8a:68:32:3d:bc,71456.471508,-89
78:8a:68:32:3d:bc,71457.621368,-85
78:8a:68:32:3d:bc,71458.467822,-89
78:8a:68:32:3d:bc,71459.615457,-70
78:8a:68:32:3d:bc,71460.47029,-76
78:8a:68:32:3d:bc,71461.899158,-79
78:8a:68:32:3d:bc,71462.776125,-86
78:8a:68:32:3d:bc,71463.050394,-70
78:8a:68:32:3d:bc,71464.821236,-89
78:8a:68:32:3d:bc,71465.065987,-84
78:8a:68:32:3d:bc,71465.63413,-89
78:8a:68:32:3d:bc,71466.779781,-84
78:8a:68:32:3d:bc,71467.910477,-85
78:8a:68:32:3d:bc,71468.765421,-83
