address,time,rssi
3c:e6:0b:b4:96:5f,0.0,-74
35:53:cd:7e:6e:fd,0.143094,-90
30:61:d4:dd:2b:c3,0.219373,-53
3d:2e:23:0e:ba:70,0.862733,-80
73:0b:a5:f0:96:ba,0.92492,-92
29:bd:0f:13:62:33,1.026254,-97
3d:2e:23:0e:ba:70,1.674373,-79
30:61:d4:dd:2b:c3,1.875312,-49
30:61:d4:dd:2b:c3,2.154895,-52
3c:e6:0b:b4:96:5f,2.199734,-79
3d:2e:23:0e:ba:70,2.21901,-79
22:97:03:59:fd:ca,2.683304,-95
30:61:d4:dd:2b:c3,2.70704,-46
3d:2e:23:0e:ba:70,3.30507,-78
73:0b:a5:f0:96:ba,3.496086,-91
3c:e6:0b:b4:96:5f,3.568913,-81
35:53:cd:7e:6e:fd,3.717455,-78
30:61:d4:dd:2b:c3,3.803769,-47
3d:2e:23:0e:ba:70,3.850236,-78
29:bd:0f:13:62:33,4.043284,-91
3d:2e:23:0e:ba:70,4.120625,-77
35:53:cd:7e:6e:fd,4.276055,-80
30:61:d4:dd:2b:c3,4.631612,-48
3d:2e:23:0e:ba:70,4.666027,-75
3c:e6:0b:b4:96:5f,4.673809,-81
3d:2e:23:0e:ba:70,5.209258,-78
35:53:cd:7e:6e:fd,5.37891,-77
73:0b:a5:f0:96:ba,5.513933,-96
3d:2e:23:0e:ba:70,5.756002,-76
3c:e6:0b:b4:96:5f,5.785678,-77
30:61:d4:dd:2b:c3,6.001321,-51
35:53:cd:7e:6e:fd,6.200864,-80
30:61:d4:dd:2b:c3,6.272669,-46
3c:e6:0b:b4:96:5f,6.602565,-76
3d:2e:23:0e:ba:70,6.843073,-78
35:53:cd:7e:6e:fd,7.01941,-77
22:97:03:59:fd:ca,7.037468,-91
35:53:cd:7e:6e:fd,7.296868,-78
30:61:d4:dd:2b:c3,7.370556,-50
3d:2e:23:0e:ba:70,7.381992,-75
3c:e6:0b:b4:96:5f,7.42514,-76
30:61:d4:dd:2b:c3,8.014415,-46
35:53:cd:7e:6e:fd,8.112046,-77
3d:2e:23:0e:ba:70,8.19999,-74
3c:e6:0b:b4:96:5f,8.246271,-76
30:61:d4:dd:2b:c3,8.289921,-50
35:53:cd:7e:6e:fd,8.665038,-79
3d:2e:23:0e:ba:70,9.017499,-80
30:61:d4:dd:2b:c3,9.129927,-50
35:53:cd:7e:6e:fd,9.219097,-80
3d:2e:23:0e:ba:70,9.289451,-80
3c:e6:0b:b4:96:5f,9.361878,-81
30:61:d4:dd:2b:c3,9.409984,-52
35:53:cd:7e:6e:fd,9.771641,-88
30:61:d4:dd:2b:c3,10.033832,-52
30:61:d4:dd:2b:c3,10.301585,-53
35:53:cd:7e:6e:fd,10.325596,-90
3d:2e:23:0e:ba:70,10.388558,-79
3c:e6:0b:b4:96:5f,10.495743,-80
22:97:03:59:fd:ca,10.843695,-93
30:61:d4:dd:2b:c3,10.853317,-50
30:61:d4:dd:2b:c3,11.679576,-47
3c:e6:0b:b4:96:5f,12.109852,-82
30:61:d4:dd:2b:c3,12.231423,-46
29:bd:0f:13:62:33,12.267639,-96
35:53:cd:7e:6e:fd,12.531908,-79
3d:2e:23:0e:ba:70,12.538824,-80
3c:e6:0b:b4:96:5f,12.66289,-78
30:61:d4:dd:2b:c3,12.802065,-47
3d:2e:23:0e:ba:70,13.358785,-79
35:53:cd:7e:6e:fd,13.369916,-82
63:f1:be:b9:c2:77,13.433177,-76
30:61:d4:dd:2b:c3,13.532591,-48
3c:e6:0b:b4:96:5f,14.03954,-86
63:f1:be:b9:c2:77,14.290976,-78
3d:2e:23:0e:ba:70,14.44601,-77
63:f1:be:b9:c2:77,14.580796,-91
30:61:d4:dd:2b:c3,14.910872,-61
35:53:cd:7e:6e:fd,15.012349,-81
3c:e6:0b:b4:96:5f,15.137403,-77
22:97:03:59:fd:ca,15.187385,-95
3d:2e:23:0e:ba:70,15.266275,-79
30:61:d4:dd:2b:c3,15.542304,-50
3c:e6:0b:b4:96:5f,15.690757,-81
35:53:cd:7e:6e:fd,15.838272,-94
3d:2e:23:0e:ba:70,16.08741,-78
3c:e6:0b:b4:96:5f,16.241141,-76
3c:e6:0b:b4:96:5f,16.511922,-83
63:f1:be:b9:c2:77,16.572,-83
3d:2e:23:0e:ba:70,16.632887,-78
30:61:d4:dd:2b:c3,16.649071,-53
35:53:cd:7e:6e:fd,16.662248,-88
3c:e6:0b:b4:96:5f,17.053199,-85
3d:2e:23:0e:ba:70,17.173805,-78
30:61:d4:dd:2b:c3,17.199504,-50
35:53:cd:7e:6e:fd,17.487269,-83
3d:2e:23:0e:ba:70,17.718867,-77
63:f1:be:b9:c2:77,18.00813,-81
35:53:cd:7e:6e:fd,18.032438,-80
30:61:d4:dd:2b:c3,18.177128,-45
22:97:03:59:fd:ca,18.182211,-95
63:f1:be:b9:c2:77,18.281919,-84
3c:e6:0b:b4:96:5f,18.437578,-76
3d:2e:23:0e:ba:70,18.541201,-76
35:53:cd:7e:6e:fd,18.583817,-75
3c:e6:0b:b4:96:5f,18.712356,-84
30:61:d4:dd:2b:c3,18.732037,-52
3d:2e:23:0e:ba:70,19.358232,-76
35:53:cd:7e:6e:fd,19.408082,-71
30:61:d4:dd:2b:c3,19.557352,-64
3d:2e:23:0e:ba:70,19.628495,-80
35:53:cd:7e:6e:fd,19.67754,-68
3c:e6:0b:b4:96:5f,19.821217,-75
63:f1:be:b9:c2:77,19.998739,-79
3d:2e:23:0e:ba:70,20.171118,-77
35:53:cd:7e:6e:fd,20.47772,-71
35:53:cd:7e:6e:fd,20.753963,-71
30:61:d4:dd:2b:c3,20.813702,-66
63:f1:be:b9:c2:77,20.854715,-78
3c:e6:0b:b4:96:5f,20.926726,-79
35:53:cd:7e:6e:fd,21.57748,-70
63:f1:be:b9:c2:77,21.713163,-80
3c:e6:0b:b4:96:5f,21.750661,-83
30:61:d4:dd:2b:c3,21.917877,-72
63:f1:be:b9:c2:77,22.302414,-80
3c:e6:0b:b4:96:5f,22.302922,-77
3d:2e:23:0e:ba:70,22.341591,-77
35:53:cd:7e:6e:fd,22.399098,-67
3d:2e:23:0e:ba:70,22.613861,-77
35:53:cd:7e:6e:fd,22.676274,-70
30:61:d4:dd:2b:c3,23.015731,-64
3c:e6:0b:b4:96:5f,23.121523,-80
63:f1:be:b9:c2:77,23.152,-89
3d:2e:23:0e:ba:70,23.162885,-79
35:53:cd:7e:6e:fd,23.224417,-65
30:61:d4:dd:2b:c3,23.573114,-63
3c:e6:0b:b4:96:5f,23.670137,-81
3d:2e:23:0e:ba:70,23.705681,-79
63:f1:be:b9:c2:77,23.73846,-85
30:61:d4:dd:2b:c3,23.843747,-61
35:53:cd:7e:6e:fd,24.332692,-67
30:61:d4:dd:2b:c3,24.656363,-68
3d:2e:23:0e:ba:70,24.792045,-78
35:53:cd:7e:6e:fd,24.886342,-67
3c:e6:0b:b4:96:5f,25.047437,-77
3d:2e:23:0e:ba:70,25.339907,-81
35:53:cd:7e:6e:fd,25.704529,-66
63:f1:be:b9:c2:77,25.71817,-82
3c:e6:0b:b4:96:5f,25.87186,-74
3d:2e:23:0e:ba:70,26.162057,-78
35:53:cd:7e:6e:fd,26.258848,-66
30:61:d4:dd:2b:c3,26.303855,-69
63:f1:be:b9:c2:77,26.574438,-94
3c:e6:0b:b4:96:5f,26.978818,-79
30:61:d4:dd:2b:c3,27.13067,-66
3d:2e:23:0e:ba:70,27.252041,-80
35:53:cd:7e:6e:fd,27.36599,-65
63:f1:be:b9:c2:77,27.439005,-91
3d:2e:23:0e:ba:70,27.795108,-77
3c:e6:0b:b4:96:5f,27.800944,-83
35:53:cd:7e:6e:fd,27.916108,-64
30:61:d4:dd:2b:c3,28.224483,-64
3c:e6:0b:b4:96:5f,28.350074,-87
35:53:cd:7e:6e:fd,28.472807,-67
63:f1:be:b9:c2:77,28.575713,-90
3d:2e:23:0e:ba:70,28.611362,-76
63:f1:be:b9:c2:77,28.867014,-90
35:53:cd:7e:6e:fd,29.0263,-69
30:61:d4:dd:2b:c3,29.03883,-78
3d:2e:23:0e:ba:70,29.425994,-78
3d:2e:23:0e:ba:70,29.969214,-80
3c:e6:0b:b4:96:5f,29.997784,-91
35:53:cd:7e:6e:fd,30.112613,-67
30:61:d4:dd:2b:c3,30.416032,-69
3c:e6:0b:b4:96:5f,30.543076,-90
35:53:cd:7e:6e:fd,30.663347,-70
3c:e6:0b:b4:96:5f,30.822787,-87
35:53:cd:7e:6e:fd,30.938803,-70
30:61:d4:dd:2b:c3,30.96867,-66
3d:2e:23:0e:ba:70,31.056759,-78
63:f1:be:b9:c2:77,31.149475,-85
35:53:cd:7e:6e:fd,31.4822,-68
3c:e6:0b:b4:96:5f,31.63643,-73
30:61:d4:dd:2b:c3,31.799814,-70
3c:e6:0b:b4:96:5f,31.912417,-72
30:61:d4:dd:2b:c3,32.073947,-61
29:bd:0f:13:62:33,32.081177,-93
63:f1:be:b9:c2:77,32.305098,-86
3d:2e:23:0e:ba:70,32.418911,-76
3d:2e:23:0e:ba:70,32.958308,-78
3c:e6:0b:b4:96:5f,33.004974,-70
35:53:cd:7e:6e:fd,33.127083,-66
30:61:d4:dd:2b:c3,33.160104,-80
63:f1:be:b9:c2:77,33.433407,-85
3d:2e:23:0e:ba:70,33.503575,-78
3c:e6:0b:b4:96:5f,33.555448,-80
30:61:d4:dd:2b:c3,33.986895,-66
63:f1:be:b9:c2:77,34.009537,-83
3c:e6:0b:b4:96:5f,34.104208,-79
