address,time,rssi
1c:e2:4a:e8:52:ab,55688.007928,-76
20:1f:ad:0e:93:19,55688.212641,-81
3c:2c:ee:21:2c:f4,55688.330269,-64
19:6c:ec:38:91:a2,55688.403822,-80
3c:2c:ee:21:2c:f4,55688.827072,-69
22:6c:bd:95:72:cc,55688.846442,-69
19:6c:ec:38:91:a2,55688.949594,-77
1c:e2:4a:e8:52:ab,55689.102964,-82
6d:86:5e:0a:19:69,55689.152065,-79
24:08:39:07:9a:e9,55689.16133,-94
20:1f:ad:0e:93:19,55689.309875,-83
3c:2c:ee:21:2c:f4,55689.36587,-66
22:6c:bd:95:72:cc,55689.647162,-71
3c:2c:ee:21:2c:f4,55689.90875,-61
22:6c:bd:95:72:cc,55689.920355,-70
1c:e2:4a:e8:52:ab,55689.923672,-84
6d:86:5e:0a:19:69,55690.003226,-78
20:1f:ad:0e:93:19,55690.135398,-79
3c:2c:ee:21:2c:f4,55690.457454,-63
22:6c:bd:95:72:cc,55690.46403,-69
1c:e2:4a:e8:52:ab,55690.471615,-84
6d:86:5e:0a:19:69,55690.578237,-73
20:1f:ad:0e:93:19,55690.685868,-83
19:6c:ec:38:91:a2,55691.005545,-73
22:6c:bd:95:72:cc,55691.007911,-69
3c:2c:ee:21:2c:f4,55691.011564,-57
1c:e2:4a:e8:52:ab,55691.290585,-83
6d:86:5e:0a:19:69,55691.436738,-73
19:6c:ec:38:91:a2,55691.552523,-84
22:6c:bd:95:72:cc,55691.554201,-70
3c:2c:ee:21:2c:f4,55691.565999,-57
6d:86:5e:0a:19:69,55692.016931,-69
20:1f:ad:0e:93:19,55692.060115,-87
19:6c:ec:38:91:a2,55692.099679,-86
22:6c:bd:95:72:cc,55692.101643,-71
3c:2c:ee:21:2c:f4,55692.393735,-60
1c:e2:4a:e8:52:ab,55692.668683,-88
3c:2c:ee:21:2c:f4,55692.945498,-46
24:08:39:07:9a:e9,55692.960868,-91
6d:86:5e:0a:19:69,55693.162209,-70
08:11:97:fe:a6:24,55693.326064,-93
3c:2c:ee:21:2c:f4,55693.489231,-32
1c:e2:4a:e8:52:ab,55693.492046,-90
20:1f:ad:0e:93:19,55693.722132,-75
22:6c:bd:95:72:cc,55693.734175,-88
24:08:39:07:9a:e9,55693.773377,-97
20:1f:ad:0e:93:19,55693.993592,-75
22:6c:bd:95:72:cc,55694.017788,-71
6d:86:5e:0a:19:69,55694.018219,-67
3c:2c:ee:21:2c:f4,55694.044062,-38
1c:e2:4a:e8:52:ab,55694.044457,-83
22:6c:bd:95:72:cc,55694.548176,-68
19:6c:ec:38:91:a2,55694.555851,-81
3c:2c:ee:21:2c:f4,55694.585898,-46
6d:86:5e:0a:19:69,55694.589071,-79
22:6c:bd:95:72:cc,55695.09686,-71
3c:2c:ee:21:2c:f4,55695.4145,-56
1c:e2:4a:e8:52:ab,55695.422473,-86
22:6c:bd:95:72:cc,55695.639485,-68
20:1f:ad:0e:93:19,55695.642869,-79
19:6c:ec:38:91:a2,55695.659617,-73
6d:86:5e:0a:19:69,55696.032023,-85
22:6c:bd:95:72:cc,55696.185404,-66
20:1f:ad:0e:93:19,55696.196013,-82
19:6c:ec:38:91:a2,55696.217167,-74
3c:2c:ee:21:2c:f4,55696.536223,-63
6d:86:5e:0a:19:69,55696.605854,-85
22:6c:bd:95:72:cc,55696.727991,-71
1c:e2:4a:e8:52:ab,55696.785962,-87
20:1f:ad:0e:93:19,55697.025594,-80
19:6c:ec:38:91:a2,55697.042375,-79
1c:e2:4a:e8:52:ab,55697.055659,-77
6d:86:5e:0a:19:69,55697.17675,-90
08:11:97:fe:a6:24,55697.481489,-89
20:1f:ad:0e:93:19,55697.578487,-77
3c:2c:ee:21:2c:f4,55697.628383,-63
3c:2c:ee:21:2c:f4,55698.176894,-73
6d:86:5e:0a:19:69,55698.320817,-87
22:6c:bd:95:72:cc,55698.355729,-65
08:11:97:fe:a6:24,55698.58475,-88
3c:2c:ee:21:2c:f4,55698.737041,-64
6d:86:5e:0a:19:69,55698.899497,-82
22:6c:bd:95:72:cc,55698.901912,-65
19:6c:ec:38:91:a2,55698.988625,-65
08:11:97:fe:a6:24,55699.136264,-87
6d:86:5e:0a:19:69,55699.233782,-83
22:6c:bd:95:72:cc,55699.443235,-71
6d:86:5e:0a:19:69,55699.767197,-85
20:1f:ad:0e:93:19,55699.767645,-81
22:6c:bd:95:72:cc,55699.98857,-67
