address,time,rssi
64:fe:f0:6b:ab:17,54836.118343,-89
20:1f:ad:0e:93:19,54836.339885,-71
18:b3:76:b3:9d:38,54836.424651,-81
0a:6c:c8:de:a6:32,54836.66762,-86
08:83:d2:d4:dc:44,54837.007364,-91
19:6c:ec:38:91:a2,54837.007896,-86
18:b3:76:b3:9d:38,54837.247313,-70
18:b3:76:b3:9d:38,54837.520035,-66
20:1f:ad:0e:93:19,54837.708891,-69
19:6c:ec:38:91:a2,54837.825116,-86
08:83:d2:d4:dc:44,54838.099752,-83
20:1f:ad:0e:93:19,54838.527695,-71
18:b3:76:b3:9d:38,54838.618869,-71
19:6c:ec:38:91:a2,54838.65016,-87
64:fe:f0:6b:ab:17,54838.744864,-89
1e:86:82:51:02:3d,54839.045839,-95
0a:6c:c8:de:a6:32,54839.072279,-88
08:83:d2:d4:dc:44,54839.192237,-83
08:83:d2:d4:dc:44,54839.462519,-89
19:6c:ec:38:91:a2,54839.46753,-91
0a:6c:c8:de:a6:32,54839.615064,-82
20:1f:ad:0e:93:19,54839.635123,-73
64:fe:f0:6b:ab:17,54840.119946,-84
18:b3:76:b3:9d:38,54840.259108,-70
19:6c:ec:38:91:a2,54840.284018,-86
08:83:d2:d4:dc:44,54840.290973,-83
20:1f:ad:0e:93:19,54840.470306,-70
23:de:a1:86:d4:f4,54840.510241,-89
18:b3:76:b3:9d:38,54840.538189,-67
64:fe:f0:6b:ab:17,54840.692588,-92
08:83:d2:d4:dc:44,54840.83306,-88
19:6c:ec:38:91:a2,54840.839292,-87
0a:6c:c8:de:a6:32,54841.003503,-88
20:1f:ad:0e:93:19,54841.284353,-70
18:b3:76:b3:9d:38,54841.363765,-76
64:fe:f0:6b:ab:17,54841.55182,-88
20:1f:ad:0e:93:19,54841.561533,-71
18:b3:76:b3:9d:38,54841.635945,-64
23:de:a1:86:d4:f4,54841.884757,-78
19:6c:ec:38:91:a2,54841.936761,-87
0a:6c:c8:de:a6:32,54842.104766,-87
20:1f:ad:0e:93:19,54842.113206,-72
18:b3:76:b3:9d:38,54842.183466,-67
19:6c:ec:38:91:a2,54842.484292,-88
08:83:d2:d4:dc:44,54842.486782,-89
0a:6c:c8:de:a6:32,54842.652227,-85
20:1f:ad:0e:93:19,54842.667084,-69
23:de:a1:86:d4:f4,54842.707195,-79
18:b3:76:b3:9d:38,54842.733486,-73
64:fe:f0:6b:ab:17,54843.254326,-83
20:1f:ad:0e:93:19,54843.493976,-72
19:6c:ec:38:91:a2,54843.586223,-89
23:de:a1:86:d4:f4,54843.807315,-79
18:b3:76:b3:9d:38,54844.109471,-74
