address,time,rssi
3d:2e:23:0e:ba:70,61049.306787,-79
35:53:cd:7e:6e:fd,61049.39888,-81
52:6b:4c:d4:73:08,61049.49427,-85
3c:e6:0b:b4:96:5f,61049.640833,-76
35:53:cd:7e:6e:fd,61049.678915,-83
3d:2e:23:0e:ba:70,61049.848967,-77
38:a3:0f:d9:f7:56,61049.870703,-63
35:53:cd:7e:6e:fd,61050.22814,-84
3d:2e:23:0e:ba:70,61050.663217,-80
38:a3:0f:d9:f7:56,61050.693926,-61
3d:2e:23:0e:ba:70,61051.206133,-78
38:a3:0f:d9:f7:56,61051.241819,-69
52:6b:4c:d4:73:08,61051.494992,-83
35:53:cd:7e:6e:fd,61051.614245,-79
38:a3:0f:d9:f7:56,61051.790755,-52
3c:e6:0b:b4:96:5f,61051.849519,-81
35:53:cd:7e:6e:fd,61051.885112,-84
38:a3:0f:d9:f7:56,61052.335877,-59
3d:2e:23:0e:ba:70,61052.569477,-78
35:53:cd:7e:6e:fd,61052.715276,-80
52:6b:4c:d4:73:08,61052.928018,-82
3d:2e:23:0e:ba:70,61053.118054,-79
38:a3:0f:d9:f7:56,61053.161775,-72
3c:e6:0b:b4:96:5f,61053.221771,-81
3c:e6:0b:b4:96:5f,61053.768178,-88
35:53:cd:7e:6e:fd,61053.808941,-78
73:0b:a5:f0:96:ba,61054.044646,-91
52:6b:4c:d4:73:08,61054.078617,-85
22:97:03:59:fd:ca,61054.079179,-93
3d:2e:23:0e:ba:70,61054.210488,-84
3c:e6:0b:b4:96:5f,61054.316722,-85
35:53:cd:7e:6e:fd,61054.36184,-76
38:a3:0f:d9:f7:56,61054.536987,-46
52:6b:4c:d4:73:08,61054.687858,-86
38:a3:0f:d9:f7:56,61054.81568,-40
3d:2e:23:0e:ba:70,61055.028082,-83
35:53:cd:7e:6e:fd,61055.181986,-75
52:6b:4c:d4:73:08,61055.241289,-85
38:a3:0f:d9:f7:56,61055.373864,-57
3c:e6:0b:b4:96:5f,61055.413255,-67
52:6b:4c:d4:73:08,61055.500761,-89
52:6b:4c:d4:73:08,61055.789352,-87
38:a3:0f:d9:f7:56,61055.927888,-54
3c:e6:0b:b4:96:5f,61055.970483,-75
3d:2e:23:0e:ba:70,61056.111967,-81
35:53:cd:7e:6e:fd,61056.288934,-79
73:0b:a5:f0:96:ba,61056.609537,-87
52:6b:4c:d4:73:08,61056.651604,-86
38:a3:0f:d9:f7:56,61056.757509,-65
3d:2e:23:0e:ba:70,61056.930552,-82
38:a3:0f:d9:f7:56,61057.034015,-67
22:97:03:59:fd:ca,61057.073075,-93
35:53:cd:7e:6e:fd,61057.103911,-79
3c:e6:0b:b4:96:5f,61057.334833,-69
73:0b:a5:f0:96:ba,61057.469274,-88
3d:2e:23:0e:ba:70,61057.478111,-81
52:6b:4c:d4:73:08,61057.524803,-90
38:a3:0f:d9:f7:56,61057.581926,-67
52:6b:4c:d4:73:08,61057.78736,-88
38:a3:0f:d9:f7:56,61057.854129,-56
35:53:cd:7e:6e:fd,61057.930599,-82
3d:2e:23:0e:ba:70,61058.021946,-81
3c:e6:0b:b4:96:5f,61058.164477,-69
73:0b:a5:f0:96:ba,61058.313334,-92
38:a3:0f:d9:f7:56,61058.406892,-68
3c:e6:0b:b4:96:5f,61058.722209,-80
26:50:6c:b4:da:1a,61058.790437,-96
3c:e6:0b:b4:96:5f,61058.996641,-69
