address,time,rssi
12:61:03:8c:1e:fd,57971.012111,-67
16:e3:0e:e1:82:6e,57971.053215,-97
33:45:71:38:2f:58,57971.126163,-90
13:36:96:f2:66:a8,57971.197525,-61
0e:81:70:7d:a4:51,57971.316101,-62
12:61:03:8c:1e:fd,57971.553993,-66
3c:73:11:c4:bf:2c,57971.734831,-71
13:36:96:f2:66:a8,57971.73977,-63
62:90:51:30:9c:41,57971.74404,-90
15:be:24:b3:83:65,57971.944526,-90
75:aa:77:2a:88:fb,57972.023206,-90
0e:81:70:7d:a4:51,57972.146032,-63
1a:c1:e2:b3:40:c8,57972.239327,-95
13:36:96:f2:66:a8,57972.28379,-76
3c:73:11:c4:bf:2c,57972.290665,-70
75:aa:77:2a:88:fb,57972.592735,-94
62:90:51:30:9c:41,57972.606827,-90
12:61:03:8c:1e:fd,57972.655913,-71
0e:81:70:7d:a4:51,57972.696569,-65
15:be:24:b3:83:65,57972.777859,-89
13:36:96:f2:66:a8,57972.826106,-81
3c:73:11:c4:bf:2c,57973.125075,-74
75:aa:77:2a:88:fb,57973.147269,-86
12:61:03:8c:1e:fd,57973.20649,-67
0e:81:70:7d:a4:51,57973.249062,-70
15:be:24:b3:83:65,57973.324147,-88
13:36:96:f2:66:a8,57973.63921,-80
3c:73:11:c4:bf:2c,57973.675832,-75
0e:81:70:7d:a4:51,57973.796176,-71
15:be:24:b3:83:65,57973.875644,-85
3d:c6:e1:f9:a4:2b,57973.900014,-92
12:61:03:8c:1e:fd,57974.022369,-73
12:61:03:8c:1e:fd,57974.30039,-70
3c:73:11:c4:bf:2c,57974.502325,-74
0e:81:70:7d:a4:51,57974.618287,-74
75:aa:77:2a:88:fb,57974.852676,-84
33:45:71:38:2f:58,57974.988945,-89
13:36:96:f2:66:a8,57974.999738,-63
3c:73:11:c4:bf:2c,57975.053879,-75
3c:73:11:c4:bf:2c,57975.330222,-76
12:61:03:8c:1e:fd,57975.397295,-62
0e:81:70:7d:a4:51,57975.436637,-69
33:45:71:38:2f:58,57975.817628,-90
3d:c6:e1:f9:a4:2b,57975.825229,-90
12:61:03:8c:1e:fd,57975.947823,-66
75:aa:77:2a:88:fb,57976.006471,-87
13:36:96:f2:66:a8,57976.080748,-78
3c:73:11:c4:bf:2c,57976.14923,-72
15:be:24:b3:83:65,57976.287652,-88
13:36:96:f2:66:a8,57976.351084,-65
3d:c6:e1:f9:a4:2b,57976.377695,-85
3c:73:11:c4:bf:2c,57976.420221,-73
12:61:03:8c:1e:fd,57976.498647,-64
75:aa:77:2a:88:fb,57976.576076,-73
33:45:71:38:2f:58,57976.644275,-85
15:be:24:b3:83:65,57976.841563,-85
13:36:96:f2:66:a8,57976.896131,-69
12:61:03:8c:1e:fd,57977.32373,-62
75:aa:77:2a:88:fb,57977.433512,-84
33:45:71:38:2f:58,57977.465396,-90
3c:73:11:c4:bf:2c,57977.502952,-70
13:36:96:f2:66:a8,57977.707873,-72
62:90:51:30:9c:41,57977.740258,-92
12:61:03:8c:1e:fd,57977.866626,-61
75:aa:77:2a:88:fb,57978.017291,-80
3c:73:11:c4:bf:2c,57978.046077,-71
0e:81:70:7d:a4:51,57978.204799,-65
75:aa:77:2a:88:fb,57978.290163,-82
3d:c6:e1:f9:a4:2b,57978.309123,-89
62:90:51:30:9c:41,57978.312669,-90
3c:73:11:c4:bf:2c,57978.322684,-75
12:61:03:8c:1e:fd,57978.416255,-70
15:be:24:b3:83:65,57978.491777,-86
13:36:96:f2:66:a8,57978.52383,-75
33:45:71:38:2f:58,57978.602356,-86
0e:81:70:7d:a4:51,57978.749448,-72
3c:73:11:c4:bf:2c,57978.882358,-74
15:be:24:b3:83:65,57979.050419,-91
13:36:96:f2:66:a8,57979.066346,-75
12:61:03:8c:1e:fd,57979.235775,-71
16:e3:0e:e1:82:6e,57979.291734,-97
13:36:96:f2:66:a8,57979.338407,-63
0e:81:70:7d:a4:51,57979.585025,-65
3c:73:11:c4:bf:2c,57979.700559,-72
75:aa:77:2a:88:fb,57979.72075,-81
33:45:71:38:2f:58,57979.974186,-76
75:aa:77:2a:88:fb,57980.003404,-82
12:61:03:8c:1e:fd,57980.06049,-63
12:61:03:8c:1e:fd,57980.333351,-58
0e:81:70:7d:a4:51,57980.41415,-72
13:36:96:f2:66:a8,57980.422256,-63
3d:c6:e1:f9:a4:2b,57980.5134,-88
75:aa:77:2a:88:fb,57980.57271,-72
12:61:03:8c:1e:fd,57980.613634,-70
3c:73:11:c4:bf:2c,57980.79743,-73
3d:c6:e1:f9:a4:2b,57981.064096,-91
33:45:71:38:2f:58,57981.070438,-79
12:61:03:8c:1e:fd,57981.165396,-60
15:be:24:b3:83:65,57981.252159,-86
3d:c6:e1:f9:a4:2b,57981.341602,-87
75:aa:77:2a:88:fb,57981.435128,-75
