address,time,rssi
40:9e:d3:34:72:85,11.328405,-80
65:72:c4:8d:8f:64,11.481818,-79
0f:c3:bc:75:5c:f0,11.587587,-85
6b:7a:c9:80:20:53,11.797522,-76
71:db:49:19:c5:a4,12.009042,-78
61:ee:dd:c0:94:fc,12.20652,-77
71:db:49:19:c5:a4,12.299001,-86
46:56:e7:66:90:01,12.304704,-73
40:9e:d3:34:72:85,12.423166,-85
64:32:0a:ae:7c:a2,12.428959,-76
71:db:49:19:c5:a4,12.62161,-72
65:72:c4:8d:8f:64,12.631745,-74
4b:57:97:06:cc:ea,12.845208,-79
47:be:45:ed:ae:ee,12.872745,-90
6b:7a:c9:80:20:53,12.962755,-86
40:9e:d3:34:72:85,13.179963,-72
65:72:c4:8d:8f:64,13.205506,-75
6e:97:ad:9a:46:28,13.237442,-78
55:f3:1b:86:8c:1e,13.279051,-77
64:32:0a:ae:7c:a2,13.286482,-78
4c:2d:b8:5f:8c:65,13.320699,-73
61:ee:dd:c0:94:fc,13.336869,-79
71:db:49:19:c5:a4,13.425232,-74
46:56:e7:66:90:01,13.441009,-70
47:be:45:ed:ae:ee,13.451037,-81
6b:7a:c9:80:20:53,13.520152,-75
6e:97:ad:9a:46:28,13.52629,-74
42:13:9d:1c:14:1c,13.561639,-68
4c:2d:b8:5f:8c:65,13.601626,-83
47:be:45:ed:ae:ee,13.754937,-76
73:d9:60:9b:43:7f,13.782691,-77
42:13:9d:1c:14:1c,13.816394,-67
55:f3:1b:86:8c:1e,13.853062,-80
6e:7d:16:c2:ce:73,13.889631,-76
40:9e:d3:34:72:85,14.034974,-74
5a:bc:5d:6a:e6:ba,14.052379,-75
64:32:0a:ae:7c:a2,14.143945,-81
4c:69:a2:4b:75:9a,14.228495,-71
46:56:e7:66:90:01,14.289815,-65
6b:7a:c9:80:20:53,14.375067,-71
42:13:9d:1c:14:1c,14.375805,-71
6e:97:ad:9a:46:28,14.382448,-85
71:db:49:19:c5:a4,14.571598,-68
47:be:45:ed:ae:ee,14.592511,-83
4b:57:97:06:cc:ea,14.625289,-86
73:d9:60:9b:43:7f,14.648954,-80
4b:57:97:06:cc:ea,14.853792,-80
55:a9:50:16:e7:9c,15.003787,-82
6e:7d:16:c2:ce:73,15.034701,-79
4c:69:a2:4b:75:9a,15.093659,-76
40:9e:d3:34:72:85,15.173827,-79
6b:7a:c9:80:20:53,15.289283,-73
64:32:0a:ae:7c:a2,15.298976,-70
61:ee:dd:c0:94:fc,15.347836,-78
71:db:49:19:c5:a4,15.418907,-62
46:56:e7:66:90:01,15.43218,-66
47:be:45:ed:ae:ee,15.453411,-79
42:13:9d:1c:14:1c,15.522058,-62
6b:7a:c9:80:20:53,15.530059,-76
55:f3:1b:86:8c:1e,15.563986,-78
61:ee:dd:c0:94:fc,15.639098,-78
4b:57:97:06:cc:ea,15.713979,-76
65:72:c4:8d:8f:64,15.778101,-77
42:13:9d:1c:14:1c,15.808256,-68
6e:97:ad:9a:46:28,15.814847,-81
73:d9:60:9b:43:7f,15.881836,-77
4b:57:97:06:cc:ea,16.281481,-77
47:be:45:ed:ae:ee,16.299694,-85
46:56:e7:66:90:01,16.301067,-70
42:13:9d:1c:14:1c,16.381135,-66
55:a9:50:16:e7:9c,16.445102,-75
40:00:2a:d4:81:95,16.643066,-78
6e:97:ad:9a:46:28,16.663707,-73
55:f3:1b:86:8c:1e,16.702882,-73
4c:69:a2:4b:75:9a,16.817302,-76
61:ee:dd:c0:94:fc,16.851086,-78
71:db:49:19:c5:a4,16.852851,-70
65:72:c4:8d:8f:64,16.916878,-80
55:a9:50:16:e7:9c,17.013729,-75
73:d9:60:9b:43:7f,17.226407,-82
42:13:9d:1c:14:1c,17.231009,-69
6b:7a:c9:80:20:53,17.248885,-84
71:db:49:19:c5:a4,17.425362,-77
4b:57:97:06:cc:ea,17.433817,-76
73:d9:60:9b:43:7f,17.507497,-80
42:13:9d:1c:14:1c,17.518198,-71
