1,100.0%
2,53.0%
3,31.666666666666682%
4,28.5%
5,26.8%
6,19.833333333333336%
7,18.71428571428572%
8,17.625%
9,19.11111111111109%
10,15.0%
11,13.090909090909086%
12,11.083333333333332%
13,11.000000000000002%
14,11.857142857142858%
15,9.46666666666667%
16,10.1875%
17,10.58823529411764%
18,8.111111111111104%
19,8.736842105263158%
20,7.15%
21,7.52380952380953%
22,7.136363636363633%
23,6.913043478260869%
24,7.541666666666662%
25,6.16%
26,5.307692307692305%
27,5.592592592592586%
28,6.142857142857139%
29,6.275862068965511%
30,5.166666666666664%
31,5.806451612903228%
32,5.15625%
33,4.848484848484844%
34,4.647058823529408%
35,4.428571428571425%
36,4.166666666666662%
37,4.540540540540546%
38,4.1578947368421035%
39,3.8974358974358956%
40,4.3%
41,3.8780487804878034%
42,3.6904761904761925%
43,3.3720930232558146%
44,3.181818181818181%
45,3.533333333333337%
46,3.086956521739128%
47,3.191489361702127%
48,3.0208333333333344%
49,2.7959183673469385%
50,3.28%
51,2.7450980392156845%
52,2.8269230769230775%
53,2.528301886792452%
54,2.6481481481481457%
55,2.472727272727271%
56,2.303571428571429%
57,2.491228070175436%
58,2.1379310344827562%
59,2.5254237288135584%
60,2.3499999999999996%
61,2.4262295081967222%
62,2.1451612903225814%
63,2.3492063492063484%
64,2.15625%
65,2.307692307692308%
66,2.24242424242424%
67,2.104477611940299%
68,2.4558823529411744%
69,2.2608695652173942%
70,2.285714285714285%
71,2.15492957746479%
72,1.8472222222222197%
73,1.9726027397260264%
74,2.040540540540543%
75,2.1733333333333333%
76,2.0657894736842106%
77,2.2077922077922105%
78,2.1666666666666656%
79,2.531645569620253%
